,DGUID,DBPOP,Reporting_PHU,copd-percent,asthma-percent,hbp-percent,smokers-percent,Census,phu_weight,TotalStratified,FatalStratified,Location,fid,DBUID,PRUID_x,CSDUID_x,CMAUID_x,CMAPUID_x,HR_UID,DAUID,lon,lat,prox_idx_emp,prox_idx_pharma,prox_idx_childcare,prox_idx_health,prox_idx_grocery,prox_idx_educpri,prox_idx_educsec,prox_idx_lib,prox_idx_parks,prox_idx_transit,amenity
19,2017A00073546,444486,Niagara Region Public Health Department,5.5 %,6.9 %,21.6 %,18.1 %,15400,28.862727272727273,0.03149350649350649,0.002857142857142857,Niagara Regional Area Health Unit,51638.5,35260457008.5,35.0,3526043.0,539.0,35539.0,3546.0,35260457.0,-79.2232,43.0978,0.0109,0.0175,0.0216,0.0041,0.035,0.0766,0.0481,0.0693,0.0371,0.0044,0.0946582237376197
20,2017A00073560,537217,Simcoe Muskoka District Health Unit,5.5 %,8.7 %,17.2 %,19.5 %,18700,28.728181818181817,0.01497326203208556,0.0008021390374331551,Simcoe Muskoka District Health Unit,91081.5,35430969027.5,35.0,3543042.0,568.0,35568.0,3560.0,35430969.0,-79.7032,44.4991,0.0041,0.0208,0.024149999999999998,0.0026,0.0381,0.0716,0.0495,0.0834,0.02975,0.0043,0.0281886687133687
21,2017A00073542,125652,Lambton Public Health,6.0 %,10.3 %,20.1 %,20.4 %,4600,27.315652173913044,0.03913043478260869,0.003043478260869565,Lambton Health Unit,40083.0,35380267017.0,35.0,3538030.0,562.0,35562.0,3542.0,35380267.0,-82.2629,42.9693,0.0018,0.019,0.0121,0.0042,0.0315,0.0762,0.0554,0.09409999999999999,0.0315,,0.0
22,2017A00073527,139668,Brant County Health Unit,6.4 %,11.1 %,18.1 %,24.2 %,5100,27.385882352941177,0.02,0.000784313725490196,Brant County Health Unit,3049.0,35290232022.0,35.0,3529006.0,543.0,35543.0,3527.0,35290232.0,-80.2732,43.1456,0.0163,0.022850000000000002,0.0206,0.0046,0.0417,0.1004,0.049,0.0714,0.0445,0.0004,0.0841121495327103
23,2017A00073543,171222,"Leeds, Grenville and Lanark District Health Unit",6.7 %,11.6 %,21.4 %,21.1 %,7500,22.8296,0.042,0.005333333333333333,"Leeds, Grenville and Lanark District Health Unit",42856.5,35070306005.5,35.0,3507052.0,509.0,35509.0,3543.0,35070306.0,-76.0241,44.85675,0.0017,0.0259,0.0197,0.0038,0.05055,0.114,0.0797,0.0865,0.0448,0.0034,0.0275055327220993
24,2017A00073556,82838,Porcupine Health Unit,6.8 %,14.1 %,24.2 %,23.8 %,3200,25.886875,0.0184375,0.00125,Porcupine Health Unit,80579.5,35560276020.5,35.0,3556042.0,586.0,35586.0,3556.0,35560276.0,-81.3302,48.7138,0.0027,0.0216,0.0174,0.00885,0.035100000000000006,0.099,0.0709,0.0787,0.02615,,0.0
25,2017A00073557,100667,Renfrew County and District Health Unit,7.2 %,8.0 %,19.4 %,19.4 %,4400,22.878863636363636,0.0036363636363636364,0.00022727272727272727,Renfrew County and District Health Unit,83036.0,35470247003.0,35.0,3547064.0,515.0,35515.0,3557.0,35470247.0,-77.1666,45.6687,0.0015,0.023,0.01925,0.0016,0.0339,0.0828,0.0542,0.06895,0.027,,0.0
26,2017A00073561,193636,Sudbury & District Health Unit,7.3 %,8.5 %,22.9 %,23.5 %,8600,22.515813953488372,0.006627906976744186,0.00011627906976744185,Sudbury and District Health Unit,96099.5,35530135004.0,35.0,3553005.0,580.0,35580.0,3561.0,35530135.0,-81.06784999999999,46.4866,0.0017,0.0157,0.0175,0.0011,0.0354,0.0786,0.0813,0.0753,0.0341,0.0043,0.060437651962487
27,2017A00073533,165266,Grey Bruce Health Unit,7.5 %,6.2 %,21.0 %,20.6 %,7800,21.187948717948718,0.009871794871794872,0.0,Grey Bruce Health Unit,12721.5,35410246020.5,35.0,3541069.0,566.0,35566.0,3533.0,35410246.0,-81.0835,44.365449999999996,0.0009,0.01625,0.02275,0.0036,0.0373,0.0582,0.0463,0.091,0.0315,,0.0
28,2017A00073534,109378,Haldimand-Norfolk Health Unit,7.5 %,5.4 %,17.4 %,21.4 %,5200,21.03423076923077,0.03403846153846154,0.005192307692307693,Haldimand-Norfolk Health Unit,15734.0,35280251007.0,35.0,3528052.0,547.0,35547.0,3534.0,35280251.0,-80.2038,42.8539,0.0016,0.027749999999999997,0.0171,0.0028,0.04685,0.0702,0.0573,0.0814,0.0448,,0.0
29,2017A00073535,186198,"Haliburton, Kawartha, Pine Ridge District Health Unit",7.8 %,10.4 %,23.6 %,19.0 %,9600,19.395625,0.016458333333333332,0.0019791666666666664,"Haliburton, Kawartha, Pine Ridge District Health Unit",18646.0,35160109002.0,35.0,3516010.0,530.0,35530.0,3535.0,35160109.0,-78.4736,44.336000000000006,0.0005,0.0268,0.0185,0.0027,0.035,0.0692,0.049,0.0887,0.029650000000000003,0.0,0.00415260835712432
30,2017A00073526,112847,Algoma Public Health Unit,7.9 %,11.2 %,24.6 %,20.9 %,5600,20.15125,0.0023214285714285715,0.0,The District of Algoma Health Unit,1069.0,35570317010.0,35.0,3557061.0,590.0,35590.0,3526.0,35570317.0,-84.2747,46.5175,0.0025,0.0208,0.0144,0.0033,0.0346,0.0794,0.0966,0.0834,0.0278,0.0099,0.0126050420168067
31,2017A00073538,161160,Hastings and Prince Edward Counties Health Unit,7.9 %,9.0 %,21.1 %,25.2 %,8000,20.145,0.00525,0.0005,Hastings and Prince Edward Counties Health Unit,30775.0,35120327008.0,35.0,3512020.0,522.0,35522.0,3538.0,35120327.0,-77.4609,44.1777,0.0014,0.0205,0.0248,0.0017,0.04455,0.08074999999999999,0.0526,0.0805,0.0315,,0.0
32,2017A00073541,193986,"Kingston, Frontenac and Lennox & Addington Public Health",7.9 %,11.1 %,18.3 %,18.1 %,9300,20.858709677419355,0.006451612903225807,0.0,"Kingston, Frontenac and Lennox and Addington Health Unit",37602.5,35100284505.5,35.0,3510010.0,521.0,35521.0,3541.0,35100284.5,-76.58245,44.2573,0.0043,0.02475,0.0336,0.0051,0.038,0.0943,0.0497,0.0857,0.054150000000000004,0.0087,0.122187742435997
33,2017A00073558,196707,Eastern Ontario Health Unit,8.2 %,11.7 %,19.1 %,18.5 %,10300,19.097766990291262,0.009029126213592233,0.0,The Eastern Ontario Health Unit,85924.0,35010352011.0,35.0,3501042.0,501.0,35501.0,3558.0,35010352.0,-74.881,45.2,0.0018,0.0165,0.021249999999999998,0.0031,0.0341,0.0796,0.0779,0.0834,0.0315,0.0064,0.0120903595291123
34,2017A00073563,30573,Timiskaming Health Unit,8.4 %,11.0 %,25.6 %,19.8 %,1700,17.984117647058824,0.010588235294117648,0.0,Timiskaming Health Unit,100993.0,35540110015.0,35.0,3554036.0,,,3563.0,35540110.0,-79.7777,47.6645,0.001,0.0157,0.0118,0.003,0.0291,0.07189999999999999,0.0586,0.0934,0.025,,0.0
35,2017A00073547,126943,North Bay Parry Sound District Health Unit,9.1 %,7.7 %,21.9 %,20.8 %,7200,17.630972222222223,0.0019444444444444444,0.0,North Bay Parry Sound District Health Unit,56106.5,35480236007.0,35.0,3548094.0,575.0,35575.0,3547.0,35480236.0,-79.46315,46.1917,0.0006,0.020450000000000003,0.0414,0.0057,0.0326,0.1074,0.0895,0.0787,0.0244,,0.0
