index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude
2415,ableliving services inc.,community support service,Ambulatory health care services,Province of Ontario,,125,redfern avenue,L9C7W9,hamilton,on,,Hamilton,3525005.0,35,43.24048479,-79.92012482
2416,aboriginal community based non-residential mental health services (css),community support service,Ambulatory health care services,Province of Ontario,,161,applegrove street,P3C1N2,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005.0,35,46.49171358,-81.00200379
2417,aboriginal peoples' alliance of northern ontario (apano),community support service,Ambulatory health care services,Province of Ontario,,173,railway street,P0L1C0,cochrane,on,,Cochrane,3556042.0,35,49.06100267,-81.02470509999999
2418,access alliance multicultural health and community services,community health centre,Hospitals,Province of Ontario,,340,college street,M5T3A9,toronto,on,,Toronto,3520005.0,35,43.65757158,-79.40343899
2419,access better living inc.,community support service,Ambulatory health care services,Province of Ontario,,733,ross avenue e,P4N8S8,timmins,on,,Timmins,3556027.0,35,48.48601227,-81.31161512
2420,access independent living services,community support service,Ambulatory health care services,Province of Ontario,,50,ashwarren road,M3J1Z5,toronto,on,,Toronto,3520005.0,35,43.7584873,-79.48115742
2421,acclaim health,community support service,Ambulatory health care services,Province of Ontario,,2370,speers road,L6L5M2,oakville,on,,Oakville,3524001.0,35,43.40795623,-79.72589097
2422,"accommodation, information and support inc.",mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,720,spadina avenue,M5S2T9,toronto,on,,Toronto,3520005.0,35,43.66539409,-79.40348049
2423,across boundaries: an ethnocultural mental health centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,1,york gate boulevard,M3N3A1,toronto,on,,Toronto,3520005.0,35,43.758994799999996,-79.51880674
2424,action plus physiotherapy rockland,other,Ambulatory health care services,Canadian Institute for Health Information,,,,K4K1K4,rockland,on,,,,35,,
2425,activity haven senior centre (peterborough) inc.,senior active living centre,Nursing and residential care facilities,Province of Ontario,,180,barnardo avenue,K9H5X1,peterborough,on,,Peterborough,3515014.0,35,44.31951895,-78.32075490000001
2426,adair place,retirement home,Nursing and residential care facilities,Province of Ontario,,462,adair road,K0K3G0,tamworth,on,,Stone Mills,3511030.0,35,44.47618644,-76.98939748
2427,addiction & mental health services - kingston frontenac lennox & addington (amhs - kfla),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,107,wellington street,K7L3C6,kingston,on,,Kingston,3510010.0,35,44.22905481,-76.48406659999999
2428,addiction services for york region,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,4261,highway 7,L3R9W6,markham,on,,Markham,3519036.0,35,43.85908432,-79.31460658
2429,addiction services of thames valley (adstv),mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,10,mondamin street,N5P2V1,saint thomas,on,,St. Thomas,3534021.0,35,42.77959605,-81.19344148
2430,addictions and mental health services - hastings prince edward,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,52,st lawrence street e,K0K2K0,madoc,on,,Centre Hastings,3512026.0,35,44.50567572,-77.47198554
2431,adelaide place retirement community,retirement home,Nursing and residential care facilities,Province of Ontario,,84,adelaide street s,K9V0G6,kawartha lakes,on,,Kawartha Lakes,3516010.0,35,44.34636004,-78.74439154
2432,adeline's lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,379,lake promenade,M8W1C1,toronto,on,,Toronto,3520005.0,35,43.58781597,-79.53873663
2433,adult recreation therapy centre,community support service,Ambulatory health care services,Province of Ontario,,58,easton road,N3P1J5,brantford,on,,Brantford,3529006.0,35,43.17723146,-80.24016811
2434,advent forestview retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,537,finch avenue w,M2R0A8,toronto,on,,Toronto,3520005.0,35,43.7703728,-79.44469031
2435,afton park place long term care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,1200,afton drive,N7S6L6,sarnia,on,,Sarnia,3538030.0,35,42.97632532,-82.36144406
2436,aide aux seniors de sudbury est/sudbury east seniors support inc.,community support service,Ambulatory health care services,Province of Ontario,,44,st christophe street,P0M2N0,no„´lville,on,,French River / RiviËre des FranÁais,3552001.0,35,46.136083,-80.425449
2437,akausivik inuit family health team (formerly tungasuvvingat inuit),family health team - contract,Ambulatory health care services,Province of Ontario,,24,selkirk street,K1L0A4,ottawa,on,,Ottawa,3506008.0,35,45.43172166,-75.66769193
2438,albany retirement village,retirement home,Nursing and residential care facilities,Province of Ontario,,423,albany street,N0N1R0,petrolia,on,,Petrolia,3538019.0,35,42.88016952,-82.14880159
2439,albright gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,5050,hillside drive,L0R1B2,lincoln,on,,Lincoln,3526057.0,35,43.15187669,-79.47659767
2440,albright manor,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L0R1B2,beamsville,on,,,,35,,
2441,alexander muir retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,197,prospect street,L3Y3T7,newmarket,on,,Newmarket,3519048.0,35,44.05368825,-79.45268034
2442,alexander place,long-term care home,Nursing and residential care facilities,Province of Ontario,,329,parkside drive,L0R2H0,hamilton,on,,Hamilton,3525005.0,35,43.34234541,-79.90081952
2443,alexandra hospital,general,Hospitals,Public Health Agency of Canada,,29,noxon st,N5C3V6,ingersoll,on,29 noxon st. ingersoll on n5c 3v6,Ingersoll,3532018.0,35,43.032068,-80.87545899999999
2444,alexandra marine and general hospital,hospital - corporation,Hospitals,Province of Ontario,,120,napier street,N7A1W5,goderich,on,,Goderich,3540028.0,35,43.75029339,-81.70601993
2445,alexandra marine and general hospital of goderich,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,274,huron road,N7A3A2,goderich,on,,Goderich,3540028.0,35,43.73584389,-81.69832412
2446,alexis lodge retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,707,ellesmere road,M1P2W1,toronto,on,,Toronto,3520005.0,35,43.76371901,-79.28864066
2447,algoma family services,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,205,mcnabb street,P6B1Y3,sault ste marie,on,,Sault Ste. Marie,3557061.0,35,46.5215406,-84.31783225
2448,algoma manor,community support service,Ambulatory health care services,Province of Ontario,,145,dawson street,P0R1L0,thessalon,on,,Thessalon,3557028.0,35,46.263461799999995,-83.56324898
2449,algoma manor nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,145,dawson street,P0R1L0,thessalon,on,,Thessalon,3557028.0,35,46.263461799999995,-83.56324898
2450,algoma manor nursing home - css,community support service,Ambulatory health care services,Province of Ontario,,145,dawson street,P0R1L0,thessalon,on,,Thessalon,3557028.0,35,46.263461799999995,-83.56324898
2451,algoma nurse practitioner-led clinic,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,443,northern avenue e,P6B5L3,sault ste marie,on,,Sault Ste. Marie,3557061.0,35,46.533840500000004,-84.30918975
2452,algoma public health,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,9,lawton street,P0R1B0,blind river,on,,Blind River,3557038.0,35,46.18549773,-82.95352888
2453,algoma public health unit,public health unit office,Ambulatory health care services,Province of Ontario,,294,willow avenue,P6B0A9,sault ste marie,on,,Sault Ste. Marie,3557061.0,35,46.5323816,-84.31484105
2454,algoma substance abuse rehabilitation centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,126,queen street e,P6A1Y5,sault ste marie,on,,Sault Ste. Marie,3557061.0,35,46.5164072,-84.33883146
2455,algonquin family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,100,frank miller drive,P1H1H7,huntsville,on,,Huntsville,3544042.0,35,45.33830888,-79.20335818
2456,algonquin nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,231,10 street,P0H1V0,mattawa,on,,Mattawa,3548021.0,35,46.31349257,-78.71984132
2457,algonquins of pikwakanagan,community support service,Ambulatory health care services,Province of Ontario,,1657,mishomis inamo,K0J1X0,golden lake,on,,Pikwakanagan (Golden Lake 39),3547037.0,35,45.57562081,-77.25115207
2458,alice saddy association,community support service,Ambulatory health care services,Province of Ontario,,111,waterloo street,N6B2M4,london,on,,London,3539036.0,35,42.97690648,-81.23850631
2459,allendale,long-term care home,Nursing and residential care facilities,Province of Ontario,,185,ontario street s,L9T2M4,milton,on,,Milton,3524009.0,35,43.51655054,-79.87240973
2460,alliston family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,36,victoria street w,L9R1S8,new tecumseth,on,,New Tecumseth,3543007.0,35,44.15381495,-79.87046948
2461,almonte country haven,long-term care home,Nursing and residential care facilities,Province of Ontario,,333,country street,K0A1A0,mississippi mills,on,,Mississippi Mills,3509030.0,35,45.2188403,-76.19075728
2462,almonte general hospital,general,Hospitals,Public Health Agency of Canada,,75,spring st,K0A1A0,almonte,on,75 spring st. almonte on k0a 1a0,Mississippi Mills,3509030.0,35,45.229134,-76.189495
2463,alpha court non-profit housing inc.,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,270,windsor street,P7B1V5,thunder bay,on,,Thunder Bay,3558004.0,35,48.44347166,-89.25623467
2464,alpha house,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,647,broadview avenue,M4K2N9,toronto,on,,Toronto,3520005.0,35,43.67333379,-79.35586548
2465,alta vista manor,retirement home,Nursing and residential care facilities,Province of Ontario,,751,peter morand crescent,K1G6S9,ottawa,on,,Ottawa,3506008.0,35,45.40349445,-75.63938942
2466,altamont care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,92,island road,M1C2P5,toronto,on,,Toronto,3520005.0,35,43.79854962,-79.14005432
2467,alzheimer society - york region,community support service,Ambulatory health care services,Province of Ontario,,240,edward street,L4G3S9,aurora,on,,Aurora,3519046.0,35,43.9873434,-79.4613733
2468,alzheimer society lanark leeds grenville,community support service,Ambulatory health care services,Province of Ontario,,42,garden street,K6V2C3,brockville,on,,Brockville,3507015.0,35,44.59188291,-75.68349326
2469,alzheimer society leeds-grenville,community support service,Ambulatory health care services,Province of Ontario,,42,garden street,K6V2C3,brockville,on,,Brockville,3507015.0,35,44.59188291,-75.68349326
2470,alzheimer society of belleville-hastings-quinte,community support service,Ambulatory health care services,Province of Ontario,,470,dundas street e,K8N1G1,belleville,on,,Belleville,3512005.0,35,44.168469,-77.353038
2471,alzheimer society of brant,community support service,Ambulatory health care services,Province of Ontario,,101,brant avenue,N3T3H4,brantford,on,,Brantford,3529006.0,35,43.14248265,-80.27205522
2472,alzheimer society of cambridge,community support service,Ambulatory health care services,Province of Ontario,,1145,concession road,N3H4L6,cambridge,on,,Cambridge,3530010.0,35,43.39701529,-80.34420357
2473,alzheimer society of chatham-kent,community support service,Ambulatory health care services,Province of Ontario,,36,memory lane,N7L5M8,chatham-kent,on,,Chatham-Kent,3536020.0,35,42.41444853,-82.18305125
2474,alzheimer society of cornwall & district,community support service,Ambulatory health care services,Province of Ontario,,106,2 street w,K6J1G5,cornwall,on,,Cornwall,3501012.0,35,45.01701602,-74.73122098
2475,alzheimer society of dufferin county,community support service,Ambulatory health care services,Province of Ontario,,25,centennial road,L9W1R1,orangeville,on,,Orangeville,3522014.0,35,43.9123152,-80.10782484
2476,alzheimer society of durham region,community support service,Ambulatory health care services,Province of Ontario,,419,king street w,L1J2K5,oshawa,on,,Oshawa,3518013.0,35,43.88944965,-78.87895794
2477,alzheimer society of elgin-st. thomas,community support service,Ambulatory health care services,Province of Ontario,,450,sunset drive,N5R5V1,saint thomas,on,,Central Elgin,3534020.0,35,42.73878874,-81.19297157
2478,alzheimer society of grey-bruce,community support service,Ambulatory health care services,Province of Ontario,,753,2 avenue e,N4K2G9,owen sound,on,,Owen Sound,3542059.0,35,44.56309927,-80.94192327
2479,alzheimer society of guelph-wellington,community support service,Ambulatory health care services,Province of Ontario,,111,macdonell street,N1H2Z7,guelph,on,,Guelph,3523008.0,35,43.54541173,-80.24641475
2480,alzheimer society of hamilton and halton,community support service,Ambulatory health care services,Province of Ontario,,1685,main street w,L8S1G5,hamilton,on,,Hamilton,3525005.0,35,43.25665249,-79.93422662
2481,alzheimer society of hastings-prince edward,community support service,Ambulatory health care services,Province of Ontario,,470,dundas street e,K8N1G1,belleville,on,,Belleville,3512005.0,35,44.16796597,-77.35377838
2482,alzheimer society of huron county inc.,community support service,Ambulatory health care services,Province of Ontario,,317,huron road,N0M1L0,clinton,on,,Central Huron,3540025.0,35,43.62179308,-81.54961967
2483,alzheimer society of kenora & rainy river district,community support service,Ambulatory health care services,Province of Ontario,,618,9 street n,P9N4B5,kenora,on,,Kenora,3560010.0,35,49.77572754,-94.4852186
2484,alzheimer society of kingston,community support service,Ambulatory health care services,Province of Ontario,,400,elliott avenue,K7K6M9,kingston,on,,Kingston,3510010.0,35,44.25568652,-76.498125
2485,alzheimer society of kitchener-waterloo,community support service,Ambulatory health care services,Province of Ontario,,831,frederick street,N2B2B4,kitchener,on,,Kitchener,3530013.0,35,43.4633353,-80.45872131
2486,alzheimer society of london and middlesex,community support service,Ambulatory health care services,Province of Ontario,,435,windermere road,N5X2T1,london,on,,London,3539036.0,35,43.01664828,-81.26913702
2487,alzheimer society of muskoka,community support service,Ambulatory health care services,Province of Ontario,,440,ecclestone drive,P1L1Z6,bracebridge,on,,Bracebridge,3544018.0,35,45.01841232,-79.31460759
2488,alzheimer society of niagara region,community support service,Ambulatory health care services,Province of Ontario,,403,ontario street,L2N1L5,st catharines,on,,St. Catharines,3526053.0,35,43.18351721,-79.26633031
2489,alzheimer society of north bay and district,community support service,Ambulatory health care services,Province of Ontario,,1180,cassells street,P1B4B6,north bay,on,,North Bay,3548044.0,35,46.31889133,-79.44197936
2490,alzheimer society of north east simcoe county,community support service,Ambulatory health care services,Province of Ontario,,169,front street s,L3V6K2,orillia,on,,Orillia,3543052.0,35,44.60535525,-79.41127648
2491,alzheimer society of ontario,community support service,Ambulatory health care services,Province of Ontario,,1200,bay street,M5R2A5,toronto,on,,Toronto,3520005.0,35,43.66999639,-79.38985879
2492,alzheimer society of oxford,community support service,Ambulatory health care services,Province of Ontario,,575,peel street,N4S1K6,woodstock,on,,Woodstock,3532042.0,35,43.12995893,-80.75260207
2493,alzheimer society of perth county,community support service,Ambulatory health care services,Province of Ontario,,1020,ontario street,N5A6Z3,stratford,on,,Stratford,3531011.0,35,43.37141906,-80.94661975
2494,"alzheimer society of peterborough, haliburton & northumberland",community support service,Ambulatory health care services,Province of Ontario,,183,simcoe street,K9H2H6,peterborough,on,,Peterborough,3515014.0,35,44.30437875,-78.3210991
2495,alzheimer society of prince edward county,community support service,Ambulatory health care services,Province of Ontario,,90,king street prince,K0K2T0,edward,on,,Prince Edward County,3513020.0,35,44.00956055,-77.14004779
2496,alzheimer society of sarnia-lambton,community support service,Ambulatory health care services,Province of Ontario,,420,east street n,N7T6Y5,sarnia,on,,Sarnia,3538030.0,35,42.98421102,-82.38565967
2497,alzheimer society of sault ste. marie and algoma,community support service,Ambulatory health care services,Province of Ontario,,341,trunk road,P6A3S9,sault ste marie,on,,Sault Ste. Marie,3557061.0,35,46.5159811,-84.28650594
2498,alzheimer society of simcoe county,community support service,Ambulatory health care services,Province of Ontario,,20,anne street s,L4M5R4,barrie,on,,Barrie,3543042.0,35,44.3813294,-79.70462585
2499,alzheimer society of thunder bay,community support service,Ambulatory health care services,Province of Ontario,,180,park avenue,P7B6J4,thunder bay,on,,Thunder Bay,3558004.0,35,48.43359187,-89.21958186
2500,alzheimer society of timmins-porcupine district inc.,community support service,Ambulatory health care services,Province of Ontario,,70,cedar street s,P4N2G6,timmins,on,,Timmins,3556027.0,35,48.47470957,-81.32914363
2501,alzheimer society of toronto,community support service,Ambulatory health care services,Province of Ontario,,20,eglinton avenue w,M4R1K8,toronto,on,,Toronto,3520005.0,35,43.70669329,-79.39948989
2502,alzheimer society of windsor and essex county,community support service,Ambulatory health care services,Province of Ontario,,2135,richmond street,N8Y0A1,windsor,on,,Windsor,3537039.0,35,42.31669177,-83.0061887
2503,alzheimer society peel,community support service,Ambulatory health care services,Province of Ontario,,60,briarwood avenue,L5G3N6,mississauga,on,,Mississauga,3521005.0,35,43.56089946,-79.58102284
2504,alzheimer society peel (central west lhin),community support service,Ambulatory health care services,Province of Ontario,,60,briarwood avenue,L5G3N6,mississauga,on,,Mississauga,3521005.0,35,43.56089946,-79.58102284
2505,alzheimer society sudbury-manitoulin,community support service,Ambulatory health care services,Province of Ontario,,960,notre dame avenue,P3A2T4,sudbury,on,,Greater Sudbury / Grand Sudbury,3553005.0,35,46.51756439,-80.98200638
2506,alzheimer society waterloo wellington,community support service,Ambulatory health care services,Province of Ontario,,831,frederick street,N2B2B4,kitchener,on,,Kitchener,3530013.0,35,43.4633353,-80.45872131
2507,amber lea place retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,384,st paul avenue,N3R4N4,brantford,on,,Brantford,3529006.0,35,43.15713846,-80.27468682
2508,amelie residence,retirement home,Nursing and residential care facilities,Province of Ontario,,3866,albion road,K1T1B3,ottawa,on,,Ottawa,3506008.0,35,45.34295944,-75.63716051
2509,amethyst women's addiction centre,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,488,wilbrod street,K1N6M8,ottawa,on,,Ottawa,3506008.0,35,45.42991766,-75.67444133
2510,amherstburg community services,community support service,Ambulatory health care services,Province of Ontario,,179,victoria street s,N9V4K5,amherstburg,on,,Amherstburg,3537028.0,35,42.10448713,-83.10021441
2511,amherstburg family health team,family health team - contract,Ambulatory health care services,Province of Ontario,,721,front road s,N9V2M4,amherstburg,on,,Amherstburg,3537028.0,35,42.08735643,-83.10897921
2512,amica at barrie,retirement home,Nursing and residential care facilities,Province of Ontario,,70,lakeside terrace,L4M0J2,barrie,on,,Barrie,3543042.0,35,44.4162674,-79.66788724
2513,amica at bayview,retirement home,Nursing and residential care facilities,Province of Ontario,,15,barberry place,M2K1G4,toronto,on,,Toronto,3520005.0,35,43.766395,-79.38399909
2514,amica at bayview gardens,retirement home,Nursing and residential care facilities,Province of Ontario,,19,rean drive,M2K0A4,toronto,on,,Toronto,3520005.0,35,43.76720841,-79.38241549
2515,amica at brampton,retirement home,Nursing and residential care facilities,Province of Ontario,,223,main street s,L6Y6H1,brampton,on,,Brampton,3521010.0,35,43.67006457,-79.7398157
2516,amica at city centre,retirement home,Nursing and residential care facilities,Province of Ontario,,380,princess royal drive,L5B4M9,mississauga,on,,Mississauga,3521005.0,35,43.58723066,-79.64714336
2517,amica at dundas,retirement home,Nursing and residential care facilities,Province of Ontario,,50,hatt street,L9H0A1,hamilton,on,,Hamilton,3525005.0,35,43.26447919,-79.95503403
2518,amica at erin mills,retirement home,Nursing and residential care facilities,Province of Ontario,,4620,kimbermount avenue,L5M5W5,mississauga,on,,Mississauga,3521005.0,35,43.54959005,-79.71614718
2519,amica at london,retirement home,Nursing and residential care facilities,Province of Ontario,,517,fanshawe park road w,N6G0C1,london,on,,London,3539036.0,35,43.02024838,-81.30637654
2520,amica at newmarket,retirement home,Nursing and residential care facilities,Province of Ontario,,275,doak lane,L3Y0A2,newmarket,on,,Newmarket,3519048.0,35,44.05501705,-79.43496524
2521,amica at oakville,retirement home,Nursing and residential care facilities,Province of Ontario,,160,bronte road,L6L3C1,oakville,on,,Oakville,3524001.0,35,43.39473282,-79.71469797
2522,amica at stoney creek,retirement home,Nursing and residential care facilities,Province of Ontario,,135,king street e,L8G1J8,hamilton,on,,Hamilton,3525005.0,35,43.21755269,-79.74812356
2523,amica at swan lake,retirement home,Nursing and residential care facilities,Province of Ontario,,6360,16 avenue,L3P7Y6,markham,on,,Markham,3519036.0,35,43.89526623,-79.25243066
2524,amica at the balmoral club,retirement home,Nursing and residential care facilities,Province of Ontario,,155,balmoral avenue,M4V1J5,toronto,on,,Toronto,3520005.0,35,43.68422839,-79.40018149
2525,amica at thornhill,retirement home,Nursing and residential care facilities,Province of Ontario,,546,steeles avenue w,L4J1A2,vaughan,on,,Vaughan,3519028.0,35,43.79438891,-79.43905361
2526,amica at unionville,retirement home,Nursing and residential care facilities,Province of Ontario,,34,main street unionville,L3R4Z8,markham,on,,Markham,3519036.0,35,43.85638152,-79.31000908
2527,amica at westboro park,retirement home,Nursing and residential care facilities,Province of Ontario,,491,richmond road,K2A1G4,ottawa,on,,Ottawa,3506008.0,35,45.38886545,-75.76081176
2528,amica at whitby,retirement home,Nursing and residential care facilities,Province of Ontario,,200,kenneth hobbs avenue,L1R0G6,whitby,on,,Whitby,3518009.0,35,43.90290315,-78.94221856
2529,amica at windsor,retirement home,Nursing and residential care facilities,Province of Ontario,,4909,riverside drive,N8Y0A4,windsor,on,,Windsor,3537039.0,35,42.32797968,-82.97918309
2530,anagram premier/rescare premier canada,community support service,Ambulatory health care services,Province of Ontario,,990,line 1 road,L0S1J0,niagara-on-the-lake,on,,Niagara-on-the-Lake,3526047.0,35,43.22611312,-79.09861726
2531,ancaster community services,community support service,Ambulatory health care services,Province of Ontario,,300,wilson street e,L9G2B9,hamilton,on,,Hamilton,3525005.0,35,43.22526378,-79.97666674
2532,anfield manor,retirement home,Nursing and residential care facilities,Province of Ontario,,26,joseph street,N0M1L0,londesborough,on,,Central Huron,3540025.0,35,43.614670399999994,-81.5405969
2533,angel's retirement home,retirement home,Nursing and residential care facilities,Province of Ontario,,417,queenston street,L2P2Y3,st catharines,on,,St. Catharines,3526053.0,35,43.15948841,-79.20817339
2534,anishnawbe health toronto,mental health and addiction organization,Nursing and residential care facilities,Province of Ontario,,22,vaughan road,M6G2N1,toronto,on,,Toronto,3520005.0,35,43.68166709,-79.41843809999999
2535,anishnawbe health toronto community health centre,community health centre,Hospitals,Province of Ontario,,225,queen street e,M5A1S4,toronto,on,,Toronto,3520005.0,35,43.65422059,-79.36981238
2536,anishnawbe mushkiki inc.,nurse practitioner led clinic,Ambulatory health care services,Province of Ontario,,101,syndicate avenue n,P7C3V4,thunder bay,on,,Thunder Bay,3558004.0,35,48.38439656,-89.24912166
2537,anne johnston health station - tobias house attendant care,community health centre,Hospitals,Province of Ontario,,2398,yonge street,M4P2H4,toronto,on,,Toronto,3520005.0,35,43.70972309,-79.39930509
2538,anne johnston health station - tobias house attendant care (css),community support service,Ambulatory health care services,Province of Ontario,,695,coxwell avenue,M4C5R6,toronto,on,,Toronto,3520005.0,35,43.68309609,-79.32334507
2539,anson general hospital,general,Hospitals,Public Health Agency of Canada,,58,anson dr,P0K1E0,iroquois falls,on,58 anson dr. iroquois falls on p0k 1e0,Iroquois Falls,3556031.0,35,48.7690269,-80.6860401
2540,anson place care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,85,main street n,N0A1H0,hagersville,on,,Haldimand County,3528018.0,35,42.96738873,-80.04801284
2541,aon inc. ó centennial place long term care home,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L0A1G0,millbrook,on,,,,35,,
2542,aon inc. ó moira place,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,K0K3J0,tweed,on,,Tweed,,35,,
2543,apans health services ó copper terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N7M1B3,chatham,on,,,,35,,
2544,apans health services ó grace villa hamilton,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,L8V4V5,hamilton,on,,Hamilton,,35,,
2545,apans health services ó middlesex terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0L1E0,delaware,on,,,,35,,
2546,apans health services ó park lane terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N3L2N9,paris,on,,,,35,,
2547,apans health services ó richmond terrace,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N9V1E7,amherstburg,on,,Amherstburg,,35,,
2548,apans health services ó watford quality care centre,long term care,Nursing and residential care facilities,Canadian Institute for Health Information,,,,N0M2S0,watford,on,,,,35,,
2549,aphasia institute,community support service,Ambulatory health care services,Province of Ontario,,73,scarsdale road,M3B2R2,toronto,on,,Toronto,3520005.0,35,43.7494936,-79.35469398
2550,appleby place,retirement home,Nursing and residential care facilities,Province of Ontario,,500,appleby line,L7L5Z6,burlington,on,,Burlington,3524002.0,35,43.36821872,-79.75569998
2551,applefest lodge,retirement home,Nursing and residential care facilities,Province of Ontario,,120,elizabeth street,K0K1H0,brighton,on,,Brighton,3514004.0,35,44.04358743,-77.72759309
2552,applewood retirement residence,retirement home,Nursing and residential care facilities,Province of Ontario,,1500,lansdowne street w,K9J2A2,peterborough,on,,Peterborough,3515014.0,35,44.27854324,-78.36214781
2553,arbor trace alzheimer's special care center,retirement home,Nursing and residential care facilities,Province of Ontario,,120,chelton road,N6M1C6,london,on,,London,3539036.0,35,42.96298198,-81.17483989
2554,arbour creek long-term care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,2717,king street e,L8G1J3,hamilton,on,,Hamilton,3525005.0,35,43.22141329,-79.77670807
2555,arbour heights,long-term care home,Nursing and residential care facilities,Province of Ontario,,564,tanner drive,K7M0C3,kingston,on,,Kingston,3510010.0,35,44.23937071,-76.55865852
