HR_UID,ENG_LABEL,FRE_LABEL,Shape_Leng,Shape_Area,HR_UID_2,ENG_LABEL_2,FRE_LABEL_2
"3566",Wellington-Dufferin-Guelph Health Unit,Circonscription sanitaire de Wellington-Dufferin-Guelph,405003.86612999998,4393653327.30000019073,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3570",York Regional Health Unit,Circonscription sanitaire régionale de York,244497.00713600000,2191146335.90999984741,"3512",North Simcoe Muskoka,Simcoe Nord Muskoka
"3526",The District of Algoma Health Unit,Circonscription sanitaire du district d'Algoma,3026509.76746999985,44944996469.69999694824,"3513",North East,Nord-Est
"3535","Haliburton, Kawartha, Pine Ridge District Health Unit","Circonscription sanitaire du district de Haliburton, Kawartha et Pine Ridge",841245.95352800004,10259359459.60000038147,"3513",North East,Nord-Est
"3538",Hastings and Prince Edward Counties Health Unit,Circonscription sanitaire des comtés de Hastings et Prince Edward,1129597.82581999991,7682618460.39000034332,"3513",North East,Nord-Est
"3547",North Bay Parry Sound District Health Unit,Circonscription sanitaire du district de North Bay Parry Sound,3289144.72911999980,19586849285.09999847412,"3513",North East,Nord-Est
"3556",Porcupine Health Unit,Circonscription sanitaire de Porcupine,2901441.76067999983,275623088192.00000000000,"3513",North East,Nord-Est
"3557",Renfrew County and District Health Unit,Circonscription sanitaire du comté et du district de Renfrew,763171.93033000000,16931293740.70000076294,"3513",North East,Nord-Est
"3560",Simcoe Muskoka District Health Unit,Circonscription sanitaire du district de Simcoe Muskoka,1731101.09563000011,10234824348.79999923706,"3513",North East,Nord-Est
"3561",Sudbury and District Health Unit,Circonscription sanitaire de Sudbury et son district,4259083.32791000046,51774337491.80000305176,"3513",North East,Nord-Est
"3562",Thunder Bay District Health Unit,Circonscription sanitaire du district de Thunder Bay,5036774.22680999991,249417743063.00000000000,"3513",North East,Nord-Est
"3563",Timiskaming Health Unit,Circonscription sanitaire de Timiskaming,603607.32213300001,15774542455.10000038147,"3513",North East,Nord-Est
"3526",The District of Algoma Health Unit,Circonscription sanitaire du district d'Algoma,3026509.76746999985,44944996469.69999694824,"3514",North West,Nord-Ouest
"3549",Northwestern Health Unit,Circonscription sanitaire du Nord-Ouest,9437888.41592999920,198894912741.00000000000,"3514",North West,Nord-Ouest
"3556",Porcupine Health Unit,Circonscription sanitaire de Porcupine,2901441.76067999983,275623088192.00000000000,"3514",North West,Nord-Ouest
"3562",Thunder Bay District Health Unit,Circonscription sanitaire du district de Thunder Bay,5036774.22680999991,249417743063.00000000000,"3514",North West,Nord-Ouest
