,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases
68,Gardenview Long Term Care Home,Townsend,64,0,0,0
69,Glen Hill Strathaven,Bowmanville,210,<5,0,0
70,Golden Dawn Nursing Home,Lion's Head,45,<5,0,0
71,Golden Manor,Timmins,177,<5,0,0
72,Golden Years Nursing Home,Cambridge,88,0,0,<5
73,Grace Manor,Brampton,120,42,11,25
74,Grace Villa Nursing Home,Hamilton,184,0,0,<5
75,Harold and Grace Baker Centre,Toronto,120,8,13,17
76,Hastings Manor Home for the Aged,Belleville,253,6,<5,5
77,Hawthorne Place Care Centre,North York,269,45,31,77
78,Hellenic Home - Scarborough,Scarborough,128,44,14,21
79,Henley Place,London,192,<5,0,0
80,Heritage Green Nursing Home,Stoney Creek,167,0,<5,0
81,Heron Terrace Long Term Care Community,Windsor,140,46,23,14
82,Hogarth Riverview Manor,Thunder Bay,543,0,0,<5
83,Humber Valley Terrace,Etobicoke (Rexdale),158,46,9,18
84,Idlewyld Manor,Hamilton,192,<5,0,0
85,Ina Grafton Gage Home,Scarborough,128,43,26,30
86,Isabel and Arthur Meighen Manor,Toronto,168,61,42,45
87,Ivan Franko Home (Etobicoke),Toronto,85,0,0,<5
88,Kensington Village,London,78,<5,5,<5
89,Kipling Acres,Etobicoke,337,53,13,11
90,Kristus Darzs Latvian Home,Woodbridge,100,21,7,17
91,Lakeshore Lodge,Etobicoke,150,41,11,17
92,Lanark Heights Long Term Care Centre,Kitchener,160,<5,<5,<5
93,Leamington Mennonite Home Long Term Care Residence,Leamington,84,0,0,<5
94,MacKenzie Place,Newmarket,93,66,11,21
95,Madonna Care Community,Orleans,160,52,33,41
96,Main Street Terrace,Toronto,150,<5,0,0
97,Malton Village Long Term Care Centre,Mississauga,160,<5,0,<5
98,Manoir Marochel,Ottawa,64,29,7,15
99,Maplewood,Brighton,49,<5,0,0
100,Markhaven,Markham,96,9,17,16
101,Maynard Nursing Home,Toronto,77,0,0,0
102,Meadow Park (London),London,126,<5,<5,8
103,Midland Gardens Care Community,Scarborough,299,21,<5,8
104,Mon Sheong Home for the Aged,Toronto,105,23,32,16
105,Montfort,Ottawa,128,63,27,18
106,North Park Nursing Home,North York,75,0,0,<5
107,Northview Nursing Home,Englehart,48,<5,0,0
108,Norwood Nursing Home,Toronto,60,<5,0,<5
109,Orchard Villa,Pickering,233,74,69,<5
110,Owen Hill Care Community,Barrie,57,14,6,10
111,Parkview Manor Health Care Centre,Chesley,34,<5,0,0
112,Peel Manor,Brampton,177,<5,<5,6
113,peopleCare A.R. Goudie Kitchener,Kitchener,80,<5,9,13
114,peopleCare Hilltop Manor Cambridge,Cambridge,185,0,0,<5
115,peopleCare Oakcrossing London,London,160,0,0,<5
116,Peter D. Clark Centre,Ottawa,216,5,<5,5
117,Pinecrest (Plantagenet),Plantagenet,60,24,9,5
118,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,33,29,32
119,Post Inn Village,Oakville,228,<5,0,<5
120,ReachView Village,Uxbridge,100,6,<5,8
121,Regina Gardens,Hamilton,128,0,0,<5
122,Residence Saint-Louis,Ottawa,198,21,<5,17
123,River Glen Haven Nursing Home,Sutton West,119,35,5,18
124,Riverside Place,Windsor,96,0,0,<5
125,Rockcliffe Care Community,Scarborough,204,0,0,<5
126,Royal Rose Place,Welland,96,<5,17,<5
127,Seven Oaks,Scarborough,249,24,40,21
128,Shelburne Long Term Care Home,Shelburne,60,19,18,18
129,Sherbourne Place,Toronto,126,38,18,26
130,Sheridan Villa,Mississauga,142,10,<5,7
131,Sherwood Court Long Term Care Centre,Maple,96,0,0,<5
132,Silverthorn Care Community,Mississauga,160,0,0,<5
133,South Centennial Manor,Iroquois Falls,69,<5,0,0
134,Southlake Residential Care Village,Newmarket,224,0,0,<5
135,St. Clair O'Connor Community Nursing Home,East York,25,6,8,<5
136,St. Gabriel's Villa of Sudbury,Chelmsford,128,0,0,<5
137,St. George Care Community,Toronto,238,0,0,<5
138,St. Joseph's at Fleming,Peterborough,200,<5,0,<5
139,St. Joseph's Continuing Care Centre,Cornwall,150,0,0,<5
140,St. Patrick's Home,Ottawa,288,9,0,<5
141,Stoneridge Manor,Carleton Place,60,52,6,<5
142,Strathcona Long Term Care,Mount Forest,87,0,0,<5
143,Sun Parlor Home for Senior Citizens,Leamington,206,<5,<5,<5
144,Sunnycrest Nursing Home,Whitby,136,<5,0,0
145,Tall Pines Long Term Care Centre,Brampton,160,<5,0,<5
146,Telfer Place,Paris,45,<5,0,0
147,Temiskaming Lodge,Haileybury,83,<5,0,<5
148,The Henley House,St. Catharines,160,0,0,0
149,The Jewish Home for the Aged,North York,472,<5,<5,6
150,The Kensington Gardens,Toronto,350,14,8,5
151,The O'Neill Centre,Toronto,162,<5,0,<5
152,The Perley and Rideau Veterans' Health Centre,Ottawa,450,9,8,16
153,The Village at St. Clair,Windsor,256,0,0,<5
154,The Village at University Gates,Waterloo,192,0,0,<5
155,The Village of Erin Meadows,Mississauga,180,43,9,21
156,The Village of Humber Heights,Etobicoke,192,20,6,9
157,The Village of Riverside Glen,Guelph,192,0,0,<5
158,The Village of Wentworth Heights,Hamilton,120,0,0,<5
159,The Village of Winston Park,Kitchener,95,<5,0,0
160,Tony Stacey Centre for Veterans' Care,Toronto,100,<5,0,0
161,Trinity Village Care Centre,Kitchener,150,29,14,38
162,Twin Oaks of Maryhill,Maryhill,31,0,0,<5
163,Ukrainian Canadian Care Centre,Etobicoke,152,25,<5,<5
164,Union Villa,Unionville,160,0,0,<5
165,Valleyview Residence,North York,174,<5,<5,<5
166,Vermont Square,Toronto,130,<5,0,<5
167,Villa Colombo Homes for the Aged,Toronto,391,9,<5,11
168,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,24,11,16
169,Villa Forum,Mississauga,160,37,10,20
170,Villa Leonardo Gambin,Woodbridge,168,31,11,23
171,Vision Nursing Home,Sarnia,146,5,<5,<5
172,Wellesley Central Place,Toronto,150,43,16,21
173,Wentworth Lodge,Dundas,160,0,0,0
174,Wesburn Manor,Etobicoke,192,<5,0,0
175,West Park Long Term Care Centre,Toronto,200,57,20,31
176,Weston Terrace Care Community,Toronto,224,42,13,29
177,Wikwemikong Nursing Home,Wikwemikong,59,<5,0,0
178,Woodbridge Vista Care Community,Woodbridge,224,<5,0,<5
179,Woodland Villa,Long Sault,111,<5,0,0
