,LTC Home,City,Beds,Resident Deaths
54,Extendicare Tecumseh,Tecumseh,128,0
55,Extendicare Timmins,Timmins,180,0
56,Extendicare West End Villa,Ottawa,242,0
57,Extendicare York,Sudbury,288,0
58,Fairview Lodge,Whitby,198,0
59,Finlandia Hoivakoti Nursing Home,Sudbury,112,0
60,Fountain View Care Community,East York,158,0
61,Franklin Gardens Long Term Care Home,Leamington,120,0
62,Garden City Manor,St. Catharines,200,0
63,Gardenview Long Term Care Home,Townsend,64,0
64,Garry J. Armstrong Home,Ottawa,180,0
65,Glen Hill Strathaven,Bowmanville,210,0
66,Golden Dawn Nursing Home,Lion's Head,45,0
67,Golden Manor,Timmins,177,0
68,Golden Years Nursing Home,Cambridge,88,0
69,Grace Villa Nursing Home,Hamilton,184,0
70,Greenwood Court,Stratford,45,<5
71,Hallowell House,Picton,97,0
72,Harold and Grace Baker Centre,Toronto,120,16
73,Hastings Manor Home for the Aged,Belleville,253,<5
74,Heritage Green Nursing Home,Stoney Creek,167,<5
75,Hillsdale Estates,Oshawa,300,0
76,Hillsdale Terraces,Oshawa,200,13
77,Hillside Manor,Stratford,90,0
78,Hogarth Riverview Manor,Thunder Bay,543,0
79,Idlewyld Manor,Hamilton,192,0
80,IOOF Seniors Home,Barrie,182,0
81,Labdara Lithuanian Nursing Home,Etobicoke,90,0
82,Lakeview Manor,Beaverton,149,0
83,Lanark Heights Long Term Care Centre,Kitchener,160,0
84,Leamington Mennonite Home Long Term Care Residence,Leamington,84,0
85,MacKenzie Place,Newmarket,93,15
86,Maple View,Owen Sound,29,0
87,Maple View Lodge,Athens,60,0
88,Maplewood,Brighton,49,0
89,Markhaven,Markham,96,17
90,McCall Centre Long Term Care Interim Unit,Etobicoke,21,0
91,Miramichi Lodge,Pembroke,166,0
92,Moira Place Long-Term Care Home,Tweed,128,0
93,Mon Sheong Scarborough Long Term Care Centre,Scarborough,160,0
94,Mount Hope Centre for Long Term Care,London,394,0
95,North Park Nursing Home,North York,75,0
96,Northridge,Oakville,133,0
97,Northview Nursing Home,Englehart,48,0
98,Norwood Nursing Home,Toronto,60,0
99,Parkview Manor Health Care Centre,Chesley,34,0
100,peopleCare Hilltop Manor Cambridge,Cambridge,185,0
101,peopleCare Oakcrossing London,London,160,0
102,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,29
103,Pinehaven Nursing Home,Waterloo,84,0
104,Pioneer Manor,Sudbury,433,0
105,Providence Healthcare,Scarborough,288,<5
106,Providence Manor,Kingston,243,0
107,Regina Gardens,Hamilton,128,0
108,Riverside Place,Windsor,96,0
109,Riverview Manor Nursing Home,Peterborough,124,0
110,Rosebridge Manor,Jasper,78,0
111,Royal Terrace,Palmerston,67,0
112,Saint Luke's Place,Cambridge,114,0
113,Shalom Manor Long Term Care Home,Grimsby,144,0
114,Shelburne Long Term Care Home,Shelburne,60,18
115,Shepherd Lodge,Toronto,252,0
116,Sherwood Court Long Term Care Centre,Maple,96,0
117,Southlake Residential Care Village,Newmarket,224,0
118,Spencer House,Orillia,160,0
119,Sprucedale Care Centre,Strathroy,96,0
120,St. Andrew's Terrace Long Term Care Community,Cambridge,128,0
121,St. Clair O'Connor Community Nursing Home,East York,25,8
122,St. Gabriel's Villa of Sudbury,Chelmsford,128,0
123,St. Joseph's at Fleming,Peterborough,200,<5
124,St. Joseph's Continuing Care Centre,Cornwall,150,0
125,St. Joseph's Lifecare Centre,Brantford,205,0
126,"St. Joseph's Villa, Dundas",Dundas,425,0
127,"St. Joseph's Villa, Sudbury",Sudbury,128,<5
128,Stirling Heights,Cambridge,110,0
129,Strathcona Long Term Care,Mount Forest,87,0
130,Sumac Lodge,Sarnia,100,0
131,Sunnycrest Nursing Home,Whitby,136,0
132,Tall Pines Long Term Care Centre,Brampton,160,0
133,Telfer Place,Paris,45,0
134,Temiskaming Lodge,Haileybury,83,0
135,Tendercare Living Centre,Scarborough,254,<5
136,The Henley House,St. Catharines,160,0
137,The Kensington Gardens,Toronto,350,8
138,The O'Neill Centre,Toronto,162,0
139,The Perley and Rideau Veterans' Health Centre,Ottawa,450,11
140,The Village at St. Clair,Windsor,256,0
141,The Village at University Gates,Waterloo,192,0
142,The Village of Riverside Glen,Guelph,192,0
143,The Village of Wentworth Heights,Hamilton,120,0
144,The Village of Winston Park,Kitchener,95,0
145,The Wexford,Scarborough,166,0
146,The Woodlands of Sunset,Welland,121,0
147,Thorntonview,Oshawa,154,0
148,Tony Stacey Centre for Veterans' Care,Toronto,100,0
149,Twin Oaks of Maryhill,Maryhill,31,0
150,Union Villa,Unionville,160,0
151,Valleyview Residence,North York,174,<5
152,Villa Forum,Mississauga,160,10
153,Villa Marconi,Ottawa,128,0
154,Wellington Terrace Long-Term Care Home,Fergus,176,0
155,Wentworth Lodge,Dundas,160,0
156,Wikwemikong Nursing Home,Wikwemikong,59,0
157,Winbourne Park,Ajax,110,0
158,Woodland Villa,Long Sault,111,0
159,Woods Park Care Centre,Barrie,123,0
160,Yee Hong Centre - Markham,Markham,200,0
161,Yee Hong Centre - Mississauga,Mississauga,200,0
162,Yee Hong Centre - Scarborough Finch,Scarborough,250,0
163,Yee Hong Centre - Scarborough McNicoll,Scarborough,155,0
