,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,number_beds,lati,long
39,470 Albert Street,Champlain,Municipal,Yes,Yes,Yes,Yes,Renfrew, K7V4L5,43,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,bonnechere manor,0,0,<5,Active,Renfrew,3547048,180,45.48,-76.70
40,2656 6th Line,Central,For-Profit,No,Yes,Yes,Yes,Bradford, L3Z3H5,40,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,bradford valley care community,<5,11,0,Active,Bradford West Gwillimbury,3543014,246,44.10,-79.57
41,"719 Josephine Street North,  R.R. #1 P.O. Box 1060",South West,For-Profit,No,Yes,No,Yes,Wingham, N0G2W0,39,"(31.0, 46.0]",2,14,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,braemar retirement centre,0,0,0,Active,Morris-Turnberry,3540050,69,43.90,-81.30
42,425 Park Road North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Brantford, N3R7G5,55,"(46.0, 172.0]",3,15,"(11.0, 16.0]",1,9,"(7.0, 11.0]",2,brierwood gardens,,,,,Brantford,3529006,79,43.18,-80.25
43,210 Brockville Street,South East,For-Profit,No,Yes,No,No,Smiths Falls, K7A3Z4,31,"(21.0, 31.0]",1,18,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,broadview nursing centre,,,,,Smiths Falls,3509004,75,44.89,-76.02
44,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N4X8,33,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,brouillette manor,,,,,Tecumseh,3537048,60,42.31,-82.89
45,41 McGivern Street West P.O. Box 1600,South West,Municipal,No,Yes,No,No,Walkerton, N0G2V0,79,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,17,"(11.0, 44.0]",3,brucelea haven long term care home - corporation of the county of bruce,0,0,<5,Active,Brockton,3541032,144,44.12,-81.15
46,5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7L6W5,22,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,burloak,,,,,Burlington,3524002,144,43.38,-79.74
47,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,No,Yes,Yes,Yes,Campbellford, K0L1L0,28,"(21.0, 31.0]",1,16,"(11.0, 16.0]",1,5,"(0.0, 5.0]",0,burnbrae gardens long term care residence,,,,,Trent Hills,3514045,43,44.28,-77.85
48,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes,Brampton, L6Y5P3,27,"(21.0, 31.0]",1,9,"(0.0, 11.0]",0,6,"(5.0, 7.0]",1,burton manor,11,8,14,Active,Brampton,3521010,128,43.66,-79.77
49,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Burlington, L7P5A6,16,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,2,"(0.0, 5.0]",0,cama woodlands nursing home,,,,,Burlington,3524002,134,43.31,-79.87
50,3680 Speedsville Road R R 31,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Cambridge, N3H4R6,35,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,cambridge country manor,,,,,Cambridge,3530010,80,43.46,-80.36
51,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,Mississauga, L5B1M8,52,"(46.0, 172.0]",3,24,"(23.0, 86.0]",3,10,"(7.0, 11.0]",2,camilla care community,152,48,44,Active,Mississauga,3521005,236,43.57,-79.61
52,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes,North York, M2N4S5,18,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,carefree lodge,<5,0,0,Active,Toronto,3520005,127,43.79,-79.39
53,215 Eliza Street P.O. Box 700,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Arthur, N0G1A0,65,"(46.0, 172.0]",3,28,"(23.0, 86.0]",3,9,"(7.0, 11.0]",2,caressant care arthur nursing home,,,,,Wellington North,3523050,80,43.83,-80.53
54,2279 Laval Street P.O. Box 99,Champlain,For-Profit,No,Yes,Yes,Yes,Bourget, K0A1E0,116,"(46.0, 172.0]",3,56,"(23.0, 86.0]",3,24,"(11.0, 44.0]",3,caressant care bourget,,,,,Clarence-Rockland,3502036,60,45.44,-75.16
55,525 Causley Street P. O. Box 970,North East,Non-Profit,No,Yes,Yes,Yes,Blind River, P0R1B0,15,"(0.0, 21.0]",0,7,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,north shore health network â€“ ltc unit,,,,,,,22,46.19,-82.92
56,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes,Courtland, N0J1E0,33,"(31.0, 46.0]",2,12,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,caressant care courtland,0,0,<5,Active,Norfolk County,3528052,55,42.83,-80.63
57,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Fergus, N1M2Y7,68,"(46.0, 172.0]",3,45,"(23.0, 86.0]",3,26,"(11.0, 44.0]",3,caressant care fergus nursing home,,0,,Inactive,Centre Wellington,3523025,87,43.71,-80.37
58,131 Laidlaw Street South,Central East,For-Profit,Yes,Yes,Yes,Yes,Cannington, L0E1E0,21,"(0.0, 21.0]",0,11,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,bon air long term care residence,,,,,,,57,44.35,-79.04
59,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes,Lindsay, K9V5K5,49,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,caressant care lindsay nursing home,<5,0,<5,Active,Kawartha Lakes,3516010,124,44.34,-78.75
60,710 Reserve Avenue South,South West,For-Profit,Yes,Yes,No,Yes,Listowel, N4W2L1,28,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,4,"(0.0, 5.0]",0,caressant care listowel nursing home,,,,,North Perth,3531040,52,43.72,-80.95
61,58 Bursthall Street P.O. Box 429,South East,For-Profit,No,Yes,Yes,Yes,Marmora, K0K2M0,47,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,caressant care marmora,,,,,Marmora and Lake,3512046,84,44.48,-77.68
62,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes,St Thomas, N5R5T8,87,"(46.0, 172.0]",3,34,"(23.0, 86.0]",3,15,"(11.0, 44.0]",3,caressant care on bonnie place,,0,,Inactive,St. Thomas,3534021,116,42.77,-81.16
63,4 Mary Bucke Street,South West,For-Profit,No,Yes,No,Yes,St. Thomas, N5R5J6,36,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,caressant care on mary bucke,,,,,St. Thomas,3534021,60,42.77,-81.17
64,114 McLaughlin Road,Central East,For-Profit,No,Yes,Yes,Yes,Lindsay, K9V6L1,38,"(31.0, 46.0]",2,18,"(16.0, 23.0]",2,5,"(0.0, 5.0]",0,caressant care on mclaughlin road,,,,,Kawartha Lakes,3516010,96,44.34,-78.76
65,81 Fyfe Avenue,South West,For-Profit,Yes,Yes,Yes,Yes,Woodstock, N4S8Y2,95,"(46.0, 172.0]",3,51,"(23.0, 86.0]",3,21,"(11.0, 44.0]",3,caressant care woodstock nursing home,,,,,Woodstock,3532042,163,43.12,-80.74
66,55 Lodge Road R. R. #2,Champlain,Municipal,No,Yes,Yes,Yes,Nepean, K2C3H1,29,"(21.0, 31.0]",1,23,"(16.0, 23.0]",2,10,"(7.0, 11.0]",2,carleton lodge,,,,,Ottawa,3506008,161,45.27,-75.71
67,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes,Ottawa, K2B7H1,105,"(46.0, 172.0]",3,57,"(23.0, 86.0]",3,31,"(11.0, 44.0]",3,carlingview manor,93,39,61,Active,Ottawa,3506008,303,45.37,-75.78
68,375 James Street,South East,For-Profit,No,Yes,Yes,Yes,Gananoque, K7G2Z1,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,6,"(5.0, 7.0]",1,carveth care centre,,,,,Gananoque,3507024,104,44.34,-76.16
69,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes,Bobcaygeon, K0M1A0,24,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,case manor care community,,0,,Inactive,Kawartha Lakes,3516010,96,44.54,-78.54
70,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes,North Bay, P1B6J4,47,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,cassellholme,<5,0,0,Active,North Bay,3548044,240,46.32,-79.45
71,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,Toronto, M6G3C3,78,"(46.0, 172.0]",3,27,"(23.0, 86.0]",3,12,"(11.0, 44.0]",3,castleview wychwood towers,0,0,<5,Active,Toronto,3520005,456,43.67,-79.42
72,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5A4N8,27,"(21.0, 31.0]",1,17,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,cawthra gardens,,,,,Mississauga,3521005,192,43.59,-79.60
73,121 Morton Avenue,Central,For-Profit,No,Yes,Yes,Yes,Keswick, L4P2M5,19,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,cedarvale lodge retirement and care community,,,,,Georgina,3519070,60,44.23,-79.46
74,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,65,"(46.0, 172.0]",3,25,"(23.0, 86.0]",3,16,"(11.0, 44.0]",3,cedarvale terrace,0,0,<5,Active,Toronto,3520005,218,43.69,-79.41
75,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,37,"(31.0, 46.0]",2,37,"(23.0, 86.0]",3,5,"(0.0, 5.0]",0,cedarwood lodge,,,,,Sault Ste. Marie,3557061,50,46.55,-84.32
76,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,Simcoe, N3Y4R4,34,"(31.0, 46.0]",2,25,"(23.0, 86.0]",3,13,"(11.0, 44.0]",3,cedarwood village,,,,,Norfolk County,3528052,91,42.84,-80.33
77,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,29,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,7,"(5.0, 7.0]",1,centennial place long-term care home,,,,,Cavan Monaghan,3515013,128,44.16,-78.45
78,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes,Vanier, K1L5C6,122,"(46.0, 172.0]",3,86,"(23.0, 86.0]",3,44,"(11.0, 44.0]",3,centre d'accueil champlain,0,0,<5,Active,Ottawa,3506008,160,45.44,-75.66
79,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,Clarence Creek, K0A1N0,51,"(46.0, 172.0]",3,30,"(23.0, 86.0]",3,20,"(11.0, 44.0]",3,centre d'accueil roger seguin,,0,,Inactive,Clarence-Rockland,3502036,113,45.51,-75.22
80,12 Wren Drive P.O. Box 430,Champlain,For-Profit,No,Yes,No,Yes,Cobden, K0J1K0,22,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,caressant care cobden,,,,,,,64,45.63,-76.89
81,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes,Aurora, L4G2R9,28,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,8,"(7.0, 11.0]",2,chartwell aurora long term care residence,31,11,5,Active,Aurora,3519046,235,44.00,-79.47
82,465 Talbot Street West,South West,For-Profit,No,Yes,No,Yes,Aylmer, N5H1K8,30,"(21.0, 31.0]",1,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,chartwell aylmer long term care residence,,,,,Aylmer,3534011,64,42.77,-81.00
83,70 Station Street,Central East,For-Profit,No,Yes,Yes,Yes,Ajax, L1S1R9,65,"(46.0, 172.0]",3,43,"(23.0, 86.0]",3,7,"(5.0, 7.0]",1,chartwell ballycliffe long term care residence,5,30,31,Active,Ajax,3518005,100,43.85,-79.03
84,1182 Northshore Blvd. East,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Burlington, L7S1C5,42,"(31.0, 46.0]",2,13,"(11.0, 16.0]",1,6,"(5.0, 7.0]",1,chartwell brant centre long term care residence,,,,,Burlington,3524002,175,43.32,-79.80
85,11 Herbert Street,Waterloo Wellington,For-Profit,No,Yes,No,Yes,Elmira, N3B2B8,17,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,4,"(0.0, 5.0]",0,chartwell elmira long term care residence,,0,,Inactive,Woolwich,3530035,48,43.60,-80.56
86,1925 Steeles Avenue East,Central,For-Profit,No,Yes,No,Yes,North York, M2H2H3,57,"(46.0, 172.0]",3,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,chartwell gibson long term care residence,31,9,10,Active,Toronto,3520005,202,43.81,-79.37
87,2000 Blackwater Road,South West,For-Profit,No,Yes,No,Yes,London, N5X4K6,43,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,8,"(7.0, 11.0]",2,chartwell london long term care residence,,,,,London,3539036,95,43.04,-81.26
88,250 Tain Street P.O. Box 129,South West,For-Profit,No,Yes,No,Yes,Parkhill, N0M2K0,21,"(0.0, 21.0]",0,14,"(11.0, 16.0]",1,10,"(7.0, 11.0]",2,chartwell parkhill long term care residence,,,,,North Middlesex,3539041,59,43.16,-81.68
89,8403 Islington Avenue North,Central West,For-Profit,Yes,Yes,Yes,Yes,Woodbridge, L4L1X3,15,"(0.0, 21.0]",0,10,"(0.0, 11.0]",0,5,"(0.0, 5.0]",0,chartwell pine grove long term care residence,0,0,<5,Active,Vaughan,3519028,96,43.80,-79.58
90,1750 Division Road North,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Kingsville, N9Y4G7,72,"(46.0, 172.0]",3,40,"(23.0, 86.0]",3,14,"(11.0, 44.0]",3,chartwell royal oak long term care residence,,,,,Kingsville,3537013,160,42.05,-82.74
91,340 McCowan Road,Central East,For-Profit,Yes,Yes,Yes,Yes,Scarborough, M1J3P4,31,"(21.0, 31.0]",1,19,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,chartwell trilogy long term care residence,,,,,Toronto,3520005,197,43.74,-79.24
92,2140 Baronwood Drive,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Oakville, L6M4V6,42,"(31.0, 46.0]",2,21,"(16.0, 23.0]",2,11,"(7.0, 11.0]",2,chartwell waterford long term care residence,<5,0,<5,Active,Oakville,3524001,168,43.43,-79.76
93,2065 Leanne Boulevard,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Mississauga, L5K2L6,27,"(21.0, 31.0]",1,13,"(11.0, 16.0]",1,7,"(5.0, 7.0]",1,chartwell wenleigh long term care residence,,,,,Mississauga,3521005,161,43.52,-79.65
94,495 The West Mall,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,Etobicoke, M9C5S3,20,"(0.0, 21.0]",0,12,"(11.0, 16.0]",1,3,"(0.0, 5.0]",0,chartwell westbury long term care residence,61,20,23,Active,Toronto,3520005,187,43.65,-79.57
95,200 David Bergey Drive,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,Kitchener, N2E3Y4,44,"(31.0, 46.0]",2,19,"(16.0, 23.0]",2,9,"(7.0, 11.0]",2,chartwell westmount long term care residence,<5,0,0,Active,Kitchener,3530013,160,43.41,-80.52
96,138 Dowling Avenue,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M6K3A6,13,"(0.0, 21.0]",0,9,"(0.0, 11.0]",0,3,"(0.0, 5.0]",0,chartwell white eagle long term care residence,26,11,9,Active,Toronto,3520005,56,43.64,-79.44
