home_name,Placements for referrals from all prior locations (days),Placements for referrals from community (days),Placements for referrals from hospital (days),Antipsychotic Medication Use (%),Pressure Ulcers (%),Falls (%),Physical Restraints Use (%),Depression (%),Pain (%),cleaned_home_name,matched,name1,address,LHIN,home type,short stay,residents council,family council,accreditation,city,postal code,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
Hellenic Care For Seniors (Toronto) Inc.,345,345,NR,8.7,0.6,3.8,0.2,8.4,0.6,hellenic care for seniors (toronto),False,hellenic care for seniors (toronto),215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,Toronto, M6G4A9,20.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,hellenic care for seniors (toronto),,,,,Toronto,3520005.0,43.67679399,-79.43034200000001,81.0
Heritage Green Nursing Home,170,182,LV,28.9,3.3,13.1,9.3,17.9,0.9,heritage green nursing home,True,heritage green nursing home,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J2J3,61.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,heritage green nursing home,0,<5,0,Active,Hamilton,3525005.0,43.19352179,-79.78959737,167.0
Highland Wood,LV,LV,NR,16.0,1.6,22.6,7.7,36.5,16.7,highland wood,True,highland wood,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,15.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,highland wood,,,,,Dysart et al,3546024.0,45.03824146,-78.52941943,30.0
Hornepayne Community Hospital,LV,NR,LV,2.0,0.0,10.5,0.0,15.6,3.4,hornepayne community hospital,True,hornepayne community hospital,278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,Hornepayne, P0M1Z0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,hornepayne community hospital,,,,,Hornepayne,3557096.0,49.212827000000004,-84.774059,12.0
Idlewyld Manor,89.5,98.5,LV,22.4,4.4,14.2,3.2,31.9,8.9,idlewyld manor,True,idlewyld manor,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C2A7,58.0,"(46.0, 172.0]",3.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,idlewyld manor,<5,0,0,Active,Hamilton,3525005.0,43.23618909,-79.91485732,192.0
Kemptville District Hospital,NR,NR,NR,ST,ST,ST,ST,ST,ST,kemptville district hospital,True,kemptville district hospital,2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Kemptville, K0G1J0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,kemptville district hospital,,,,,North Grenville,3507065.0,45.0099179,-75.64134820000001,12.0
Manitouwadge General Hospital,LV,NR,LV,43.6,2.4,9.7,ST,19.7,3.9,santé manitouwadge health,False,santé manitouwadge health,1 Health Care Crescent,North West,Non-Profit,No,Yes,Yes,Yes,Manitouwadge, P0T2C0,12.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,santé manitouwadge health,,,,,,,,,9.0
Maxville Manor,263.5,268,165.5,19.7,4.2,21.0,13.9,30.2,3.8,maxville manor,True,maxville manor,80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,Maxville, K0C1T0,32.0,"(31.0, 46.0]",2.0,10.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,maxville manor,,,,,North Glengarry,3501050.0,45.28415857,-74.86345425,122.0
Maynard Nursing Home,134,175,NR,27.6,2.7,15.0,0.8,28.2,2.3,maynard nursing home,True,maynard nursing home,28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1R3,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,maynard nursing home,0,0,0,Active,Toronto,3520005.0,43.64880888,-79.4191815,77.0
Mill Creek Care Centre,164,156,LV,13.2,1.4,20.2,0.0,7.8,3.6,mill creek care centre,True,mill creek care centre,286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N0Z3,35.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,mill creek care centre,,,,,Barrie,3543042.0,44.368993100000004,-79.65609964,160.0
Nipigon District Memorial Hospital,LV,LV,LV,23.5,0.0,31.3,0.0,16.4,19.2,nipigon district memorial hospital,True,nipigon district memorial hospital,125 Hogan Road P O Box 37,North West,Non-Profit,No,Yes,No,Yes,Nipigon, P0T2J0,13.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,nipigon district memorial hospital,,,,,Nipigon,3558044.0,49.0155755,-88.2759054,15.0
Nisbet Lodge,172.5,177,LV,27.8,1.7,17.0,1.8,12.8,4.4,nisbet lodge,True,nisbet lodge,740 Pape Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4K3S7,13.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,nisbet lodge,,,,,Toronto,3520005.0,43.68025289,-79.34558197,103.0
North Renfrew LTC Services Inc.,LV,LV,NR,6.7,0.0,13.9,11.1,38.1,13.0,north renfrew long-term care services,False,north renfrew long-term care services,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,north renfrew long-term care services,,,,,,,,,21.0
Parkwood Mennonite Home,134.5,132,LV,19.2,5.9,18.5,1.3,37.3,11.8,parkwood mennonite home,True,parkwood mennonite home,726 New Hampshire Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Waterloo, N2K4M1,22.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,parkwood mennonite home,,,,,Waterloo,3530016.0,43.51640151,-80.50225763,96.0
Providence Healthcare,454,441.5,LV,19.8,4.8,17.6,2.5,14.0,4.8,providence healthcare,True,providence healthcare,3276 St. Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1L1W1,55.0,"(46.0, 172.0]",3.0,29.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,providence healthcare,,<5,,Inactive,Toronto,3520005.0,43.712205100000006,-79.28502950000001,288.0
Saint Luke's Place,110,110,LV,5.7,0.9,11.7,2.6,35.8,3.4,saint luke's place,True,saint luke's place,1624 Franklin Boulevard,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3C3P4,29.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,6.0,"(5.0, 7.0]",1.0,saint luke's place,,0,,Inactive,Cambridge,3530010.0,43.4253246,-80.31029116,114.0
Shalom Manor LTC Home,115.5,123.5,LV,17.1,3.0,17.8,1.2,31.4,12.2,shalom manor long term care home,True,shalom manor long term care home,12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Grimsby, L3M4N5,20.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,shalom manor long term care home,,0,,Inactive,Grimsby,3526065.0,43.1869815,-79.52455129,144.0
Shalom Village Nursing Home,162.5,187.5,LV,22.5,0.6,19.2,0.0,20.3,6.3,shalom village nursing home,True,shalom village nursing home,70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L8S3S1,20.0,"(0.0, 21.0]",0.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,shalom village nursing home,,,,,Hamilton,3525005.0,43.26411849,-79.89518251,127.0
Sherwood Park Manor,180,75,LV,14.7,1.3,16.7,13.3,26.3,7.6,sherwood park manor,True,sherwood park manor,1814 County Road  #2 East,South East,Non-Profit,No,Yes,Yes,No,Brockville, K6V5T1,59.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,11.0,"(7.0, 11.0]",2.0,sherwood park manor,,,,,Elizabethtown-Kitley,3507014.0,44.605140000000006,-75.662296,107.0
Smooth Rock Falls Hospital,LV,NR,NR,17.9,0.0,12.1,23.1,1.8,7.2,smooth rock falls hospital,True,smooth rock falls hospital,107 Kelly Road P.O. Box 219,North East,Non-Profit,No,Yes,No,Yes,Smooth Rock Falls, P0L2B0,16.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,smooth rock falls hospital,,,,,Smooth Rock Falls,3556048.0,49.272285,-81.610265,20.0
Southbridge Care Home,23,30.5,LV,16.0,1.3,18.2,0.0,27.6,3.4,southbridge care home,False,southbridge care home,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The West Nipissing General Hospital,NR,NR,NR,30.2,3.9,4.4,9.9,13.9,43.5,the west nipissing general hospital,True,the west nipissing general hospital,725 Coursol,North East,Non-Profit,No,Yes,No,Yes,Sturgeon Falls, P2B2Y6,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,the west nipissing general hospital,,,,,West Nipissing / Nipissing Ouest,3548055.0,46.37244272,-79.91782482,48.0
Township Of Osgoode Care Centre,405,394,LV,27.5,4.1,22.3,2.9,33.3,12.3,township of osgoode care centre,True,township of osgoode care centre,7650 Snake Island Road,Champlain,Non-Profit,Yes,Yes,Yes,No,Metcalfe, K0A2P0,21.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,township of osgoode care centre,,,,,Ottawa,3506008.0,45.22188813,-75.50384886,100.0
Vision '74 Inc.,203,203,LV,12.8,2.6,15.4,4.3,21.2,2.5,vision nursing home,False,vision nursing home,229 Wellington Street,Erie St. Clair,Non-Profit,Yes,Yes,Yes,Yes,Sarnia, N7T1G9,38.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,vision nursing home,5,<5,<5,Active,Sarnia,3538030.0,42.96819132,-82.40364827,146.0
West Lake Terrace,83.5,76,111,7.8,1.3,9.2,0.0,33.8,0.2,west lake terrace,True,west lake terrace,"1673 County Road, 12 R. R. #1",South East,For-Profit,No,Yes,No,Yes,Picton, K0K2T0,26.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,west lake terrace,,,,,Prince Edward County,3513020.0,43.92704133,-77.25758022,47.0
Wildwood Care Centre Inc.,93,93,LV,9.0,2.4,17.2,3.9,30.2,2.2,wildwood care centre,False,wildwood care centre,100 Ann Street P.O. Box 2200,South West,For-Profit,No,Yes,Yes,Yes,St. Marys, N4X1A1,25.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,wildwood care centre,,,,,St. Marys,3531016.0,43.26076283,-81.15463991,60.0
1230839 Ontario Ltd. - Brouillette Manor,48,20,LV,28.2,5.2,33.0,0.4,27.9,4.7, ontario ltd. - brouillette manor,True,brouillette manor,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N4X8,33.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,brouillette manor,,,,,Tecumseh,3537048.0,42.3064019,-82.8920717,60.0
2109577 Ontario Ltd. - Of Arbour Heights,166,183,55,12.0,3.9,15.2,8.9,30.2,3.0, ontario ltd. - of arbour heights,False,arbour heights,564 Tanner Drive,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M0C3,70.0,"(46.0, 172.0]",3.0,33.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,arbour heights,,,,,Kingston,3510010.0,44.23937071,-76.55865852,174.0
412506 Ontario Ltd - St. Jacques Nursing Home,46,153,28,11.9,9.4,16.7,14.5,33.9,0.0, ontario ltd - st. jacques nursing home,True,st. jacques nursing home,915 Notre Dame Street P. O. Box 870,Champlain,Non-Profit,No,Yes,Yes,Yes,Embrun, K0A1W0,50.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,8.0,"(7.0, 11.0]",2.0,st. jacques nursing home,,,,,Russell,3502048.0,45.27229585,-75.28638399,60.0
458422 Ontario Ltd. - Sandfield Place,334,351.5,LV,17.8,1.4,20.4,10.2,33.0,3.9, ontario ltd. - sandfield place,True,sandfield place,220 Emma Street,Champlain,For-Profit,No,Yes,Yes,Yes,Cornwall, K6J5V8,26.0,"(21.0, 31.0]",1.0,20.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,sandfield place,,,,,Cornwall,3501012.0,45.03749423,-74.75148549,53.0
601091 Ontario Ltd. - Cedarvale Terrace,153.5,164,LV,19.1,1.2,10.7,0.9,10.3,1.2, ontario ltd. - cedarvale terrace,True,cedarvale terrace,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,65.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,cedarvale terrace,0,0,<5,Active,Toronto,3520005.0,43.68545859,-79.41242340000001,218.0
601092 Ontario Limited - Vermont Square,77,102,LV,17.3,1.0,9.8,2.1,4.9,1.8, ontario limited - vermont square,True,vermont square,914 Bathurst Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R3G5,21.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,12.0,"(11.0, 44.0]",3.0,vermont square,<5,0,<5,Active,Toronto,3520005.0,43.66830209,-79.41276169,130.0
848357 Ontario Inc. - The O'Neill Centre,146,146,LV,9.4,1.7,12.2,0.0,9.4,2.0, ontario inc. - the o'neill centre,True,the o'neill centre,33 Christie Street,Toronto Central,For-Profit,Yes,Yes,No,Yes,Toronto, M6G3B1,27.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,the o'neill centre,<5,0,<5,Active,Toronto,3520005.0,43.66476219,-79.4186887,162.0
913096 Ontario Limited - Nipissing Manor Nursing Care Centre,192,137.5,195,8.3,1.7,8.5,2.9,3.1,6.0, ontario limited - nipissing manor nursing care centre,False,nipissing manor nursing care center,1202 Highway 94,North East,For-Profit,No,Yes,Yes,Yes,Corbeil, P0H1K0,20.0,"(0.0, 21.0]",0.0,15.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,nipissing manor nursing care center,,,,,East Ferris,3548034.0,46.24835493,-79.33681562,120.0
Advent Health Care Corporation - Valley View Residence,317,322,LV,21.4,5.0,27.5,9.3,15.5,8.6,advent health care corporation - valley view residence,False,valleyview residence,541 Finch Avenue West,Central,Non-Profit,No,Yes,No,No,North York, M2R3Y3,57.0,"(46.0, 172.0]",3.0,23.0,"(16.0, 23.0]",2.0,15.0,"(11.0, 44.0]",3.0,valleyview residence,<5,<5,<5,Active,Toronto,3520005.0,43.77088320000001,-79.44630321,174.0
Algonquin Nursing Home of Mattawa Limited - Algonquin Nursing Home of Mattawa Ltd.,148,148,167.5,24.4,2.0,17.2,3.3,19.2,22.9,algonquin nursing home of mattawa limited - algonquin nursing home of mattawa ltd.,False,algonquin nursing home,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Yes,Yes,Yes,Yes,Mattawa, P0H1V0,23.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,algonquin nursing home,,,,,Mattawa,3548021.0,46.31349257,-78.71984132,73.0
Almonte General Hospital - Fairview Manor,828.5,797,NR,24.3,1.8,12.7,4.9,20.7,9.5,almonte general hospital - fairview manor,True,fairview manor,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Almonte, K0A1A0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,fairview manor,,,,,Mississippi Mills,3509030.0,45.2287855,-76.18998128,112.0
Anson General Hospital - South Centennial Manor,194,LV,199,25.7,2.6,11.5,10.8,23.8,4.3,anson general hospital - south centennial manor,True,south centennial manor,240 Fyfe Street,North East,Non-Profit,Yes,Yes,Yes,Yes,Iroquois Falls, P0K1E0,22.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,south centennial manor,<5,0,0,Active,Iroquois Falls,3556031.0,48.76584185,-80.68247105,69.0
Aon Inc. - Centennial Place LTC Home,541,541,LV,13.3,2.0,14.6,1.1,31.6,8.2,aon inc. - centennial place long term care home,False,centennial place long-term care home,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,29.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,centennial place long-term care home,,,,,Cavan Monaghan,3515013.0,44.1562909,-78.4477515,128.0
Aon Inc. - Moira Place LTC Home,272,272,LV,10.7,1.6,14.0,0.0,34.4,2.5,aon inc. - moira place long term care home,False,moira place long-term care home,415 River Street West P.O. Box 200,South East,For-Profit,No,Yes,Yes,Yes,Tweed, K0K3J0,37.0,"(31.0, 46.0]",2.0,27.0,"(23.0, 86.0]",3.0,7.0,"(5.0, 7.0]",1.0,moira place long-term care home,,0,,Inactive,Tweed,3512030.0,44.47111572,-77.31915479,128.0
Apans Health Services - Copper Terrace,73,92,42,30.6,4.6,25.6,1.0,25.7,9.6,apans health services - copper terrace,True,copper terrace,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7M1B3,94.0,"(46.0, 172.0]",3.0,50.0,"(23.0, 86.0]",3.0,20.0,"(11.0, 44.0]",3.0,copper terrace,,,,,Chatham-Kent,3536020.0,42.39831463,-82.20038906,138.0
Apans Health Services - MiddleSex Terrace,72,199,33,21.2,3.5,22.3,0.0,29.8,3.5,apans health services - middlesex terrace,True,middlesex terrace,2094 Gideon Drive R.R. #1,South West,For-Profit,No,Yes,Yes,Yes,Delaware, N0L1E0,43.0,"(31.0, 46.0]",2.0,21.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,middlesex terrace,,,,,Middlesex Centre,3539033.0,42.92353736,-81.42514196,105.0
Apans Health Services - Park Lane Terrace,148.5,146,LV,14.0,1.9,14.3,2.0,28.3,4.8,apans health services - park lane terrace,True,park lane terrace,295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Paris, N3L2N9,45.0,"(31.0, 46.0]",2.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,park lane terrace,,,,,Brant,3529005.0,43.21149506,-80.38916816,132.0
Apans Health Services - Richmond Terrace,173,170,LV,21.5,1.7,19.1,5.4,29.7,2.0,apans health services - richmond terrace,True,richmond terrace,89 Rankin Avenue,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Amherstburg, N9V1E7,62.0,"(46.0, 172.0]",3.0,35.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,richmond terrace,,,,,Amherstburg,3537028.0,42.10422443,-83.11025501,120.0
Apans Health Services - Watford Quality Care Centre,31.5,35,26,22.9,2.8,19.1,0.8,26.7,16.0,apans health services - watford quality care centre,True,watford quality care centre,344 Victoria Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Watford, N0M2S0,18.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,watford quality care centre,,,,,Warwick,3538043.0,42.95217584,-81.88556091,63.0
ATK Care Inc. - Exeter Villa,71,140.5,LV,20.1,4.0,11.3,12.8,35.0,9.9,atk care inc. - exeter villa,True,exeter villa,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,Exeter, N0M1S1,18.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,7.0,"(5.0, 7.0]",1.0,exeter villa,0,0,<5,Active,South Huron,3540005.0,43.34653763,-81.47441712,47.0
ATK Care Inc. - River Glen Haven Nursing Home,88,82.5,91,27.8,4.7,18.8,12.0,36.6,12.8,atk care inc. - river glen haven nursing home,True,river glen haven nursing home,160 High Street P.O. Box 368,Central,For-Profit,No,Yes,Yes,Yes,Sutton West, L0E1R0,27.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,river glen haven nursing home,35,5,18,Active,Georgina,3519070.0,44.30394879999999,-79.36171604,119.0
ATK Care Inc. - The Fordwich Village Nursing Home,64,70.5,LV,3.8,1.3,26.9,3.4,39.0,14.1,atk care inc. - the fordwich village nursing home,True,the fordwich village nursing home,3063 Adelaide Street,South West,For-Profit,No,Yes,Yes,Yes,Fordwich, N0G1V0,18.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,the fordwich village nursing home,,,,,Howick,3540046.0,43.87084494,-81.02944763,33.0
Autumnwood Mature Lifestyle Communities Inc. - Cedarwood Lodge,NR,NR,NR,28.8,4.3,20.3,20.1,29.9,10.5,autumnwood mature lifestyle communities inc. - cedarwood lodge,True,cedarwood lodge,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,37.0,"(31.0, 46.0]",2.0,37.0,"(23.0, 86.0]",3.0,5.0,"(0.0, 5.0]",0.0,cedarwood lodge,,,,,Sault Ste. Marie,3557061.0,46.55200831,-84.31955276,50.0
