,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases
38,Dufferin Oaks,Shelburne,160,<5,<5,6
39,Dundurn Place Care Centre,Hamilton,201,6,<5,<5
40,Eagle Terrace,Newmarket,70,<5,<5,<5
41,Earls Court Village,London,128,9,<5,8
42,Eatonville Care Centre,Etobicoke,247,142,40,56
43,Élisabeth-Bruyère Residence,Ottawa,71,10,5,<5
44,Elm Grove Living Centre,Toronto,126,44,17,43
45,Elmwood Place,London,90,<5,0,<5
46,Erin Mills Lodge Nursing Home,Mississauga,86,29,16,22
47,Extendicare Bayview,North York,205,60,8,13
48,Extendicare Brampton,Brampton,150,13,<5,<5
49,Extendicare Guildwood,Scarborough,169,36,7,12
50,Extendicare Laurier Manor,Gloucester,242,30,21,35
51,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,<5,0,0
52,Extendicare Oshawa,Oshawa,175,<5,0,0
53,Extendicare Scarborough,Scarborough,154,11,<5,8
54,Extendicare Southwood Lakes,Windsor,150,0,0,<5
55,Extendicare Starwood,Nepean,192,0,0,5
56,Extendicare West End Villa,Ottawa,242,0,0,<5
57,Extendicare York,Sudbury,288,0,0,<5
58,Faith Manor Nursing Home,Brampton,120,<5,0,<5
59,Forest Heights,Kitchener,240,167,45,59
60,Fountain View Care Community,East York,158,0,0,<5
61,Franklin Gardens Long Term Care Home,Leamington,120,<5,0,<5
62,Fudger House,Toronto,250,<5,0,0
63,Garden Terrace,Kanata,160,0,0,<5
64,Gardenview Long Term Care Home,Townsend,64,0,0,<5
65,Garry J. Armstrong Home,Ottawa,180,0,0,<5
66,Golden Manor,Timmins,177,<5,0,0
67,Golden Years Nursing Home,Cambridge,88,0,0,<5
68,Grace Manor,Brampton,120,43,10,25
69,Greenwood Court,Stratford,45,0,<5,<5
70,Harold and Grace Baker Centre,Toronto,120,8,13,17
71,Hastings Manor Home for the Aged,Belleville,253,6,<5,5
72,Hawthorne Place Care Centre,North York,269,45,31,77
73,Hellenic Home - Scarborough,Scarborough,128,44,14,21
74,Henley Place,London,192,<5,0,0
75,Heritage Green Nursing Home,Stoney Creek,167,<5,<5,0
76,Heron Terrace Long Term Care Community,Windsor,140,47,18,14
77,Hogarth Riverview Manor,Thunder Bay,543,0,0,<5
78,Humber Valley Terrace,Etobicoke (Rexdale),158,46,9,18
79,Ina Grafton Gage Home,Scarborough,128,45,23,30
80,Isabel and Arthur Meighen Manor,Toronto,168,61,42,45
81,Kensington Village,London,78,<5,5,<5
82,Kipling Acres,Etobicoke,337,53,13,11
83,Kristus Darzs Latvian Home,Woodbridge,100,18,5,14
84,Labdara Lithuanian Nursing Home,Etobicoke,90,0,0,<5
85,Lakeshore Lodge,Etobicoke,150,41,11,17
86,Lanark Heights Long Term Care Centre,Kitchener,160,<5,<5,<5
87,Leamington Mennonite Home Long Term Care Residence,Leamington,84,0,0,<5
88,MacKenzie Place,Newmarket,93,66,11,21
89,Madonna Care Community,Orleans,160,47,30,31
90,Main Street Terrace,Toronto,150,<5,0,0
91,Malton Village Long Term Care Centre,Mississauga,160,<5,0,<5
92,Manoir Marochel,Ottawa,64,29,7,15
93,Maplewood,Brighton,49,<5,0,0
94,Markhaven,Markham,96,9,17,16
95,Maynard Nursing Home,Toronto,77,0,0,0
96,McCall Centre Long Term Care Interim Unit,Etobicoke,21,0,0,<5
97,Meadow Park (London),London,126,<5,<5,8
98,Midland Gardens Care Community,Scarborough,299,0,<5,<5
99,Mon Sheong Home for the Aged,Toronto,105,23,32,16
100,Montfort,Ottawa,128,63,27,18
101,Northview Nursing Home,Englehart,48,<5,0,0
102,Norwood Nursing Home,Toronto,60,<5,0,<5
103,Orchard Villa,Pickering,233,74,69,<5
104,Owen Hill Care Community,Barrie,57,18,<5,11
105,Parkview Manor Health Care Centre,Chesley,34,<5,0,0
106,Peel Manor,Brampton,177,<5,<5,6
107,peopleCare A.R. Goudie Kitchener,Kitchener,80,0,9,11
108,peopleCare Oakcrossing London,London,160,0,0,<5
109,Peter D. Clark Centre,Ottawa,216,5,<5,5
110,Pinecrest (Plantagenet),Plantagenet,60,26,7,7
111,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,33,29,32
112,Pinehaven Nursing Home,Waterloo,84,0,0,<5
113,Post Inn Village,Oakville,228,<5,0,<5
114,ReachView Village,Uxbridge,100,<5,<5,<5
115,Regina Gardens,Hamilton,128,0,0,<5
116,Residence Saint-Louis,Ottawa,198,21,<5,17
117,River Glen Haven Nursing Home,Sutton West,119,35,<5,18
118,Rockcliffe Care Community,Scarborough,204,0,0,<5
119,Royal Rose Place,Welland,96,0,17,<5
120,Royal Terrace,Palmerston,67,0,0,0
121,Seven Oaks,Scarborough,249,24,40,21
122,Shelburne Long Term Care Home,Shelburne,60,20,18,18
123,Sherbourne Place,Toronto,126,35,18,26
124,Sheridan Villa,Mississauga,142,10,<5,7
125,Sherwood Court Long Term Care Centre,Maple,96,0,0,0
126,Silverthorn Care Community,Mississauga,160,0,0,<5
127,South Centennial Manor,Iroquois Falls,69,<5,0,0
128,Southlake Residential Care Village,Newmarket,224,0,0,<5
129,St. Clair O'Connor Community Nursing Home,East York,25,6,8,8
130,St. Gabriel's Villa of Sudbury,Chelmsford,128,0,0,<5
131,St. George Care Community,Toronto,238,0,0,<5
132,St. Joseph's at Fleming,Peterborough,200,<5,0,<5
133,St. Joseph's Continuing Care Centre,Cornwall,150,0,0,<5
134,St. Joseph's Lifecare Centre,Brantford,205,0,0,<5
135,"St. Joseph's Villa, Sudbury",Sudbury,128,0,<5,<5
136,St. Patrick's Home,Ottawa,288,9,0,<5
137,Stoneridge Manor,Carleton Place,60,52,6,<5
138,Strathcona Long Term Care,Mount Forest,87,0,0,<5
139,Sun Parlor Home for Senior Citizens,Leamington,206,<5,<5,<5
140,Sunnycrest Nursing Home,Whitby,136,<5,0,0
141,Tall Pines Long Term Care Centre,Brampton,160,<5,0,<5
142,Telfer Place,Paris,45,<5,0,0
143,Temiskaming Lodge,Haileybury,83,<5,0,<5
144,The Henley House,St. Catharines,160,0,0,0
145,The Jewish Home for the Aged,North York,472,<5,<5,6
146,The Kensington Gardens,Toronto,350,14,8,5
147,The O'Neill Centre,Toronto,162,<5,0,<5
148,The Perley and Rideau Veterans' Health Centre,Ottawa,450,10,7,25
149,The Village at St. Clair,Windsor,256,0,0,<5
150,The Village at University Gates,Waterloo,192,0,0,<5
151,The Village of Erin Meadows,Mississauga,180,43,9,21
152,The Village of Humber Heights,Etobicoke,192,20,6,9
153,The Village of Riverside Glen,Guelph,192,0,0,<5
154,Tony Stacey Centre for Veterans' Care,Toronto,100,<5,0,0
155,Trinity Village Care Centre,Kitchener,150,29,14,38
156,Twin Oaks of Maryhill,Maryhill,31,0,0,<5
157,Ukrainian Canadian Care Centre,Etobicoke,152,25,<5,<5
158,Union Villa,Unionville,160,0,0,<5
159,Valleyview Residence,North York,174,<5,<5,<5
160,Vermont Square,Toronto,130,<5,0,<5
161,Villa Colombo Homes for the Aged,Toronto,391,9,<5,11
162,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,24,11,16
163,Villa Forum,Mississauga,160,37,10,20
164,Villa Leonardo Gambin,Woodbridge,168,31,11,23
165,Vision Nursing Home,Sarnia,146,<5,<5,<5
166,Wellesley Central Place,Toronto,150,43,16,21
167,Wentworth Lodge,Dundas,160,<5,0,0
168,Wesburn Manor,Etobicoke,192,<5,0,0
169,West Park Long Term Care Centre,Toronto,200,57,20,31
170,Weston Terrace Care Community,Toronto,224,42,13,29
171,Wikwemikong Nursing Home,Wikwemikong,59,<5,0,0
172,Woodbridge Vista Care Community,Woodbridge,224,<5,0,<5
173,Woodland Villa,Long Sault,111,<5,0,0
