,index,facility_name,source_facility_type,odhf_facility_type,provider,unit,street_no,street_name,postal_code,city_x,province,source_format_str_address,CSDname,CSDuid,Pruid,latitude,longitude,facility_name_clean,cleaned_name,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city_y,postal code,number of beds,total_inspections,5y_inspections,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
10,2555.0,arbour heights,long-term care home,Nursing and residential care facilities,Province of Ontario,,564,tanner drive,K7M0C3,kingston,on,,Kingston,3510010.0,35.0,44.23937071,-76.55865852,arbour heights,arbour heights,ARBOUR HEIGHTS,564 Tanner Drive,"Kingston, K7M0C3",South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,,Kingston, K7M0C3,174.0,70.0,33.0,,,,,,,,
11,2571.0,atikokan general hospital,chronic care,Nursing and residential care facilities,Public Health Agency of Canada,,120,dorothy st,P0T1C0,atikokan,on,120 dorothy st. atikokan on p0t 1c0,Atikokan,3559001.0,35.0,48.754155,-91.59760899999999,atikokan general hospital,atikokan general hospital,ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,"Atikokan, P0T1C0",North West,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,,Atikokan, P0T1C0,26.0,11.0,7.0,,,,,,,,
12,2578.0,au chateau,long-term care home,Nursing and residential care facilities,Province of Ontario,,100,michaud street,P2B2Z4,west nipissing,on,,West Nipissing / Nipissing Ouest,3548055.0,35.0,46.37203452,-79.92058532,au chateau,au chateau,AU CHATEAU,100 Michaud Street,"Sturgeon Falls, P2B2Z4",North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,162.0,47.0,28.0,,,,,,,,
13,2583.0,avalon retirement centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,355,broadway avenue,L9W3Y3,orangeville,on,,Orangeville,3522014.0,35.0,43.9169995,-80.11650514,avalon retirement centre,avalon retirement centre,AVALON RETIREMENT CENTRE,355 Broadway Avenue,"Orangeville, L9W3Y3",Central West,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,137.0,30.0,16.0,4.0,Avalon Retirement Centre,Orangeville,137.0,0,0,<5,Active
14,2587.0,babcock community care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,196,wellington street,N0L2N0,wardsville,on,,Southwest Middlesex,3539005.0,35.0,42.658399700000004,-81.75796234,babcock community care centre,babcock community care centre,BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,"Wardsville, N0L2N0",South West,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Wardsville, N0L2N0,60.0,32.0,17.0,,,,,,,,
15,2593.0,banwell gardens care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,3000,banwell road,N8N2M4,windsor,on,,Windsor,3537039.0,35.0,42.31060008,-82.89979807,banwell gardens care centre,banwell gardens care centre,BANWELL GARDENS CARE CENTRE,3000 Banwell Road,"Tecumseh, N8N2M4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,142.0,74.0,36.0,,,,,,,,
16,2597.0,barnswallow place care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,120,barnswallow drive,N3B2Y9,elmira,on,,Woolwich,3530035.0,35.0,43.59297082,-80.57796106,barnswallow place care community,barnswallow place care community,BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,"Elmira, N3B2Y9",Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,,Elmira, N3B2Y9,96.0,17.0,9.0,,,,,,,,
17,2606.0,bay haven nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,499,hume street,L9Y4H8,collingwood,on,,Collingwood,3543031.0,35.0,44.49946329,-80.19803202,bay haven nursing home,bay haven nursing home,BAY HAVEN NURSING HOME,499 Hume Street,"Collingwood, L9Y4H8",North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,,Collingwood, L9Y4H8,60.0,14.0,10.0,,,,,,,,
18,2608.0,bay ridges,long-term care home,Nursing and residential care facilities,Province of Ontario,,900,sandy beach road,L1W1Z4,pickering,on,,Pickering,3518001.0,35.0,43.82847003,-79.0771309,bay ridges,bay ridges,BAY RIDGES,900 Sandy Beach Road,"Pickering, L1W1Z4",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Pickering, L1W1Z4,124.0,53.0,26.0,2.0,Bay Ridges,Pickering,124.0,,0,,Inactive
19,2615.0,bayfield manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,100,elvira street,K0G1J0,kemptville,on,,North Grenville,3507065.0,35.0,45.01874519,-75.65323739,bayfield manor,bayfield manor,BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,"Kemptville, K0G1J0",Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,,Kemptville, K0G1J0,66.0,22.0,17.0,,,,,,,,
20,2619.0,baywoods place,long-term care home,Nursing and residential care facilities,Province of Ontario,,330,main street e,L8N3T9,hamilton,on,,Hamilton,3525005.0,35.0,43.25176169,-79.85694240000001,baywoods place,baywoods place,BAYWOODS PLACE,330 Main Street East,"Hamilton, L8N3T9",Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Hamilton, L8N3T9,128.0,46.0,17.0,,,,,,,,
21,2633.0,belmont house,retirement home,Nursing and residential care facilities,Province of Ontario,,55,belmont street,M5R1R1,toronto,on,,Toronto,3520005.0,35.0,43.67461349,-79.39106979,belmont house,belmont house,BELMONT HOUSE,55 Belmont Street,"Toronto, M5R1R1",Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Toronto, M5R1R1,140.0,13.0,8.0,3.0,Belmont House,Toronto,140.0,,0,,Inactive
22,2634.0,belmont long term care facility,long-term care home,Nursing and residential care facilities,Province of Ontario,,250,bridge street w,K8P5N3,belleville,on,,Belleville,3512005.0,35.0,44.16007616,-77.40393509,belmont long term care facility,belmont long term care facility,BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,"Belleville, K8P5N3",South East,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Belleville, K8P5N3,128.0,35.0,20.0,4.0,Belmont Long Term Care Facility,Belleville,128.0,,0,,Inactive
23,2635.0,belvedere heights,long-term care home,Nursing and residential care facilities,Province of Ontario,,21,belvedere avenue,P2A2A2,parry sound,on,,Parry Sound,3549032.0,35.0,45.34272524,-80.03862375,belvedere heights,belvedere heights,BELVEDERE HEIGHTS,21 Belvedere Avenue,"Parry Sound, P2A2A2",North East,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,101.0,40.0,23.0,,,,,,,,
24,2638.0,bendale acres,long-term care home,Nursing and residential care facilities,Province of Ontario,,2920,lawrence avenue e,M1P2T8,toronto,on,,Toronto,3520005.0,35.0,43.75493801,-79.25183955,bendale acres,bendale acres,BENDALE ACRES,2920 Lawrence Avenue East,"Scarborough, M1P2T8",Central East,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,"Pavillon Omer Deslauriers, 37 beds, long term care services provided in French and English. ",Scarborough, M1P2T8,302.0,35.0,17.0,5.0,Bendale Acres,Scarborough,302.0,0,0,0,Active
25,2639.0,bennett health care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,1,princess anne drive,L7G2B8,halton hills,on,,Halton Hills,3524015.0,35.0,43.64477486,-79.93394806,bennett health care centre,bennett health care centre,BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,"Georgetown, L7G2B8",Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Georgetown, L7G2B8,66.0,24.0,14.0,,,,,,,,
26,2640.0,berkshire care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,350,dougall avenue,N9A4P4,windsor,on,,Windsor,3537039.0,35.0,42.31631637,-83.04161991,berkshire care centre,berkshire care centre,BERKSHIRE CARE CENTRE,350 Dougall Avenue,"Windsor, N9A4P4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,,Windsor, N9A4P4,231.0,172.0,72.0,6.0,Berkshire Care Centre,Windsor,231.0,0,0,<5,Active
27,2644.0,bethammi nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,63,carrie street,P7A4J2,thunder bay,on,,Thunder Bay,3558004.0,35.0,48.44135877,-89.24131667,bethammi nursing home,bethammi nursing home,BETHAMMI NURSING HOME,63 Carrie Street,"Thunder Bay, P7A4J2",North West,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,110.0,35.0,29.0,,,,,,,,
28,2646.0,bethany lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,23,second street,L3R2C2,markham,on,,Markham,3519036.0,35.0,43.86204073,-79.30139068,bethany lodge,bethany lodge,BETHANY LODGE,23 Second Street,"Markham, L3R2C2",Central,Bethany Lodge,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,,Markham, L3R2C2,128.0,16.0,12.0,7.0,Bethany Lodge,Markham,128.0,<5,<5,<5,Active
29,2653.0,billings court manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,3700,billings court,L7N3N6,burlington,on,,Burlington,3524002.0,35.0,43.36439192,-79.78777539,billings court manor,billings court manor,BILLINGS COURT MANOR,3700 Billings Court,"Burlington, L7N3N6",Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Burlington, L7N3N6,160.0,24.0,16.0,,,,,,,,
30,2660.0,birchwood terrace,long-term care home,Nursing and residential care facilities,Province of Ontario,,237,lakeview drive,P9N4J7,kenora,on,,Kenora,3560010.0,35.0,49.76559284,-94.50497800000001,birchwood terrace,birchwood terrace,BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,"Kenora, P9N4J7",North West,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,96.0,53.0,31.0,,,,,,,,
31,2665.0,blackadar continuing care centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,101,creighton road,L9H3B7,hamilton,on,,Hamilton,3525005.0,35.0,43.26120069,-79.96830854,blackadar continuing care centre,blackadar continuing care centre,BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,"Dundas, L9H3B7",Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,,Dundas, L9H3B7,80.0,31.0,19.0,8.0,Blackadar Continuing Care Centre,Dundas,80.0,<5,0,0,Active
32,2668.0,blenheim community village,retirement home,Nursing and residential care facilities,Province of Ontario,,10,mary avenue,N0P1A0,chatham-kent,on,,Chatham-Kent,3536020.0,35.0,42.33971663,-81.98799919,blenheim community village,blenheim community village,BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,"Blenheim, N0P1A0",Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,,Blenheim, N0P1A0,65.0,33.0,11.0,,,,,,,,
33,2671.0,bloomington cove care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,13621,ninth line,L4A3C8,whitchurch-stouffville,on,,Whitchurch-Stouffville,3519044.0,35.0,44.00278365,-79.26290138,bloomington cove care community,bloomington cove care community,BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,"Stouffville, L4A7X3",Central,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,112.0,39.0,18.0,,,,,,,,
34,2675.0,blue water rest home,community support service,Ambulatory health care services,Province of Ontario,,37792,zurich-hensall road,N0M2T0,zurich,on,,Bluewater,3540010.0,35.0,43.41978964,-81.63774028,blue water rest home,blue water rest home,BLUE WATER REST HOME,37792 Zurich-Hensall RD,"Zurich, N0M2T0",South West,Blue Water Rest Home,,Non-Profit,Home with approximately 65 beds,No,Yes,No,No,,Zurich, N0M2T0,65.0,21.0,13.0,9.0,Blue Water Rest Home,Zurich,65.0,<5,0,0,Active
35,2683.0,bob rumball home for the deaf,long-term care home,Nursing and residential care facilities,Province of Ontario,,1,royal parkside drive,L4M0C4,barrie,on,,Barrie,3543042.0,35.0,44.3641363,-79.62310322,bob rumball home for the deaf,bob rumball home for the deaf,BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,"Barrie, L4M0C4",North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Barrie, L4M0C4,64.0,35.0,17.0,,,,,,,,
36,2684.0,bobier villa,long-term care home,Nursing and residential care facilities,Province of Ontario,,1,bobier lane,N0L1J0,dutton,on,,Dutton/Dunwich,3534030.0,35.0,42.66709281,-81.51387127,bobier villa,bobier villa,BOBIER VILLA,1 Bobier Lane,"Dutton, N0L1J0",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,,Dutton, N0L1J0,57.0,19.0,8.0,,,,,,,,
37,2686.0,bonnechere manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,470,albert street,K7V4L5,renfrew,on,,Renfrew,3547048.0,35.0,45.48345932,-76.70256458,bonnechere manor,bonnechere manor,BONNECHERE MANOR,470 Albert Street,"Renfrew, K7V4L5",Champlain,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,180.0,43.0,18.0,10.0,Bonnechere Manor,Renfrew,180.0,0,0,<5,Active
38,2691.0,bradford valley care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,2656,line 6,L3Z2A1,bradford west gwillimbury,on,,Bradford West Gwillimbury,3543014.0,35.0,44.09967975,-79.57244678,bradford valley care community,bradford valley care community,BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,"Bradford, L3Z3H5",Central,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,,Bradford, L3Z3H5,246.0,40.0,19.0,11.0,Bradford Valley Care Community,Bradford,246.0,<5,11,0,Active
39,2694.0,braemar retirement centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,719,josephine street n,N0G2W0,wingham,on,,Morris-Turnberry,3540050.0,35.0,43.90065854,-81.30031372,braemar retirement centre,braemar retirement centre,BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060","Wingham, N0G2W0",South West,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,,Wingham, N0G2W0,69.0,39.0,14.0,12.0,Braemar Retirement Centre,Wingham,69.0,0,0,0,Active
40,2722.0,brierwood gardens,long-term care home,Nursing and residential care facilities,Province of Ontario,,425,park road n,N3R7G5,brantford,on,,Brantford,3529006.0,35.0,43.17853986,-80.24747732,brierwood gardens,brierwood gardens,BRIERWOOD GARDENS,425 Park Road North,"Brantford, N3R7G5",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,,Brantford, N3R7G5,79.0,55.0,15.0,,,,,,,,
41,2723.0,broadview nursing centre,long-term care home,Nursing and residential care facilities,Province of Ontario,,210,brockville street,K7A3Z4,smiths falls,on,,Smiths Falls,3509004.0,35.0,44.88786035,-76.02083780000001,broadview nursing centre,broadview nursing centre,BROADVIEW NURSING CENTRE,210 Brockville Street,"Smiths Falls, K7A3Z4",South East,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,,Smiths Falls, K7A3Z4,75.0,31.0,18.0,,,,,,,,
42,2738.0,brouillette manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,11900,brouillette court,N8N4X8,windsor,on,,Tecumseh,3537048.0,35.0,42.3064019,-82.8920717,brouillette manor,brouillette manor,BROUILLETTE MANOR,11900 Brouillette Court,"Tecumseh, N8N4X8",Erie St. Clair,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,60.0,33.0,13.0,,,,,,,,
43,2740.0,brucelea haven long term care home - corporation of the county of bruce,long-term care home,Nursing and residential care facilities,Province of Ontario,,41,mcgivern street w,N0G2V0,walkerton,on,,Brockton,3541032.0,35.0,44.12121858,-81.15427199,brucelea haven long term care home - corporation of the county of bruce,brucelea haven long term care home - corporation of the county of bruce,BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,"Walkerton, N0G2V0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,,Walkerton, N0G2V0,144.0,79.0,28.0,13.0,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144.0,0,0,<5,Active
44,2754.0,burloak,long-term care home,Nursing and residential care facilities,Province of Ontario,,5959,new street,L7L6W5,burlington,on,,Burlington,3524002.0,35.0,43.38147032,-79.73937757,burloak,burloak,BURLOAK,5959 New Street,"Burlington, L7L6W5",Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L6W5,144.0,22.0,9.0,,,,,,,,
45,2755.0,burnbrae gardens long term care residence,long-term care home,Nursing and residential care facilities,Province of Ontario,,320,6 line e,K0L1L0,campbellford,on,,Trent Hills,3514045.0,35.0,44.28480207,-77.84842135,burnbrae gardens long term care residence,burnbrae gardens long term care residence,BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,"Campbellford, K0L1L0",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Campbellford, K0L1L0,43.0,28.0,16.0,,,,,,,,
46,2756.0,burton manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,5,sterritt drive,L6Y5P3,brampton,on,,Brampton,3521010.0,35.0,43.66143557,-79.77341911,burton manor,burton manor,BURTON MANOR,5 Sterritt Drive,"Brampton, L6Y5P3",Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P3,128.0,27.0,9.0,14.0,Burton Manor,Brampton,128.0,11,8,14,Active
47,2764.0,cama woodlands nursing home,long-term care home,Nursing and residential care facilities,Province of Ontario,,159,panin road,L7P5A6,burlington,on,,Burlington,3524002.0,35.0,43.3099325,-79.86719201,cama woodlands nursing home,cama woodlands nursing home,CAMA WOODLANDS NURSING HOME,159 Panin Road,"Burlington, L7P5A6",Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,,Burlington, L7P5A6,134.0,16.0,10.0,,,,,,,,
48,2765.0,cambridge country manor,long-term care home,Nursing and residential care facilities,Province of Ontario,,3680,speedsville road,N3H4R6,cambridge,on,,Cambridge,3530010.0,35.0,43.4552726,-80.35775290000001,cambridge country manor,cambridge country manor,CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,"Cambridge, N3H4R6",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Cambridge, N3H4R6,80.0,35.0,19.0,,,,,,,,
49,2768.0,camilla care community,long-term care home,Nursing and residential care facilities,Province of Ontario,,2250,hurontario street,L5B1M8,mississauga,on,,Mississauga,3521005.0,35.0,43.57311436,-79.60700205,camilla care community,camilla care community,CAMILLA CARE COMMUNITY,2250 Hurontario Street,"Mississauga, L5B1M8",Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,237.0,52.0,24.0,15.0,Camilla Care Community,Mississauga,236.0,152,48,44,Active
50,2848.0,carefree lodge,long-term care home,Nursing and residential care facilities,Province of Ontario,,306,finch avenue e,M2N4S5,toronto,on,,Toronto,3520005.0,35.0,43.78501831,-79.3941154,carefree lodge,carefree lodge,CAREFREE LODGE,306 Finch Avenue East,"North York, M2N4S5",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,,North York, M2N4S5,127.0,18.0,12.0,16.0,Carefree Lodge,North York,127.0,<5,0,0,Active
