index,name,address,city and postal code,LHIN,licensee,management,home type,beds,short stay,residents council,family council,accreditation,additional_info,city,postal code,number of beds,total_inspections,quartiles_total_range,quartiles_total_rank,5y_inspections,quartiles_5y_range,quartiles_5y_rank,2y_inspections,quartiles_2y_range,quartiles_2y_rank,cleaned_name,Unnamed: 0,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
11,ARBOUR HEIGHTS,564 Tanner Drive,"Kingston, K7M0C3",South East,"Axr Operating (National) Lp, By Its General Partners",,For-Profit,Home with approximately 174 beds,No,Yes,Yes,Yes,,Kingston, K7M0C3,174.0,70.0,"(46.0, 172.0]",3.0,33.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,arbour heights,,,,,,,,
12,ATIKOKAN GENERAL HOSPITAL,120 Dorothy Street,"Atikokan, P0T1C0",North West,Atikokan General Hospital,,Non-Profit,Home with approximately 26 beds,No,No,Yes,Yes,,Atikokan, P0T1C0,26.0,11.0,"(0.0, 21.0]",0.0,7.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,atikokan general hospital,,,,,,,,
13,AU CHATEAU,100 Michaud Street,"Sturgeon Falls, P2B2Z4",North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,162.0,47.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,13.0,"(11.0, 44.0]",3.0,au chateau,,,,,,,,
14,AVALON RETIREMENT CENTRE,355 Broadway Avenue,"Orangeville, L9W3Y3",Central West,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,137.0,30.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,10.0,"(7.0, 11.0]",2.0,avalon retirement centre,4.0,Avalon Retirement Centre,Orangeville,137.0,0,0,<5,Active
15,BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,"Wardsville, N0L2N0",South West,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Wardsville, N0L2N0,60.0,32.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,babcock community care centre,,,,,,,,
16,BANWELL GARDENS CARE CENTRE,3000 Banwell Road,"Tecumseh, N8N2M4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,142.0,74.0,"(46.0, 172.0]",3.0,36.0,"(23.0, 86.0]",3.0,16.0,"(11.0, 44.0]",3.0,banwell gardens care centre,,,,,,,,
17,BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,"Elmira, N3B2Y9",Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,,Elmira, N3B2Y9,96.0,17.0,"(0.0, 21.0]",0.0,9.0,"(0.0, 11.0]",0.0,3.0,"(0.0, 5.0]",0.0,barnswallow place care community,,,,,,,,
18,BAY HAVEN NURSING HOME,499 Hume Street,"Collingwood, L9Y4H8",North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,,Collingwood, L9Y4H8,60.0,14.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,bay haven nursing home,,,,,,,,
19,BAY RIDGES,900 Sandy Beach Road,"Pickering, L1W1Z4",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Pickering, L1W1Z4,124.0,53.0,"(46.0, 172.0]",3.0,26.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,bay ridges,2.0,Bay Ridges,Pickering,124.0,,0,,Inactive
20,BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,"Kemptville, K0G1J0",Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,,Kemptville, K0G1J0,66.0,22.0,"(21.0, 31.0]",1.0,17.0,"(16.0, 23.0]",2.0,4.0,"(0.0, 5.0]",0.0,bayfield manor,,,,,,,,
21,BAYWOODS PLACE,330 Main Street East,"Hamilton, L8N3T9",Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Hamilton, L8N3T9,128.0,46.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,baywoods place,,,,,,,,
22,BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,"Niagara Falls, L2G7X3",Hamilton Niagara Haldimand Brant (Hnhb),Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,161.0,66.0,"(46.0, 172.0]",3.0,45.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,bella senior care residences inc.,,,,,,,,
23,BELMONT HOUSE,55 Belmont Street,"Toronto, M5R1R1",Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Toronto, M5R1R1,140.0,13.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,belmont house,3.0,Belmont House,Toronto,140.0,,0,,Inactive
24,BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,"Belleville, K8P5N3",South East,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Belleville, K8P5N3,128.0,35.0,"(31.0, 46.0]",2.0,20.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,belmont long term care facility,4.0,Belmont Long Term Care Facility,Belleville,128.0,,0,,Inactive
25,BELVEDERE HEIGHTS,21 Belvedere Avenue,"Parry Sound, P2A2A2",North East,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,101.0,40.0,"(31.0, 46.0]",2.0,23.0,"(16.0, 23.0]",2.0,13.0,"(11.0, 44.0]",3.0,belvedere heights,,,,,,,,
26,BENDALE ACRES,2920 Lawrence Avenue East,"Scarborough, M1P2T8",Central East,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,302.0,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,bendale acres,5.0,Bendale Acres,Scarborough,302.0,0,0,0,Active
27,BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,"Georgetown, L7G2B8",Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Georgetown, L7G2B8,66.0,24.0,"(21.0, 31.0]",1.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,bennett health care centre,,,,,,,,
28,BERKSHIRE CARE CENTRE,350 Dougall Avenue,"Windsor, N9A4P4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,,Windsor, N9A4P4,231.0,172.0,"(46.0, 172.0]",3.0,72.0,"(23.0, 86.0]",3.0,25.0,"(11.0, 44.0]",3.0,berkshire care centre,6.0,Berkshire Care Centre,Windsor,231.0,0,0,<5,Active
29,BETHAMMI NURSING HOME,63 Carrie Street,"Thunder Bay, P7A4J2",North West,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,110.0,35.0,"(31.0, 46.0]",2.0,29.0,"(23.0, 86.0]",3.0,19.0,"(11.0, 44.0]",3.0,bethammi nursing home,,,,,,,,
30,BETHANY LODGE,23 Second Street,"Markham, L3R2C2",Central,Bethany Lodge,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,,Markham, L3R2C2,128.0,16.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,bethany lodge,7.0,Bethany Lodge,Markham,128.0,<5,<5,<5,Active
31,BILLINGS COURT MANOR,3700 Billings Court,"Burlington, L7N3N6",Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Burlington, L7N3N6,160.0,24.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,billings court manor,,,,,,,,
32,BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,"Kenora, P9N4J7",North West,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,96.0,53.0,"(46.0, 172.0]",3.0,31.0,"(23.0, 86.0]",3.0,14.0,"(11.0, 44.0]",3.0,birchwood terrace,,,,,,,,
33,BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,"Dundas, L9H3B7",Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,,Dundas, L9H3B7,80.0,31.0,"(21.0, 31.0]",1.0,19.0,"(16.0, 23.0]",2.0,9.0,"(7.0, 11.0]",2.0,blackadar continuing care centre,8.0,Blackadar Continuing Care Centre,Dundas,80.0,<5,0,0,Active
34,BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,"Blenheim, N0P1A0",Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,,Blenheim, N0P1A0,65.0,33.0,"(31.0, 46.0]",2.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,blenheim community village,,,,,,,,
35,BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,"Stouffville, L4A7X3",Central,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,112.0,39.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bloomington cove care community,,,,,,,,
36,BLUE WATER REST HOME,37792 Zurich-Hensall RD,"Zurich, N0M2T0",South West,Blue Water Rest Home,,Non-Profit,Home with approximately 65 beds,No,Yes,No,No,,Zurich, N0M2T0,65.0,21.0,"(0.0, 21.0]",0.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,blue water rest home,9.0,Blue Water Rest Home,Zurich,65.0,<5,0,0,Active
37,BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,"Barrie, L4M0C4",North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Barrie, L4M0C4,64.0,35.0,"(31.0, 46.0]",2.0,17.0,"(16.0, 23.0]",2.0,7.0,"(5.0, 7.0]",1.0,bob rumball home for the deaf,,,,,,,,
38,BOBIER VILLA,1 Bobier Lane,"Dutton, N0L1J0",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,,Dutton, N0L1J0,57.0,19.0,"(0.0, 21.0]",0.0,8.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,bobier villa,,,,,,,,
39,BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,"Cannington, L0E1E0",Central East,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,57.0,21.0,"(0.0, 21.0]",0.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,bon air long term care residence,,,,,,,,
40,BONNECHERE MANOR,470 Albert Street,"Renfrew, K7V4L5",Champlain,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,180.0,43.0,"(31.0, 46.0]",2.0,18.0,"(16.0, 23.0]",2.0,11.0,"(7.0, 11.0]",2.0,bonnechere manor,10.0,Bonnechere Manor,Renfrew,180.0,0,0,<5,Active
42,BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,"Bradford, L3Z3H5",Central,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,,Bradford, L3Z3H5,246.0,40.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,bradford valley care community,11.0,Bradford Valley Care Community,Bradford,246.0,<5,11,0,Active
43,BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060","Wingham, N0G2W0",South West,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,,Wingham, N0G2W0,69.0,39.0,"(31.0, 46.0]",2.0,14.0,"(11.0, 16.0]",1.0,6.0,"(5.0, 7.0]",1.0,braemar retirement centre,12.0,Braemar Retirement Centre,Wingham,69.0,0,0,0,Active
44,BRIERWOOD GARDENS,425 Park Road North,"Brantford, N3R7G5",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,,Brantford, N3R7G5,79.0,55.0,"(46.0, 172.0]",3.0,15.0,"(11.0, 16.0]",1.0,9.0,"(7.0, 11.0]",2.0,brierwood gardens,,,,,,,,
45,BROADVIEW NURSING CENTRE,210 Brockville Street,"Smiths Falls, K7A3Z4",South East,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,,Smiths Falls, K7A3Z4,75.0,31.0,"(21.0, 31.0]",1.0,18.0,"(16.0, 23.0]",2.0,10.0,"(7.0, 11.0]",2.0,broadview nursing centre,,,,,,,,
46,BROUILLETTE MANOR,11900 Brouillette Court,"Tecumseh, N8N4X8",Erie St. Clair,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,60.0,33.0,"(31.0, 46.0]",2.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,brouillette manor,,,,,,,,
47,BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,"Walkerton, N0G2V0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,,Walkerton, N0G2V0,144.0,79.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,17.0,"(11.0, 44.0]",3.0,brucelea haven long term care home - corporation of the county of bruce,13.0,Brucelea Haven Long Term Care Home - Corporation of the County of Bruce,Walkerton,144.0,0,0,<5,Active
48,BURLOAK,5959 New Street,"Burlington, L7L6W5",Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L6W5,144.0,22.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,burloak,,,,,,,,
49,BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,"Campbellford, K0L1L0",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Campbellford, K0L1L0,43.0,28.0,"(21.0, 31.0]",1.0,16.0,"(11.0, 16.0]",1.0,5.0,"(0.0, 5.0]",0.0,burnbrae gardens long term care residence,,,,,,,,
50,BURTON MANOR,5 Sterritt Drive,"Brampton, L6Y5P3",Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P3,128.0,27.0,"(21.0, 31.0]",1.0,9.0,"(0.0, 11.0]",0.0,6.0,"(5.0, 7.0]",1.0,burton manor,14.0,Burton Manor,Brampton,128.0,11,8,14,Active
51,CAMA WOODLANDS NURSING HOME,159 Panin Road,"Burlington, L7P5A6",Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,,Burlington, L7P5A6,134.0,16.0,"(0.0, 21.0]",0.0,10.0,"(0.0, 11.0]",0.0,2.0,"(0.0, 5.0]",0.0,cama woodlands nursing home,,,,,,,,
52,CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,"Cambridge, N3H4R6",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Cambridge, N3H4R6,80.0,35.0,"(31.0, 46.0]",2.0,19.0,"(16.0, 23.0]",2.0,8.0,"(7.0, 11.0]",2.0,cambridge country manor,,,,,,,,
54,CAMILLA CARE COMMUNITY,2250 Hurontario Street,"Mississauga, L5B1M8",Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,237.0,52.0,"(46.0, 172.0]",3.0,24.0,"(23.0, 86.0]",3.0,10.0,"(7.0, 11.0]",2.0,camilla care community,15.0,Camilla Care Community,Mississauga,236.0,152,48,44,Active
55,CAREFREE LODGE,306 Finch Avenue East,"North York, M2N4S5",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,,North York, M2N4S5,127.0,18.0,"(0.0, 21.0]",0.0,12.0,"(11.0, 16.0]",1.0,7.0,"(5.0, 7.0]",1.0,carefree lodge,16.0,Carefree Lodge,North York,127.0,<5,0,0,Active
56,CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,"Arthur, N0G1A0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Arthur, N0G1A0,80.0,65.0,"(46.0, 172.0]",3.0,28.0,"(23.0, 86.0]",3.0,9.0,"(7.0, 11.0]",2.0,caressant care arthur nursing home,,,,,,,,
57,CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,"Bourget, K0A1E0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Bourget, K0A1E0,60.0,116.0,"(46.0, 172.0]",3.0,56.0,"(23.0, 86.0]",3.0,24.0,"(11.0, 44.0]",3.0,caressant care bourget,,,,,,,,
58,CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,"Cobden, K0J1K0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Cobden, K0J1K0,64.0,22.0,"(21.0, 31.0]",1.0,10.0,"(0.0, 11.0]",0.0,4.0,"(0.0, 5.0]",0.0,caressant care cobden,,,,,,,,
59,CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,"Courtland, N0J1E0",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Courtland, N0J1E0,55.0,33.0,"(31.0, 46.0]",2.0,12.0,"(11.0, 16.0]",1.0,8.0,"(7.0, 11.0]",2.0,caressant care courtland,17.0,Caressant Care Courtland,Courtland,55.0,0,0,<5,Active
60,CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,"Fergus, N1M2Y7",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 87 beds,No,Yes,Yes,Yes,,Fergus, N1M2Y7,87.0,68.0,"(46.0, 172.0]",3.0,45.0,"(23.0, 86.0]",3.0,26.0,"(11.0, 44.0]",3.0,caressant care fergus nursing home,5.0,Caressant Care Fergus Nursing Home,Fergus,87.0,,0,,Inactive
61,CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,"Harriston, N0G1Z0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Harriston, N0G1Z0,92.0,28.0,"(21.0, 31.0]",1.0,11.0,"(0.0, 11.0]",0.0,5.0,"(0.0, 5.0]",0.0,caressant care harriston,,,,,,,,
62,CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,"Lindsay, K9V5K5",Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 124 beds,No,Yes,No,Yes,,Lindsay, K9V5K5,124.0,49.0,"(46.0, 172.0]",3.0,25.0,"(23.0, 86.0]",3.0,12.0,"(11.0, 44.0]",3.0,caressant care lindsay nursing home,18.0,Caressant Care Lindsay Nursing Home,Lindsay,124.0,<5,0,<5,Active
63,CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,"Listowel, N4W2L1",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 52 beds,Yes,Yes,No,Yes,,Listowel, N4W2L1,52.0,28.0,"(21.0, 31.0]",1.0,13.0,"(11.0, 16.0]",1.0,4.0,"(0.0, 5.0]",0.0,caressant care listowel nursing home,,,,,,,,
64,CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,"Marmora, K0K2M0",South East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Marmora, K0K2M0,84.0,47.0,"(46.0, 172.0]",3.0,27.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,caressant care marmora,,,,,,,,
65,CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,"St Thomas, N5R5T8",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 116 beds,No,Yes,No,Yes,,St Thomas, N5R5T8,116.0,87.0,"(46.0, 172.0]",3.0,34.0,"(23.0, 86.0]",3.0,15.0,"(11.0, 44.0]",3.0,caressant care on bonnie place,6.0,Caressant Care on Bonnie Place,St Thomas,116.0,,0,,Inactive
