"","Location","copd.prop","asthma.prop","hbp.prop","smokers.prop","FEMALEprop","MALEprop","TRANSGENDERprop","UNKNOWNprop","OTHERprop","CONTACTprop","NEITHERprop","TRAVEL.RELATEDprop","TOTALprop","prox_idx_emp","prox_idx_pharma","prox_idx_childcare","prox_idx_health","prox_idx_grocery","prox_idx_educpri","prox_idx_educsec","prox_idx_lib","prox_idx_parks","prox_idx_transit","amenity"
"11","Halton Regional Health Unit",0.027,0.069,0.178,0.117,0.0310344827586207,0.0216091954022989,0,0,0,0.0151724137931034,0.024367816091954,0.00908045977011494,0.0526436781609195,0.0307,0.0306,0.03665,0.0099,0.0341,0.088,0.0495,0.0641,0.0678,0.0054,0.106388146708769
"12","Hastings and Prince Edward Counties Health Unit",0.079,0.09,0.211,0.252,0.0035,0.00175,0,0,0,0.001375,0.001125,0.00175,0.00525,0.0014,0.0205,0.0248,0.0017,0.04455,0.08075,0.0526,0.0805,0.0315,0,0
"13","Huron County Health Unit",0.034,0.103,0.217,0.187,0.0258333333333333,0.0116666666666667,0,0,0,0.0183333333333333,0.01,0.00666666666666667,0.0375,9e-04,0.02525,0.03095,0.0061,0.038,0.076,0.05825,0.0934,0.0349,0,0
"14","Kingston, Frontenac and Lennox and Addington Health Unit",0.079,0.111,0.183,0.181,0.00365591397849462,0.00279569892473118,0,0,0,0.00301075268817204,0.00139784946236559,0.00204301075268817,0.00645161290322581,0.0043,0.02475,0.0336,0.0051,0.038,0.0943,0.0497,0.0857,0.05415,0.0087,0.122187742435997
"15","Lambton Health Unit",0.06,0.103,0.201,0.204,0.0206521739130435,0.0180434782608696,0,0.000434782608695652,0,0.0193478260869565,0.0141304347826087,0.00173913043478261,0.0391304347826087,0.0018,0.019,0.0121,0.0042,0.0315,0.0762,0.0554,0.0941,0.0315,0,0
"16","Leeds, Grenville and Lanark District Health Unit",0.067,0.116,0.214,0.211,0.0278666666666667,0.014,0,0.000133333333333333,0,0.0244,0.00853333333333333,0.00306666666666667,0.042,0.0017,0.0259,0.0197,0.0038,0.05055,0.114,0.0797,0.0865,0.0448,0.0034,0.0275055327220993
"17","Middlesex-London Health Unit",0.045,0.067,0.171,0.148,0.0206611570247934,0.0133884297520661,8.26446280991736e-05,0,0,0.000578512396694215,0.000578512396694215,0.00181818181818182,0.0341322314049587,0.024,0.0201,0.0241,0.0058,0.0343,0.0765,0.0515,0.0749,0.034,0.0069,0.103322823187
"18","Niagara Regional Area Health Unit",0.055,0.069,0.216,0.181,0.0191558441558442,0.0123376623376623,0,0,0,0.00811688311688312,0.0175324675324675,0.005,0.0314935064935065,0.0109,0.0175,0.0216,0.0041,0.035,0.0766,0.0481,0.0693,0.0371,0.0044,0.0946582237376197
"19","North Bay Parry Sound District Health Unit",0.091,0.077,0.219,0.208,0.000972222222222222,0.000972222222222222,0,0,0,0.000555555555555556,0.000416666666666667,0.000972222222222222,0.00194444444444444,6e-04,0.02045,0.0414,0.0057,0.0326,0.1074,0.0895,0.0787,0.0244,0,0
"20","Northwestern Health Unit",0.048,0.098,0.218,0.19,0.00222222222222222,0.00611111111111111,0,0,0,0.00166666666666667,0.00166666666666667,0.005,0.00833333333333333,0.0014,0.0169,0.015,0.0029,0.0525,0.0617,0.0607,0.0876,0.02135,0,0
"21","Oxford County Health Unit",0.055,0.094,0.173,0.161,0.00864864864864865,0.00675675675675676,0,0,0,0.00945945945945946,0.0027027027027027,0.00324324324324324,0.0154054054054054,0.0051,0.024,0.0267,0.0055,0.0337,0.0707,0.0709,0.1031,0.03035,0,0
"22","Peel Regional Health Unit",0.032,0.06,0.185,0.125,0.050156862745098,0.0410196078431373,0,0.000862745098039216,0,0.00325490196078431,0.0218823529411765,0.00270588235294118,0.0920392156862745,0.0496,0.0309,0.0353,0.0076,0.0365,0.10875,0.0515,0.0659,0.0613,0.0032,0.184735342630079
"23","Perth District Health Unit",0.055,0.11,0.189,0.185,0.0124,0.0056,0,0,0,0.0088,0.0048,0.0032,0.018,0.0052,0.0228,0.0244,0.0112,0.0341,0.0885,0.05145,0.0814,0.0505,0,0
"24","Peterborough County - City Health Unit",0.045,0.098,0.213,0.196,0.0130769230769231,0.00897435897435897,0,0,0,0.00512820512820513,0.00717948717948718,0.00717948717948718,0.022051282051282,0.0036,0.02735,0.0336,0.0039,0.0354,0.0678,0.0554,0.0824,0.0405,1e-04,0.0471976401179941
"25","Porcupine Health Unit",0.068,0.141,0.242,0.238,0.0096875,0.00875,0,0,0,0.00875,0.0059375,0.001875,0.0184375,0.0027,0.0216,0.0174,0.00885,0.0351,0.099,0.0709,0.0787,0.02615,0,0
"26","Renfrew County and District Health Unit",0.072,0.08,0.194,0.194,0.00272727272727273,0.000909090909090909,0,0,0,0.000681818181818182,0.000681818181818182,0.000909090909090909,0.00363636363636364,0.0015,0.023,0.01925,0.0016,0.0339,0.0828,0.0542,0.06895,0.027,0,0
"27","Simcoe Muskoka District Health Unit",0.055,0.087,0.172,0.195,0.00823529411764706,0.0067379679144385,0,0,0,0.00406417112299465,0.00786096256684492,0.00262032085561497,0.0149732620320856,0.0041,0.0208,0.02415,0.0026,0.0381,0.0716,0.0495,0.0834,0.02975,0.0043,0.0281886687133687
"28","Sudbury and District Health Unit",0.073,0.085,0.229,0.235,0.00383720930232558,0.0027906976744186,0,0,0,0.00197674418604651,0.00186046511627907,0.00232558139534884,0.00662790697674419,0.0017,0.0157,0.0175,0.0011,0.0354,0.0786,0.0813,0.0753,0.0341,0.0043,0.060437651962487
"29","The District of Algoma Health Unit",0.079,0.112,0.246,0.209,0.00142857142857143,0.000892857142857143,0,0,0,0.000535714285714286,0.000535714285714286,0.00125,0.00232142857142857,0.0025,0.0208,0.0144,0.0033,0.0346,0.0794,0.0966,0.0834,0.0278,0.0099,0.0126050420168067
"30","The Eastern Ontario Health Unit",0.082,0.117,0.191,0.185,0.00436893203883495,0.00466019417475728,0,0,0,0.00330097087378641,0.00252427184466019,0.0029126213592233,0.00902912621359223,0.0018,0.0165,0.02125,0.0031,0.0341,0.0796,0.0779,0.0834,0.0315,0.0064,0.0120903595291123
"31","Thunder Bay District Health Unit",0.043,0.083,0.233,0.183,0.00837837837837838,0.0110810810810811,0,0.000540540540540541,0,0.00756756756756757,0.00918918918918919,0.00243243243243243,0.02,0.0097,0.016,0.0153,0.0058,0.0363,0.1083,0.0526,0.0778,0.0302,0.0088,0.0844444444444444
"32","Timiskaming Health Unit",0.084,0.11,0.256,0.198,0.00705882352941176,0.00352941176470588,0,0,0,0.00411764705882353,0.00529411764705882,0.00117647058823529,0.0105882352941176,0.001,0.0157,0.0118,0.003,0.0291,0.0719,0.0586,0.0934,0.025,0,0
"33","Waterloo Health Unit",0.033,0.069,0.18,0.165,0.0442,0.025,1e-04,1e-04,0,0.014,0.0268,0.0042,0.0694,0.0282,0.0221,0.04355,0.0045,0.0374,0.0959,0.0481,0.0778,0.0607,0.0076,0.143807339449541
"34","Wellington-Dufferin-Guelph Health Unit",0.047,0.081,0.16,0.149,0.0214102564102564,0.0141025641025641,0,0,0,0.0161538461538462,0.0134615384615385,0.00256410256410256,0.0355128205128205,0.008,0.0208,0.0328,0.0045,0.0414,0.0861,0.0537,0.0796,0.046,0.0044,0.107108394982309
"35","Windsor-Essex County Health Unit",0.047,0.071,0.21,0.173,0.03125,0.0213392857142857,0,0,0,0.0167857142857143,0.0159821428571429,0.0101785714285714,0.0525892857142857,0.016,0.02425,0.0129,0.0052,0.0443,0.0785,0.052,0.0753,0.0313,0.0067,0.0780780780780781
"36","York Regional Health Unit",0.02,0.051,0.176,0.105,0.0653030303030303,0.0498484848484849,0,0.000227272727272727,0,0.0249242424242424,0.054469696969697,0.0109848484848485,0.115378787878788,0.0337,0.0347,0.028,0.0082,0.0322,0.0945,0.04975,0.0666,0.0608,0.0056,0.0766418415707515
