,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
35,Chartwell Brant Centre Long Term Care Residence,Burlington,175,,0,,Inactive
36,Chartwell Elmira Long Term Care Residence,Elmira,48,,0,,Inactive
37,Chartwell Gibson Long Term Care Residence,North York,202,,9,,Inactive
38,Chartwell Pine Grove Long Term Care Residence,Woodbridge,96,,0,,Inactive
39,Chartwell Royal Oak Long Term Care Residence,Kingsville,160,,0,,Inactive
40,Chartwell Waterford Long Term Care Residence,Oakville,168,,0,,Inactive
41,Chartwell Wenleigh Long Term Care Residence,Mississauga,161,,0,,Inactive
42,Chartwell Westbury Long Term Care Residence,Etobicoke,187,,22,,Inactive
43,Chartwell Westmount Long Term Care Residence,Kitchener,160,,0,,Inactive
44,Chartwell White Eagle Long Term Care Residence,Toronto,56,,12,,Inactive
45,Chartwell Woodhaven Long Term Care Residence,Markham,192,,0,,Inactive
46,Chartwell Wynfield Long Term Care Residence,Oshawa,172,,0,,Inactive
47,Chelsey Park,London,247,,0,,Inactive
48,Collingwood Nursing Home,Collingwood,64,,0,,Inactive
49,Columbia Forest,Waterloo,156,,0,,Inactive
50,Copernicus Lodge,Toronto,228,,0,,Inactive
51,Country Terrace,Komoka,120,,0,,Inactive
52,Country Village Homes - Woodslee,Woodslee,104,,18,,Inactive
53,Craiglee Nursing Home,Scarborough,169,,<5,,Inactive
54,Creedan Valley Care Community,Creemore,95,,0,,Inactive
55,Cummer Lodge,North York,391,,<5,,Inactive
56,Delhi Long Term Care Centre,Delhi,60,,0,,Inactive
57,Dom Lipa,Etobicoke,66,,0,,Inactive
58,Douglas H. Rapelje Lodge,Welland,120,,0,,Inactive
59,Downsview Long Term Care Centre,North York,252,,64,,Inactive
60,Dufferin Oaks,Shelburne,160,,0,,Inactive
61,Dundurn Place Care Centre,Hamilton,201,,<5,,Inactive
62,Eagle Terrace,Newmarket,70,,<5,,Inactive
63,Earls Court Village,London,128,,0,,Inactive
64,Eastholme Home for the Aged,Powassan,128,,0,,Inactive
65,Ehatare Nursing Home,Scarborough,32,,0,,Inactive
66,Ã‰lisabeth-BruyÃ¨re Residence,Ottawa,71,,15,,Inactive
67,Elizabeth Centre,Val Caron,128,,0,,Inactive
68,Elm Grove Living Centre,Toronto,126,,18,,Inactive
69,Elmwood Place,London,90,,0,,Inactive
70,Erin Mills Lodge Nursing Home,Mississauga,86,,17,,Inactive
71,Exeter Villa,Exeter,47,,0,,Inactive
72,Extendicare Bayview,North York,205,,12,,Inactive
73,Extendicare Halton Hills,Georgetown,130,,0,,Inactive
74,Extendicare Hamilton,Hamilton,160,,0,,Inactive
75,Extendicare Lakefield,Lakefield,100,,0,,Inactive
76,Extendicare Laurier Manor,Gloucester,242,,25,,Inactive
77,Extendicare Maple View of Sault Ste. Marie,Sault Ste. Marie,256,,0,,Inactive
78,Extendicare Oshawa,Oshawa,175,,0,,Inactive
79,Extendicare Rouge Valley,Toronto,192,,0,,Inactive
80,Extendicare Scarborough,Scarborough,154,,14,,Inactive
81,Extendicare Southwood Lakes,Windsor,150,,0,,Inactive
82,Extendicare Starwood,Nepean,192,,0,,Inactive
83,Extendicare Tecumseh,Tecumseh,128,,0,,Inactive
84,Extendicare Timmins,Timmins,180,,0,,Inactive
85,Extendicare West End Villa,Ottawa,242,,0,,Inactive
86,Extendicare York,Sudbury,288,,0,,Inactive
87,Fairview Lodge,Whitby,198,,0,,Inactive
88,Faith Manor Nursing Home,Brampton,120,,<5,,Inactive
89,Finlandia Hoivakoti Nursing Home,Sudbury,112,,0,,Inactive
90,Fountain View Care Community,East York,158,,0,,Inactive
91,Foyer St-Viateur Nursing Home,Limoges,57,,0,,Inactive
92,Franklin Gardens Long Term Care Home,Leamington,120,,0,,Inactive
93,Garden Terrace,Kanata,160,,0,,Inactive
94,Gardenview Long Term Care Home,Townsend,64,,0,,Inactive
95,Glen Hill Strathaven,Bowmanville,210,,0,,Inactive
96,Golden Dawn Nursing Home,Lion's Head,45,,0,,Inactive
97,Golden Manor,Timmins,177,,0,,Inactive
98,Golden Years Nursing Home,Cambridge,88,,0,,Inactive
99,Grace Manor,Brampton,120,,12,,Inactive
100,Grace Villa Nursing Home,Hamilton,184,,0,,Inactive
101,Greenwood Court,Stratford,45,,<5,,Inactive
102,Hallowell House,Picton,97,,0,,Inactive
103,Hampton Terrace Care Centre,Burlington,101,,0,,Inactive
104,Harmony Hills Care Community,East York,160,,0,,Inactive
105,Harold and Grace Baker Centre,Toronto,120,,16,,Inactive
106,Hastings Manor Home for the Aged,Belleville,253,,<5,,Inactive
107,Hawthorne Place Care Centre,North York,269,,48,,Inactive
108,Hellenic Care for Seniors (Toronto),Toronto,81,,0,,Inactive
109,Henley Place,London,192,,0,,Inactive
110,Heritage Green Nursing Home,Stoney Creek,167,,<5,,Inactive
111,Heron Terrace Long Term Care Community,Windsor,140,,25,,Inactive
112,Hillsdale Estates,Oshawa,300,,0,,Inactive
113,Hillsdale Terraces,Oshawa,200,,13,,Inactive
114,Hillside Manor,Stratford,90,,0,,Inactive
115,Hogarth Riverview Manor,Thunder Bay,543,,0,,Inactive
116,Humber Valley Terrace,Etobicoke (Rexdale),158,,36,,Inactive
117,Idlewyld Manor,Hamilton,192,,0,,Inactive
118,IOOF Seniors Home,Barrie,182,,0,,Inactive
119,Isabel and Arthur Meighen Manor,Toronto,168,,48,,Inactive
120,Ivan Franko Home (Etobicoke),Toronto,85,,0,,Inactive
121,Kennedy Lodge,Scarborough,289,,0,,Inactive
122,Kensington Village,London,78,,7,,Inactive
123,Kilean Lodge,Grimsby,50,,0,,Inactive
124,Kristus Darzs Latvian Home,Woodbridge,100,,11,,Inactive
125,Labdara Lithuanian Nursing Home,Etobicoke,90,,0,,Inactive
126,Lakeshore Lodge,Etobicoke,150,,12,,Inactive
127,Lakeview Manor,Beaverton,149,,0,,Inactive
128,Lambton Meadowview Villa,Petrolia,125,,0,,Inactive
129,Lanark Heights Long Term Care Centre,Kitchener,160,,0,,Inactive
130,Lanark Lodge,Perth,163,,0,,Inactive
131,Leamington Mennonite Home Long Term Care Residence,Leamington,84,,0,,Inactive
132,Macassa Lodge,Hamilton,270,,0,,Inactive
133,Mackenzie Health Long Term Care Facility,Richmond Hill,168,,0,,Inactive
134,MacKenzie Place,Newmarket,93,,15,,Inactive
135,Madonna Care Community,Orleans,160,,46,,Inactive
136,Main Street Terrace,Toronto,150,,0,,Inactive
137,Maitland Manor,Goderich,91,,0,,Inactive
138,Malton Village Long Term Care Centre,Mississauga,160,,0,,Inactive
139,Manitoulin Lodge,Gore Bay,62,,0,,Inactive
140,Manoir Marochel,Ottawa,64,,9,,Inactive
141,Maple View,Owen Sound,29,,0,,Inactive
142,Maple View Lodge,Athens,60,,0,,Inactive
143,Maplewood,Brighton,49,,0,,Inactive
144,Markhaven,Markham,96,,17,,Inactive
145,Marshall Gowland Manor,Sarnia,126,,0,,Inactive
146,Maxville Manor,Maxville,122,,0,,Inactive
147,Maynard Nursing Home,Toronto,77,,0,,Inactive
148,McCall Centre Long Term Care Interim Unit,Etobicoke,21,,0,,Inactive
149,Meadow Park (London),London,126,,<5,,Inactive
150,Miramichi Lodge,Pembroke,166,,0,,Inactive
151,Moira Place Long-Term Care Home,Tweed,128,,0,,Inactive
152,Mon Sheong Home for the Aged,Toronto,105,,33,,Inactive
153,Mon Sheong Scarborough Long Term Care Centre,Scarborough,160,,0,,Inactive
154,Mount Hope Centre for Long Term Care,London,394,,0,,Inactive
155,North Park Nursing Home,North York,75,,0,,Inactive
156,Northridge,Oakville,133,,0,,Inactive
157,Northview Nursing Home,Englehart,48,,0,,Inactive
158,Norwood Nursing Home,Toronto,60,,0,,Inactive
159,Orchard Villa,Pickering,233,,70,,Inactive
160,Owen Hill Care Community,Barrie,57,,12,,Inactive
161,Parkview Manor Health Care Centre,Chesley,34,,0,,Inactive
162,Parkwood Mennonite Home,Waterloo,96,,0,,Inactive
163,Peel Manor,Brampton,177,,<5,,Inactive
164,peopleCare Hilltop Manor Cambridge,Cambridge,185,,0,,Inactive
165,Pinecrest (Plantagenet),Plantagenet,60,,11,,Inactive
166,Pinecrest Nursing Home (Bobcaygeon),Bobcaygeon,65,,29,,Inactive
167,Pinehaven Nursing Home,Waterloo,84,,0,,Inactive
168,Pioneer Manor,Sudbury,433,,0,,Inactive
169,Post Inn Village,Oakville,228,,0,,Inactive
170,Providence Healthcare,Scarborough,288,,<5,,Inactive
171,Providence Manor,Kingston,243,,0,,Inactive
172,Regency Park Long Term Care Home,Windsor,72,,0,,Inactive
173,Regina Gardens,Hamilton,128,,0,,Inactive
174,Riverside Place,Windsor,96,,0,,Inactive
175,Riverview Manor Nursing Home,Peterborough,124,,0,,Inactive
176,Rockcliffe Care Community,Scarborough,204,,0,,Inactive
177,Rosebridge Manor,Jasper,78,,0,,Inactive
178,Royal Rose Place,Welland,96,,20,,Inactive
179,Royal Terrace,Palmerston,67,,0,,Inactive
180,Saint Luke's Place,Cambridge,114,,0,,Inactive
181,Secord Trails Care Community,Ingersoll,80,,0,,Inactive
182,Shalom Manor Long Term Care Home,Grimsby,144,,0,,Inactive
183,Shelburne Long Term Care Home,Shelburne,60,,18,,Inactive
184,Shepherd Lodge,Toronto,252,,0,,Inactive
185,Sherbourne Place,Toronto,126,,19,,Inactive
186,Sheridan Villa,Mississauga,142,,<5,,Inactive
187,Sherwood Court Long Term Care Centre,Maple,96,,0,,Inactive
188,Silverthorn Care Community,Mississauga,160,,0,,Inactive
189,South Centennial Manor,Iroquois Falls,69,,0,,Inactive
190,Southlake Residential Care Village,Newmarket,224,,0,,Inactive
191,Spencer House,Orillia,160,,0,,Inactive
192,Sprucedale Care Centre,Strathroy,96,,0,,Inactive
193,St. Andrew's Terrace Long Term Care Community,Cambridge,128,,0,,Inactive
194,St. Gabriel's Villa of Sudbury,Chelmsford,128,,0,,Inactive
195,St. Joseph's at Fleming,Peterborough,200,,<5,,Inactive
196,St. Joseph's Continuing Care Centre,Cornwall,150,,0,,Inactive
197,St. Joseph's Lifecare Centre,Brantford,205,,0,,Inactive
198,"St. Joseph's Villa, Dundas",Dundas,425,,0,,Inactive
199,"St. Joseph's Villa, Sudbury",Sudbury,128,,<5,,Inactive
200,St. Patrick's Home,Ottawa,288,,<5,,Inactive
201,Stirling Heights,Cambridge,110,,0,,Inactive
202,Stoneridge Manor,Carleton Place,60,,6,,Inactive
203,Strathcona Long Term Care,Mount Forest,87,,0,,Inactive
204,Sumac Lodge,Sarnia,100,,0,,Inactive
205,Sun Parlor Home for Senior Citizens,Leamington,206,,<5,,Inactive
206,Sunnycrest Nursing Home,Whitby,136,,0,,Inactive
207,Tall Pines Long Term Care Centre,Brampton,160,,0,,Inactive
208,Telfer Place,Paris,45,,0,,Inactive
209,Temiskaming Lodge,Haileybury,83,,0,,Inactive
210,Tendercare Living Centre,Scarborough,254,,0,,Inactive
211,The Henley House,St. Catharines,160,,0,,Inactive
212,The Jewish Home for the Aged,North York,472,,<5,,Inactive
213,The Kensington Gardens,Toronto,350,,8,,Inactive
214,The Norfolk Hospital Nursing Home,Simcoe,80,,0,,Inactive
215,The O'Neill Centre,Toronto,162,,0,,Inactive
216,The Village at St. Clair,Windsor,256,,0,,Inactive
217,The Village at University Gates,Waterloo,192,,0,,Inactive
218,The Village of Erin Meadows,Mississauga,180,,20,,Inactive
219,The Village of Riverside Glen,Guelph,192,,0,,Inactive
220,The Village of Taunton Mills,Whitby,120,,0,,Inactive
221,The Village of Wentworth Heights,Hamilton,120,,0,,Inactive
222,The Village of Winston Park,Kitchener,95,,0,,Inactive
223,The Wexford,Scarborough,166,,0,,Inactive
224,The Woodlands of Sunset,Welland,121,,0,,Inactive
225,Thompson House,North York,136,,0,,Inactive
226,Thorntonview,Oshawa,154,,0,,Inactive
227,Tony Stacey Centre for Veterans' Care,Toronto,100,,0,,Inactive
228,Trinity Village Care Centre,Kitchener,150,,18,,Inactive
229,Tufford Nursing Home,St. Catharines,64,,0,,Inactive
230,Tullamore Care Community,Brampton,159,,0,,Inactive
231,Twin Oaks of Maryhill,Maryhill,31,,0,,Inactive
232,Union Villa,Unionville,160,,0,,Inactive
233,Valleyview Residence,North York,174,,<5,,Inactive
234,Vermont Square,Toronto,130,,0,,Inactive
235,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,,21,,Inactive
236,Villa Forum,Mississauga,160,,10,,Inactive
237,Villa Marconi,Ottawa,128,,0,,Inactive
238,Vision Nursing Home,Sarnia,146,,10,,Inactive
239,Wellesley Central Place,Toronto,150,,10,,Inactive
240,Wellington Terrace Long-Term Care Home,Fergus,176,,0,,Inactive
241,Wentworth Lodge,Dundas,160,,0,,Inactive
242,West Oak Village,Oakville,133,,0,,Inactive
243,West Park Health Centre,St. Catharines,101,,<5,,Inactive
244,Westside,Etobicoke,242,,<5,,Inactive
245,Wikwemikong Nursing Home,Wikwemikong,59,,0,,Inactive
246,Woodland Villa,Long Sault,111,,0,,Inactive
247,Woods Park Care Centre,Barrie,123,,0,,Inactive
248,Wyndham Manor Long Term Care Centre,Oakville,128,,0,,Inactive
249,Yee Hong Centre - Markham,Markham,200,,0,,Inactive
250,Yee Hong Centre - Mississauga,Mississauga,200,,0,,Inactive
251,Yee Hong Centre - Scarborough Finch,Scarborough,250,,0,,Inactive
252,Yee Hong Centre - Scarborough McNicoll,Scarborough,155,,0,,Inactive
