name,cleaned_name,address,LHIN,home_type,city,postal_code,short_stay,residents_council,family_council,accreditation,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,antipsychotic_percent,depression_percent,falls_percent,pressure_ulcers_percent,pain_percent,restraints_percent,confirmed_resident_cases,resident_deaths,confirmed_staff_cases,status,number_beds,CSDname,CSDuid,latitude,longitude
MAXVILLE MANOR,maxville manor,80 Mechanic Street West,Champlain,Non-Profit,Maxville, K0C1T0,Yes,Yes,Yes,No,32,10,3,12,3,2,10,3,0,7,1,1,19.7,30.2,21,4.2,3.8,13.9,<5,0,0,Active,122,North Glengarry,3501050,45.28415857,-74.86345425
MAYNARD NURSING HOME,maynard nursing home,28 Halton Street,Toronto Central,For-Profit,Toronto, M6J1R3,No,Yes,Yes,Yes,21,11,4,8,1,0,4,2,2,8,6,2,27.6,28.2,15,2.7,2.3,0.8,0,0,0,Active,77,Toronto,3520005,43.64880888,-79.4191815
MILL CREEK CARE CENTRE,mill creek care centre,286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Barrie, L4N0Z3,Yes,Yes,Yes,Yes,35,13,6,17,3,2,9,4,1,10,6,2,13.2,7.8,20.2,1.4,3.6,0,,,,,160,Barrie,3543042,44.3689931,-79.65609964
NIPIGON DISTRICT MEMORIAL HOSPITAL,nipigon district memorial hospital,125 Hogan Road P O Box 37,North West,Non-Profit,Nipigon, P0T2J0,No,Yes,No,Yes,13,9,5,1,1,0,3,2,2,4,2,2,23.5,16.4,31.3,0,19.2,0,,,,,15,Nipigon,3558044,49.0155755,-88.2759054
NISBET LODGE,nisbet lodge,740 Pape Avenue,Toronto Central,Non-Profit,Toronto, M4K3S7,No,Yes,Yes,Yes,15,12,8,7,5,5,2,2,2,2,2,2,27.8,12.8,17,1.7,4.4,1.8,,,,,103,Toronto,3520005,43.68025289,-79.34558197
NORTH RENFREW LONG-TERM CARE SERVICES,north renfrew long-term care services inc.,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Deep River, K0J1P0,Yes,Yes,No,No,22,10,5,4,1,1,6,4,2,5,1,0,6.7,38.1,13.9,0,13,11.1,,,,,21,Deep River,3547096,46.10283609,-77.48846579
PARKWOOD MENNONITE HOME,parkwood mennonite home,726 New Hampshire Street,Waterloo Wellington,Non-Profit,Waterloo, N2K4M1,No,Yes,Yes,Yes,22,13,9,7,4,3,7,3,3,3,3,3,19.2,37.3,18.5,5.9,11.8,1.3,0,0,<5,Active,96,Waterloo,3530016,43.51640151,-80.50225763
PROVIDENCE HEALTHCARE,providence healthcare,3276 St. Clair Avenue East,Toronto Central,Non-Profit,Scarborough, M1L1W1,No,Yes,Yes,Yes,56,30,12,32,17,5,16,10,6,6,4,2,19.8,14,17.6,4.8,4.8,2.5,,<5,,Inactive,288,Toronto,3520005,43.7122051,-79.2850295
SAINT LUKE'S PLACE,saint luke's place,1624 Franklin Boulevard,Waterloo Wellington,Non-Profit,Cambridge, N3C3P4,No,Yes,Yes,Yes,30,18,7,14,10,4,11,5,3,3,3,2,5.7,35.8,11.7,0.9,3.4,2.6,,0,,Inactive,114,Cambridge,3530010,43.4253246,-80.31029116
SHALOM MANOR LONG TERM CARE HOME,shalom manor long term care home,12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Grimsby, L3M4N5,No,Yes,Yes,No,20,12,9,7,4,4,7,4,4,2,2,2,17.1,31.4,17.8,3,12.2,1.2,,0,,Inactive,144,Grimsby,3526065,43.1869815,-79.52455129
SHALOM VILLAGE NURSING HOME,shalom village nursing home,70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Hamilton, L8S3S1,No,Yes,Yes,Yes,21,15,7,7,3,2,3,2,2,5,5,2,22.5,20.3,19.2,0.6,6.3,0,,,,,127,Hamilton,3525005,43.26411849,-79.89518251
SHERWOOD PARK MANOR,sherwood park manor,1814 County Road  #2 East,South East,Non-Profit,Brockville, K6V5T1,No,Yes,Yes,No,60,27,12,28,13,5,22,7,3,9,6,6,14.7,26.3,16.7,1.3,7.6,13.3,,,,,107,Elizabethtown-Kitley,3507014,44.60514,-75.662296
SMOOTH ROCK FALLS HOSPITAL,smooth rock falls hospital,107 Kelly Road P.O. Box 219,North East,Non-Profit,Smooth Rock Falls, P0L2B0,No,Yes,No,Yes,17,10,5,1,0,0,6,3,3,4,2,1,17.9,1.8,12.1,0,7.2,23.1,,,,,20,Smooth Rock Falls,3556048,49.272285,-81.610265
THE WEST NIPISSING GENERAL HOSPITAL,the west nipissing general hospital,725 Coursol,North East,Non-Profit,Sturgeon Falls, P2B2Y6,No,Yes,No,Yes,14,10,4,1,1,0,4,2,2,5,5,1,30.2,13.9,4.4,3.9,43.5,9.9,,,,,48,West Nipissing / Nipissing Ouest,3548055,46.37244272,-79.91782482
TOWNSHIP OF OSGOODE CARE CENTRE,township of osgoode care centre,7650 Snake Island Road,Champlain,Non-Profit,Metcalfe, K0A2P0,Yes,Yes,Yes,No,21,10,6,9,2,1,8,5,4,0,0,0,27.5,33.3,22.3,4.1,12.3,2.9,,,,,100,Ottawa,3506008,45.22188813,-75.50384886
VISION '74 INC.,vision nursing home,229 Wellington Street,Erie St. Clair,Non-Profit,Sarnia, N7T1G9,Yes,Yes,Yes,Yes,38,12,5,6,2,0,25,6,4,2,0,0,12.8,21.2,15.4,2.6,2.5,4.3,16,6,20,Active,146,Sarnia,3538030,42.96819132,-82.40364827
WEST LAKE TERRACE,west lake terrace,"1673 County Road, 12 R. R. #1",South East,For-Profit,Picton, K0K2T0,No,Yes,No,Yes,26,13,6,7,3,2,9,5,4,7,1,0,7.8,33.8,9.2,1.3,0.2,0,,,,,47,Prince Edward County,3513020,43.92704133,-77.25758022
WILDWOOD CARE CENTRE,wildwood care centre,100 Ann Street P.O. Box 2200,South West,For-Profit,St. Marys, N4X1A1,No,Yes,Yes,Yes,25,10,6,4,1,1,14,6,4,2,0,0,9,30.2,17.2,2.4,2.2,3.9,,,,,60,St. Marys,3531016,43.26076283,-81.15463991
BROUILLETTE MANOR,brouillette manor,11900 Brouillette Court,Erie St. Clair,For-Profit,Tecumseh, N8N4X8,No,Yes,Yes,Yes,33,13,4,7,1,0,15,7,3,3,0,0,28.2,27.9,33,5.2,4.7,0.4,,,,,60,Tecumseh,3537048,42.3064019,-82.8920717
ARBOUR HEIGHTS,arbour heights,564 Tanner Drive,South East,For-Profit,Kingston, K7M0C3,No,Yes,Yes,Yes,70,33,13,29,11,4,23,14,7,13,7,2,12,30.2,15.2,3.9,3,8.9,,,,,174,Kingston,3510010,44.23937071,-76.55865852
ST. JACQUES NURSING HOME,st. jacques nursing home,915 Notre Dame Street P. O. Box 870,Champlain,Non-Profit,Embrun, K0A1W0,No,Yes,Yes,Yes,50,34,8,18,10,4,10,8,4,10,6,0,11.9,33.9,16.7,9.4,0,14.5,,,,,60,Russell,3502048,45.27229585,-75.28638399
SANDFIELD PLACE,sandfield place,220 Emma Street,Champlain,For-Profit,Cornwall, K6J5V8,No,Yes,Yes,Yes,26,20,10,11,8,4,8,6,3,3,3,2,17.8,33,20.4,1.4,3.9,10.2,,,,,53,Cornwall,3501012,45.03749423,-74.75148549
CEDARVALE TERRACE,cedarvale terrace,429 Walmer Road,Toronto Central,For-Profit,Toronto, M5P2X9,Yes,Yes,Yes,Yes,65,25,16,40,14,10,11,6,5,16,7,6,19.1,10.3,10.7,1.2,1.2,0.9,,0,,Inactive,218,Toronto,3520005,43.68545859,-79.4124234
VERMONT SQUARE,vermont square,914 Bathurst Street,Toronto Central,For-Profit,Toronto, M5R3G5,Yes,Yes,Yes,Yes,21,15,12,6,5,4,8,5,5,3,3,3,17.3,4.9,9.8,1,1.8,2.1,<5,0,<5,Active,130,Toronto,3520005,43.66830209,-79.41276169
THE O'NEILL CENTRE,the o'neill centre,33 Christie Street,Toronto Central,For-Profit,Toronto, M6G3B1,Yes,Yes,No,Yes,29,11,5,16,3,1,9,5,4,0,0,0,9.4,9.4,12.2,1.7,2,0,,0,,Inactive,162,Toronto,3520005,43.66476219,-79.4186887
NIPISSING MANOR NURSING CARE CENTER,nipissing manor nursing care center,1202 Highway 94,North East,For-Profit,Corbeil, P0H1K0,No,Yes,Yes,Yes,20,15,10,5,3,2,6,5,4,3,3,3,8.3,3.1,8.5,1.7,6,2.9,,,,,120,East Ferris,3548034,46.24835493,-79.33681562
VALLEYVIEW RESIDENCE,valleyview residence,541 Finch Avenue West,Central,Non-Profit,North York, M2R3Y3,No,Yes,No,No,57,23,15,28,11,7,16,5,4,10,5,3,21.4,15.5,27.5,5,8.6,9.3,,<5,,Inactive,174,Toronto,3520005,43.7708832,-79.44630321
ALGONQUIN NURSING HOME,algonquin nursing home,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Mattawa, P0H1V0,Yes,Yes,Yes,Yes,23,14,5,3,1,0,11,7,4,5,3,0,24.4,19.2,17.2,2,22.9,3.3,,,,,73,Mattawa,3548021,46.31349257,-78.71984132
FAIRVIEW MANOR,fairview manor,75 Spring Street,Champlain,Non-Profit,Almonte, K0A1A0,Yes,Yes,Yes,Yes,29,19,11,7,5,5,11,9,4,4,0,0,24.3,20.7,12.7,1.8,9.5,4.9,,,,,112,Mississippi Mills,3509030,45.2287855,-76.18998128
SOUTH CENTENNIAL MANOR,south centennial manor,240 Fyfe Street,North East,Non-Profit,Iroquois Falls, P0K1E0,Yes,Yes,Yes,Yes,23,17,11,2,2,2,9,5,3,9,6,3,25.7,23.8,11.5,2.6,4.3,10.8,<5,0,0,Active,69,Iroquois Falls,3556031,48.76584185,-80.68247105
CENTENNIAL PLACE LONG-TERM CARE HOME,centennial place long-term care home,2 Centennial Lane North,Central East,For-Profit,Millbrook, L0A1G0,No,Yes,No,Yes,29,19,7,8,4,2,12,8,3,4,3,1,13.3,31.6,14.6,2,8.2,1.1,,,,,128,Cavan Monaghan,3515013,44.1562909,-78.4477515
MOIRA PLACE LONG-TERM CARE HOME,moira place long-term care home,415 River Street West P.O. Box 200,South East,For-Profit,Tweed, K0K3J0,No,Yes,Yes,Yes,37,27,7,12,7,2,14,13,4,5,2,0,10.7,34.4,14,1.6,2.5,0,,0,,Inactive,128,Tweed,3512030,44.47111572,-77.31915479
COPPER TERRACE,copper terrace,91 Tecumseh Road,Erie St. Clair,For-Profit,Chatham, N7M1B3,Yes,Yes,Yes,Yes,95,51,21,32,18,8,45,23,7,14,11,8,30.6,25.7,25.6,4.6,9.6,1,,,,,138,Chatham-Kent,3536020,42.39831463,-82.20038906
MIDDLESEX TERRACE,middlesex terrace,2094 Gideon Drive R.R. #1,South West,For-Profit,Delaware, N0L1E0,No,Yes,Yes,Yes,43,21,7,10,5,0,25,11,6,3,2,0,21.2,29.8,22.3,3.5,3.5,0,,,,,105,Middlesex Centre,3539033,42.92353736,-81.42514196
PARK LANE TERRACE,park lane terrace,295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Paris, N3L2N9,No,Yes,Yes,Yes,46,36,16,20,15,5,11,9,7,15,14,7,14,28.3,14.3,1.9,4.8,2,,,,,132,Brant,3529005,43.21149506,-80.38916816
RICHMOND TERRACE,richmond terrace,89 Rankin Avenue,Erie St. Clair,For-Profit,Amherstburg, N9V1E7,Yes,Yes,Yes,Yes,62,35,15,41,21,8,15,8,6,2,2,1,21.5,29.7,19.1,1.7,2,5.4,,,,,120,Amherstburg,3537028,42.10422443,-83.11025501
WATFORD QUALITY CARE CENTRE,watford quality care centre,344 Victoria Street,Erie St. Clair,For-Profit,Watford, N0M2S0,Yes,Yes,Yes,Yes,19,10,4,2,2,0,11,4,3,0,0,0,22.9,26.7,19.1,2.8,16,0.8,,,,,63,Warwick,3538043,42.95217584,-81.88556091
EXETER VILLA,exeter villa,155 John Street East,South West,For-Profit,Exeter, N0M1S1,Yes,Yes,No,Yes,18,11,7,5,3,3,7,4,3,1,1,1,20.1,35,11.3,4,9.9,12.8,,0,,Inactive,47,South Huron,3540005,43.34653763,-81.47441712
RIVER GLEN HAVEN NURSING HOME,river glen haven nursing home,160 High Street P.O. Box 368,Central,For-Profit,Sutton West, L0E1R0,No,Yes,Yes,Yes,28,15,6,10,4,2,6,3,1,10,6,2,27.8,36.6,18.8,4.7,12.8,12,50,24,30,Active,119,Georgina,3519070,44.3039488,-79.36171604
THE FORDWICH VILLAGE NURSING HOME,the fordwich village nursing home,3063 Adelaide Street,South West,For-Profit,Fordwich, N0G1V0,No,Yes,Yes,Yes,18,8,5,4,1,1,6,2,2,6,4,1,3.8,39,26.9,1.3,14.1,3.4,,,,,33,Howick,3540046,43.87084494,-81.02944763
CEDARWOOD LODGE,cedarwood lodge,860 Great Northern Road,North East,For-Profit,Sault Ste. Marie, P6A5K7,No,Yes,Yes,No,37,37,5,9,9,2,8,8,1,14,14,0,28.8,29.9,20.3,4.3,10.5,20.1,,,,,50,Sault Ste. Marie,3557061,46.55200831,-84.31955276
BABCOCK COMMUNITY CARE CENTRE,babcock community care centre,196 Wellington Street P. O. Box 190,South West,For-Profit,Wardsville, N0L2N0,No,Yes,Yes,Yes,32,17,10,6,4,3,18,8,5,3,2,1,21.9,21.4,6.4,3.6,16.2,11.7,,,,,60,Southwest Middlesex,3539005,42.6583997,-81.75796234
THE WELLINGTON NURSING HOME,the wellington nursing home,1430 Upper Wellington Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Hamilton, L9A5H3,No,Yes,Yes,Yes,40,24,9,15,8,4,12,6,3,13,8,4,19.2,28.4,13,4.9,5.9,2.3,,,,,102,Hamilton,3525005,43.20948778,-79.8796767
BAY HAVEN NURSING HOME,bay haven nursing home,499 Hume Street,North Simcoe Muskoka,For-Profit,Collingwood, L9Y4H8,No,Yes,No,No,14,10,6,4,3,2,4,4,4,0,0,0,13.3,26.4,21.3,2,9.4,2.4,,,,,60,Collingwood,3543031,44.49946329,-80.19803202
THE JEWISH HOME FOR THE AGED,the jewish home for the aged,3560 Bathurst Street,Toronto Central,Non-Profit,North York, M6A2E1,No,Yes,Yes,Yes,52,34,21,29,16,10,13,9,7,11,10,6,23.1,10.8,13,2.4,2.2,0,<5,<5,8,Active,472,Toronto,3520005,43.7300765,-79.43421181
BELMONT LONG TERM CARE FACILITY,belmont long term care facility,250 Bridge Street West,South East,For-Profit,Belleville, K8P5N3,No,Yes,No,Yes,35,20,8,11,3,1,15,11,5,3,1,0,12.9,37.3,15.3,3.5,7.6,6.7,,0,,Inactive,128,Belleville,3512005,44.16007616,-77.40393509
HEIDEHOF LONG TERM CARE HOME,heidehof long term care home,600 Lake Street,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,St. Catharines, L2N4J4,No,Yes,No,No,22,12,4,6,3,1,4,1,0,6,4,0,32.2,16,17.1,2,2.1,2,,,,,106,St. Catharines,3526053,43.19665771,-79.251902
BETHANY LODGE,bethany lodge,23 Second Street,Central,Non-Profit,Markham, L3R2C2,No,Yes,Yes,No,17,13,5,2,1,1,5,5,2,3,3,0,7,22.5,16.4,4.7,15.6,1.7,,<5,,Inactive,128,Markham,3519036,43.86204073,-79.30139068
ROSEDALE CENTRE,rosedale centre,507- 8th Avenue P.O. Box 70,North East,Non-Profit,Matheson, P0K1N0,No,Yes,Yes,No,14,7,3,1,0,0,7,2,2,2,2,0,27.3,22.2,4.5,0,11.5,1.7,,,,,20,Black River-Matheson,3556014,48.53944263,-80.46973105
BLUE WATER REST HOME,blue water rest home,37792 Zurich-Hensall RD,South West,Non-Profit,Zurich, N0M2T0,No,Yes,No,No,21,13,4,6,3,0,8,5,3,1,1,0,17.5,36.2,14,1.9,1.1,0,,0,,Inactive,65,Bluewater,3540010,43.41978964,-81.63774028
ALGOMA MANOR NURSING HOME,algoma manor nursing home,145 Dawson Street,North East,Non-Profit,Thessalon, P0R1L0,Yes,Yes,Yes,Yes,23,14,7,7,5,2,3,2,1,6,3,1,15.9,20.4,18.6,1.8,2.9,5.2,,,,,96,Thessalon,3557028,46.2634618,-83.56324898
AU CHATEAU,au chateau,100 Michaud Street,North East,Municipal,Sturgeon Falls, P2B2Z4,Yes,Yes,Yes,No,47,28,13,18,9,4,14,7,4,14,12,6,14.8,11.4,25.7,4.4,12.9,10.7,,,,,162,West Nipissing / Nipissing Ouest,3548055,46.37203452,-79.92058532
NORTHWOOD LODGE,northwood lodge,51 Highway 105 P.O. Box 420,North West,Municipal,Red Lake, P0V2M0,No,Yes,Yes,No,19,11,5,3,1,1,3,1,1,13,7,2,28.8,18.4,8.1,0.6,9.8,24.6,,,,,32,Red Lake,3560042,51.01327044,-93.82244384
PINECREST (KENORA),pinecrest (kenora),1220 Valley Drive,North West,Municipal,Kenora, P9N2W7,Yes,Yes,Yes,No,25,13,6,5,2,1,8,2,1,5,3,2,20.7,32.6,13.6,7,6.4,29.3,,,,,116,Kenora,3560010,49.7799152,-94.4631099
PRINCESS COURT,princess court,Princess Street Box 725,North West,Municipal,Dryden, P8N2Z4,Yes,Yes,Yes,No,28,8,6,9,0,0,8,2,2,8,4,2,16.9,2,13.3,1.7,0.9,7,,,,,97,Dryden,3560027,49.783303,-92.8352797
CASSELLHOLME,cassellholme,400 Olive Street,North East,Municipal,North Bay, P1B6J4,Yes,Yes,Yes,Yes,47,25,16,19,8,6,17,8,7,9,7,2,19.4,36.1,19.3,4.2,5,3.8,,0,,Inactive,240,North Bay,3548044,46.31926603,-79.44608166
BELVEDERE HEIGHTS,belvedere heights,21 Belvedere Avenue,North East,Municipal,Parry Sound, P2A2A2,No,Yes,Yes,Yes,40,23,13,15,6,4,10,7,5,17,11,4,17.7,47.1,20,3,3.4,0.8,,,,,101,Parry Sound,3549032,45.34272524,-80.03862375
CHESTER VILLAGE,chester village,3555 Danforth Avenue,Toronto Central,Non-Profit,Toronto, M1L1E3,No,Yes,Yes,Yes,23,7,4,10,1,1,6,3,3,4,1,1,14.8,24.1,11.2,2,5.9,0.9,,,,,203,Toronto,3520005,43.6936488,-79.27484865
BROADVIEW NURSING CENTRE,broadview nursing centre,210 Brockville Street,South East,For-Profit,Smiths Falls, K7A3Z4,No,Yes,No,No,32,19,11,13,7,5,11,8,5,3,1,1,12.9,27.4,22.9,1.7,0.4,0.3,,,,,75,Smiths Falls,3509004,44.88786035,-76.0208378
BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,brucelea haven long term care home - corporation of the county of bruce,41 McGivern Street West P.O. Box 1600,South West,Municipal,Walkerton, N0G2V0,No,Yes,No,No,79,28,17,33,6,2,22,6,2,14,11,9,16.9,32.2,17.4,7.4,3.6,9.5,,0,,Inactive,144,Brockton,3541032,44.12121858,-81.15427199
GATEWAY HAVEN LONG TERM CARE HOME,gateway haven long term care home,671 Frank Street P.O. Box 10,South West,Municipal,Wiarton, N0H2T0,No,Yes,Yes,No,19,10,5,5,2,1,7,2,2,6,5,3,16.2,24.9,15.9,5,11.4,3.4,,,,,100,South Bruce Peninsula,3541055,44.74034089,-81.12803284
ÉLISABETH-BRUYÈRE RESIDENCE,elisabeth-bruyere residence,75 Bruyere Street,Champlain,Non-Profit,Ottawa, K1N5C8,No,Yes,Yes,Yes,64,50,22,20,13,4,18,13,8,14,12,6,21.1,23.2,20.8,3.8,14.5,6,<5,15,8,Active,71,Ottawa,3506008,45.43220386,-75.69601434
RESIDENCE SAINT- LOUIS,residence saint-louis,879 Chemin Parc Hiawatha,Champlain,Non-Profit,Ottawa, K1C2Z6,Yes,Yes,Yes,Yes,114,72,28,40,26,12,40,22,10,31,22,4,17.4,24.5,26.1,4.8,6.6,6.1,13,9,8,Active,198,Ottawa,3506008,45.48316947,-75.54547069
MOUNT NEMO CHRISTIAN NURSING HOME,mount nemo christian nursing home,4486 Guelph Line,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Burlington, L7P0N2,No,Yes,Yes,Yes,19,11,6,3,1,1,3,2,2,4,3,1,18.8,17.1,20.1,4.1,1.6,7.6,,,,,61,Burlington,3524002,43.40257242,-79.87556992
ELGIN ABBEY NURSING HOME,elgin abbey nursing home,380 First Avenue North P.O. Box 7,South West,For-Profit,Chesley, N0G1L0,No,Yes,No,Yes,33,20,7,8,4,2,5,3,2,18,10,5,39.8,22.6,19.1,2.9,12.3,12.4,,,,,27,Arran-Elderslie,3541043,44.31058562,-81.09967099
CARESSANT CARE ARTHUR NURSING HOME,caressant care arthur nursing home,215 Eliza Street P.O. Box 700,Waterloo Wellington,For-Profit,Arthur, N0G1A0,No,Yes,Yes,Yes,66,29,10,31,12,3,23,10,4,12,8,5,21.3,27.3,15.3,4.6,3.1,1.4,,,,,80,Wellington North,3523050,43.83174956,-80.53012776
CAMBRIDGE COUNTRY MANOR,cambridge country manor,3680 Speedsville Road R R 31,Waterloo Wellington,For-Profit,Cambridge, N3H4R6,No,Yes,Yes,Yes,35,19,8,15,6,3,11,5,3,6,5,2,13.7,29.7,8.8,1.3,0,0,,,,,80,Cambridge,3530010,43.4552726,-80.3577529
CARESSANT CARE COBDEN,caressant care - cobden,12 Wren Drive P.O. Box 430,Champlain,For-Profit,Cobden, K0J1K0,No,Yes,No,Yes,22,10,4,4,2,1,12,4,3,2,1,0,7.5,31.5,14.5,2.4,1.7,9.1,,,,,64,Whitewater Region,3547056,45.62876664,-76.88767295
CARESSANT CARE COURTLAND,caressant care courtland,4850 Hwy #59 P.O. Box 279,South West,For-Profit,Courtland, N0J1E0,No,Yes,No,Yes,33,12,8,11,4,4,15,4,3,3,1,0,5.3,8.4,15.7,1.3,1.5,0,,0,,Inactive,55,Norfolk County,3528052,42.83110128,-80.63239781
CARESSANT CARE FERGUS NURSING HOME,caressant care fergus nursing home,450 Queen Street East,Waterloo Wellington,For-Profit,Fergus, N1M2Y7,No,Yes,Yes,Yes,69,46,27,26,12,7,16,11,6,26,22,13,17,16.1,14.7,4.2,7.3,0,,0,,Inactive,87,Centre Wellington,3523025,43.70904655,-80.3698587
CARESSANT CARE HARRISTON,caressant care - harriston,24 Louise Street P.O. Box 520,Waterloo Wellington,For-Profit,Harriston, N0G1Z0,No,Yes,Yes,Yes,28,11,5,7,1,1,13,5,3,2,1,0,15.1,25.5,14.7,4.6,10.2,0,,,,,92,Minto,3523043,43.91461596,-80.87806388
