index,name,address,city_and_postal_code,LHIN,licensee,management,home_type,beds,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,number_of_beds,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders
13,AU CHATEAU,100 Michaud Street,"Sturgeon Falls, P2B2Z4",North East,The Board Of Management Of The District Of Nipissing West,,Municipal,Home with approximately 162 beds,Yes,Yes,Yes,No,,Sturgeon Falls, P2B2Z4,162,47.0,28.0,13.0,18.0,9.0,4.0,14.0,7.0,4.0,14.0,12.0,6.0
14,AVALON RETIREMENT CENTRE,355 Broadway Avenue,"Orangeville, L9W3Y3",Central West,488491 Ontario Inc.,,For-Profit,Home with approximately 137 beds,Yes,Yes,Yes,Yes,,Orangeville, L9W3Y3,137,30.0,16.0,10.0,15.0,8.0,5.0,8.0,3.0,3.0,7.0,5.0,3.0
15,BABCOCK COMMUNITY CARE CENTRE,196 Wellington Street P. O. Box 190,"Wardsville, N0L2N0",South West,Babcock Community Care Centre Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Wardsville, N0L2N0,60,32.0,17.0,10.0,6.0,4.0,3.0,18.0,8.0,5.0,3.0,2.0,1.0
16,BANWELL GARDENS CARE CENTRE,3000 Banwell Road,"Tecumseh, N8N2M4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 142 beds,Yes,Yes,Yes,Yes,,Tecumseh, N8N2M4,142,74.0,36.0,16.0,34.0,23.0,11.0,31.0,8.0,3.0,3.0,3.0,
17,BARNSWALLOW PLACE CARE COMMUNITY,120 Barnswallow Drive,"Elmira, N3B2Y9",Waterloo Wellington,2063414 Ontario Limited As General Partner Of 2063414 Investment Lp,,For-Profit,Home with approximately 96 beds,No,Yes,No,Yes,,Elmira, N3B2Y9,96,17.0,9.0,3.0,3.0,1.0,1.0,9.0,3.0,2.0,1.0,1.0,
18,BAY HAVEN NURSING HOME,499 Hume Street,"Collingwood, L9Y4H8",North Simcoe Muskoka,Bay Haven Nursing Home Incorporated,,For-Profit,Home with approximately 60 beds,No,Yes,No,No,,Collingwood, L9Y4H8,60,14.0,10.0,6.0,4.0,3.0,2.0,4.0,4.0,4.0,,,
19,BAY RIDGES,900 Sandy Beach Road,"Pickering, L1W1Z4",Central East,Axr Operating (National) Lp,,For-Profit,Home with approximately 124 beds,No,Yes,Yes,Yes,,Pickering, L1W1Z4,124,53.0,26.0,12.0,27.0,12.0,7.0,18.0,7.0,3.0,5.0,5.0,
20,BAYFIELD MANOR,100 Elvira Street P.O. Bag 3000,"Kemptville, K0G1J0",Champlain,"Cvh (No. 7) Lp By Its General Partners, Southbridge Health Care Gp Inc. And Southbridge Care Homes (A Limited Partnership, By Its General Partner, Southbridge Care Homes Inc.)",,For-Profit,Home with approximately 66 beds,No,Yes,Yes,No,,Kemptville, K0G1J0,66,22.0,17.0,4.0,3.0,2.0,,7.0,7.0,3.0,5.0,4.0,
21,BAYWOODS PLACE,330 Main Street East,"Hamilton, L8N3T9",Hamilton Niagara Haldimand Brant (Hnhb),Baywoods Place Operating Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Hamilton, L8N3T9,128,47.0,18.0,12.0,23.0,9.0,7.0,14.0,5.0,5.0,7.0,1.0,
22,BELLA SENIOR CARE RESIDENCES INC.,8720 Willoughby Drive,"Niagara Falls, L2G7X3",Hamilton Niagara Haldimand Brant (Hnhb),Bella Senior Care Residences Inc.,Extendicare (Canada) Inc.,For-Profit,Home with approximately 161 beds,No,Yes,Yes,Yes,,Niagara Falls, L2G7X3,161,67.0,46.0,13.0,35.0,22.0,5.0,12.0,8.0,4.0,18.0,12.0,3.0
23,BELMONT HOUSE,55 Belmont Street,"Toronto, M5R1R1",Toronto Central,Toronto Aged Men's And Women's Homes,,Non-Profit,Home with approximately 140 beds,No,Yes,Yes,Yes,,Toronto, M5R1R1,140,13.0,8.0,6.0,2.0,,,4.0,3.0,3.0,2.0,2.0,2.0
24,BELMONT LONG TERM CARE FACILITY,250 Bridge Street West,"Belleville, K8P5N3",South East,Belcrest Nursing Homes Limited,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Belleville, K8P5N3,128,35.0,20.0,8.0,11.0,3.0,1.0,15.0,11.0,5.0,3.0,1.0,
25,BELVEDERE HEIGHTS,21 Belvedere Avenue,"Parry Sound, P2A2A2",North East,Board Of Management Of The District Of Parry Sound West,,Municipal,Home with approximately 101 beds,No,Yes,Yes,Yes,,Parry Sound, P2A2A2,101,40.0,23.0,13.0,15.0,6.0,4.0,10.0,7.0,5.0,17.0,11.0,4.0
26,BENDALE ACRES,2920 Lawrence Avenue East,"Scarborough, M1P2T8",Central East,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 302 beds,Yes,Yes,Yes,Yes,"pavillon omer deslauriers, 37 beds, long term care services provided in french and english. ",Scarborough, M1P2T8,302,35.0,17.0,10.0,16.0,7.0,5.0,12.0,5.0,4.0,6.0,4.0,2.0
27,BENNETT HEALTH CARE CENTRE,1 Princess Anne Drive,"Georgetown, L7G2B8",Mississauga Halton,Bennett Centre Long Term Care At Bennett Village,,Non-Profit,Home with approximately 66 beds,No,Yes,Yes,Yes,,Georgetown, L7G2B8,66,24.0,14.0,6.0,8.0,3.0,2.0,8.0,4.0,3.0,6.0,6.0,3.0
28,BERKSHIRE CARE CENTRE,350 Dougall Avenue,"Windsor, N9A4P4",Erie St. Clair,Rykka Care Centres Lp,,For-Profit,Home with approximately 231 beds,No,Yes,Yes,Yes,,Windsor, N9A4P4,231,172.0,72.0,25.0,94.0,34.0,9.0,59.0,26.0,12.0,12.0,8.0,4.0
29,BETHAMMI NURSING HOME,63 Carrie Street,"Thunder Bay, P7A4J2",North West,St. Joseph's Care Group,,Non-Profit,Home with approximately 110 beds,No,Yes,Yes,Yes,,Thunder Bay, P7A4J2,110,35.0,29.0,19.0,7.0,5.0,3.0,10.0,7.0,5.0,16.0,15.0,10.0
30,BETHANY LODGE,23 Second Street,"Markham, L3R2C2",Central,Bethany Lodge,,Non-Profit,Home with approximately 128 beds,No,Yes,Yes,No,,Markham, L3R2C2,128,17.0,13.0,5.0,2.0,1.0,1.0,5.0,5.0,2.0,3.0,3.0,
31,BILLINGS COURT MANOR,3700 Billings Court,"Burlington, L7N3N6",Hamilton Niagara Haldimand Brant (Hnhb),Maryban Holdings Ltd.,,For-Profit,Home with approximately 160 beds,No,Yes,Yes,Yes,,Burlington, L7N3N6,160,24.0,16.0,8.0,8.0,5.0,4.0,4.0,3.0,2.0,7.0,6.0,3.0
32,BIRCHWOOD TERRACE,237 Lakeview Drive R. R. #1,"Kenora, P9N4J7",North West,Southbridge Capital,Extendicare Assist,For-Profit,Home with approximately 96 beds,Yes,Yes,Yes,Yes,,Kenora, P9N4J7,96,53.0,31.0,14.0,19.0,10.0,5.0,19.0,9.0,5.0,20.0,17.0,6.0
33,BLACKADAR CONTINUING CARE CENTRE,101 Creighton Road,"Dundas, L9H3B7",Hamilton Niagara Haldimand Brant (Hnhb),Blackadar Continuing Care Centre Inc.,,For-Profit,Home with approximately 80 beds,No,Yes,No,No,,Dundas, L9H3B7,80,31.0,19.0,9.0,10.0,3.0,1.0,4.0,3.0,2.0,11.0,9.0,6.0
34,BLENHEIM COMMUNITY VILLAGE,10 Mary Avenue,"Blenheim, N0P1A0",Erie St. Clair,Revera Long Term Care Inc.,,For-Profit,Home with approximately 65 beds,No,Yes,Yes,Yes,,Blenheim, N0P1A0,65,33.0,11.0,5.0,7.0,3.0,1.0,15.0,4.0,3.0,4.0,,
35,BLOOMINGTON COVE CARE COMMUNITY,13621 Ninth  Line RR #2,"Stouffville, L4A7X3",Central,Specialty Care Inc.,,For-Profit,Home with approximately 112 beds,Yes,Yes,Yes,Yes,,Stouffville, L4A7X3,112,39.0,18.0,11.0,18.0,9.0,6.0,13.0,4.0,3.0,6.0,3.0,1.0
36,BLUE WATER REST HOME,37792 Zurich-Hensall RD,"Zurich, N0M2T0",South West,Blue Water Rest Home,,Non-Profit,Home with approximately 65 beds,No,Yes,No,No,,Zurich, N0M2T0,65,21.0,13.0,4.0,6.0,3.0,,8.0,5.0,3.0,1.0,1.0,
37,BOB RUMBALL HOME FOR THE DEAF,1 Royal Parkside Drive,"Barrie, L4M0C4",North Simcoe Muskoka,The Ontario Mission Of The Deaf,,Non-Profit,Home with approximately 64 beds,No,Yes,Yes,No,,Barrie, L4M0C4,64,35.0,17.0,7.0,12.0,5.0,,8.0,5.0,3.0,15.0,9.0,3.0
38,BOBIER VILLA,1 Bobier Lane,"Dutton, N0L1J0",South West,The Corporation Of The County Of Elgin Municipal Homes,,Municipal,Home with approximately 57 beds,Yes,Yes,Yes,No,,Dutton, N0L1J0,57,19.0,8.0,2.0,4.0,3.0,1.0,10.0,1.0,,,,
39,BON AIR LONG TERM CARE RESIDENCE,131 Laidlaw Street South,"Cannington, L0E1E0",Central East,"Dtoc Ii Long Term Care Lp, By Its General Partner, Dtoc Ii Long Term Care Mgp (A General Partnership) By Its Partners, Dtoc Ii Long Term Care Gp Inc. And Arch Venture Holdings Inc.",Responsive Health Management Inc.,For-Profit,Home with approximately 57 beds,Yes,Yes,Yes,Yes,,Cannington, L0E1E0,57,21.0,11.0,5.0,7.0,2.0,2.0,7.0,5.0,3.0,2.0,,
40,BONNECHERE MANOR,470 Albert Street,"Renfrew, K7V4L5",Champlain,County Of Renfrew,,Municipal,Home with approximately 180 beds,Yes,Yes,Yes,Yes,,Renfrew, K7V4L5,180,43.0,18.0,11.0,14.0,5.0,4.0,21.0,8.0,5.0,3.0,1.0,1.0
42,BRADFORD VALLEY CARE COMMUNITY,2656 6th Line,"Bradford, L3Z3H5",Central,Specialty Care - Bradford Inc.,,For-Profit,Home with approximately 246 beds,No,Yes,Yes,Yes,,Bradford, L3Z3H5,246,40.0,19.0,8.0,20.0,8.0,3.0,14.0,7.0,4.0,10.0,7.0,2.0
43,BRAEMAR RETIREMENT CENTRE,"719 Josephine Street North,  R.R. #1 P.O. Box 1060","Wingham, N0G2W0",South West,Macgowan Nursing Homes Ltd.,,For-Profit,Home with approximately 69 beds,No,Yes,No,Yes,,Wingham, N0G2W0,69,39.0,14.0,6.0,18.0,7.0,2.0,10.0,3.0,3.0,13.0,6.0,1.0
44,BRIERWOOD GARDENS,425 Park Road North,"Brantford, N3R7G5",Hamilton Niagara Haldimand Brant (Hnhb),Revera Long Term Care Inc.,,For-Profit,Home with approximately 79 beds,No,Yes,Yes,Yes,,Brantford, N3R7G5,79,55.0,15.0,9.0,20.0,3.0,1.0,13.0,5.0,4.0,26.0,7.0,4.0
45,BROADVIEW NURSING CENTRE,210 Brockville Street,"Smiths Falls, K7A3Z4",South East,Broadview Nursing Centre Limited,,For-Profit,Home with approximately 75 beds,No,Yes,No,No,,Smiths Falls, K7A3Z4,75,32.0,19.0,11.0,13.0,7.0,5.0,11.0,8.0,5.0,3.0,1.0,1.0
46,BROUILLETTE MANOR,11900 Brouillette Court,"Tecumseh, N8N4X8",Erie St. Clair,1230839 Ontario Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Tecumseh, N8N4X8,60,33.0,13.0,4.0,7.0,1.0,,15.0,7.0,3.0,3.0,,
47,BRUCELEA HAVEN LONG TERM CARE HOME - CORPORATION OF THE COUNTY OF BRUCE,41 McGivern Street West P.O. Box 1600,"Walkerton, N0G2V0",South West,Corporation Of The County Of Bruce,,Municipal,Home with approximately 144 beds,No,Yes,No,No,,Walkerton, N0G2V0,144,79.0,28.0,17.0,33.0,6.0,2.0,22.0,6.0,2.0,14.0,11.0,9.0
48,BURLOAK,5959 New Street,"Burlington, L7L6W5",Hamilton Niagara Haldimand Brant (Hnhb),Axr Operating (National) Lp,,For-Profit,Home with approximately 144 beds,No,Yes,Yes,Yes,,Burlington, L7L6W5,144,22.0,9.0,6.0,11.0,3.0,3.0,6.0,3.0,3.0,,,
49,BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,"Campbellford, K0L1L0",Central East,0760444 B.C. Ltd. As General Partner On Behalf Of Omni Health Care Limited Partnership,,For-Profit,Home with approximately 43 beds,No,Yes,Yes,Yes,,Campbellford, K0L1L0,43,28.0,16.0,5.0,7.0,6.0,4.0,7.0,4.0,1.0,6.0,1.0,
50,BURTON MANOR,5 Sterritt Drive,"Brampton, L6Y5P3",Central West,1245556 Ontario Inc.,Primacare Living Solutions Inc.,For-Profit,Home with approximately 128 beds,No,Yes,Yes,Yes,,Brampton, L6Y5P3,128,27.0,9.0,6.0,11.0,2.0,1.0,8.0,3.0,3.0,6.0,3.0,2.0
51,CAMA WOODLANDS NURSING HOME,159 Panin Road,"Burlington, L7P5A6",Hamilton Niagara Haldimand Brant (Hnhb),The Central Canadian District Of The Christian And Missionary Alliance In Canada,,Non-Profit,Home with approximately 134 beds,No,Yes,Yes,No,,Burlington, L7P5A6,134,16.0,10.0,2.0,1.0,1.0,,4.0,3.0,1.0,5.0,4.0,1.0
52,CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,"Cambridge, N3H4R6",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Cambridge, N3H4R6,80,35.0,19.0,8.0,15.0,6.0,3.0,11.0,5.0,3.0,6.0,5.0,2.0
54,CAMILLA CARE COMMUNITY,2250 Hurontario Street,"Mississauga, L5B1M8",Mississauga Halton,Vigour Limited Partnership On Behalf Of Vigour General Partner Inc.,,For-Profit,Home with approximately 237 beds,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,237,54.0,26.0,12.0,25.0,11.0,5.0,16.0,5.0,2.0,9.0,7.0,4.0
55,CAREFREE LODGE,306 Finch Avenue East,"North York, M2N4S5",Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 127 beds,No,Yes,Yes,Yes,,North York, M2N4S5,127,19.0,13.0,8.0,8.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0
56,CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,"Arthur, N0G1A0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 80 beds,No,Yes,Yes,Yes,,Arthur, N0G1A0,80,66.0,29.0,10.0,31.0,12.0,3.0,23.0,10.0,4.0,12.0,8.0,5.0
57,CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,"Bourget, K0A1E0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Bourget, K0A1E0,60,116.0,56.0,24.0,52.0,26.0,14.0,30.0,12.0,8.0,22.0,6.0,
58,CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,"Cobden, K0J1K0",Champlain,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 64 beds,No,Yes,No,Yes,,Cobden, K0J1K0,64,22.0,10.0,4.0,4.0,2.0,1.0,12.0,4.0,3.0,2.0,1.0,
59,CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,"Courtland, N0J1E0",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 55 beds,No,Yes,No,Yes,,Courtland, N0J1E0,55,33.0,12.0,8.0,11.0,4.0,4.0,15.0,4.0,3.0,3.0,1.0,
60,CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,"Fergus, N1M2Y7",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 87 beds,No,Yes,Yes,Yes,,Fergus, N1M2Y7,87,69.0,46.0,27.0,26.0,12.0,7.0,16.0,11.0,6.0,26.0,22.0,13.0
61,CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,"Harriston, N0G1Z0",Waterloo Wellington,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 92 beds,No,Yes,Yes,Yes,,Harriston, N0G1Z0,92,28.0,11.0,5.0,7.0,1.0,1.0,13.0,5.0,3.0,2.0,1.0,
62,CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,"Lindsay, K9V5K5",Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 124 beds,No,Yes,No,Yes,,Lindsay, K9V5K5,124,49.0,25.0,12.0,22.0,8.0,4.0,16.0,10.0,5.0,6.0,4.0,3.0
63,CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,"Listowel, N4W2L1",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 52 beds,Yes,Yes,No,Yes,,Listowel, N4W2L1,52,28.0,13.0,4.0,11.0,3.0,,6.0,3.0,2.0,5.0,4.0,1.0
64,CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,"Marmora, K0K2M0",South East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 84 beds,No,Yes,Yes,Yes,,Marmora, K0K2M0,84,48.0,28.0,16.0,18.0,9.0,6.0,15.0,11.0,8.0,6.0,3.0,1.0
65,CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,"St Thomas, N5R5T8",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 116 beds,No,Yes,No,Yes,,St Thomas, N5R5T8,116,87.0,34.0,15.0,32.0,16.0,4.0,43.0,11.0,8.0,12.0,9.0,6.0
66,CARESSANT CARE ON MARY BUCKE,4 Mary Bucke Street,"St. Thomas, N5R5J6",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 60 beds,No,Yes,No,Yes,,St. Thomas, N5R5J6,60,36.0,13.0,7.0,13.0,,,13.0,5.0,4.0,8.0,7.0,2.0
67,CARESSANT CARE ON MCLAUGHLIN ROAD,114 McLaughlin Road,"Lindsay, K9V6L1",Central East,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Lindsay, K9V6L1,96,38.0,18.0,5.0,13.0,8.0,3.0,13.0,4.0,1.0,8.0,4.0,
68,CARESSANT CARE WOODSTOCK NURSING HOME,81 Fyfe Avenue,"Woodstock, N4S8Y2",South West,Caressant-care Nursing And Retirement Homes Limited,,For-Profit,Home with approximately 163 beds,Yes,Yes,Yes,Yes,,Woodstock, N4S8Y2,163,95.0,51.0,21.0,41.0,16.0,6.0,30.0,15.0,6.0,29.0,27.0,12.0
69,CARLETON LODGE,55 Lodge Road R. R. #2,"Nepean, K2C3H1",Champlain,City Of Ottawa,,Municipal,Home with approximately 161 beds,No,Yes,Yes,Yes,,Nepean, K2C3H1,161,29.0,23.0,10.0,6.0,4.0,2.0,16.0,14.0,6.0,2.0,1.0,
70,CARLINGVIEW MANOR,2330 Carling Avenue,"Ottawa, K2B7H1",Champlain,Carlingview Manor Operating Inc.,,For-Profit,Home with approximately 303 beds,No,Yes,Yes,Yes,,Ottawa, K2B7H1,303,106.0,58.0,32.0,51.0,29.0,15.0,40.0,19.0,11.0,14.0,7.0,6.0
71,CARVETH CARE CENTRE,375 James Street,"Gananoque, K7G2Z1",South East,Carveth Nursing Home Limited,,For-Profit,Home with approximately 104 beds,No,Yes,Yes,Yes,,Gananoque, K7G2Z1,104,30.0,20.0,7.0,12.0,6.0,2.0,7.0,6.0,4.0,4.0,3.0,
72,CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,"Bobcaygeon, K0M1A0",Central East,Specialty Care Case Manor Inc.,,For-Profit,Home with approximately 96 beds,No,Yes,Yes,Yes,,Bobcaygeon, K0M1A0,96,24.0,17.0,9.0,7.0,4.0,1.0,11.0,8.0,6.0,2.0,2.0,1.0
73,CASSELLHOLME,400 Olive Street,"North Bay, P1B6J4",North East,Board Of Management Of The District Of Nipissing East,,Municipal,Home with approximately 240 beds,Yes,Yes,Yes,Yes,,North Bay, P1B6J4,240,47.0,25.0,16.0,19.0,8.0,6.0,17.0,8.0,7.0,9.0,7.0,2.0
74,CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,"Toronto, M6G3C3",Toronto Central,Toronto Long-term Care Homes And Services,,Municipal,Home with approximately 456 beds,Yes,Yes,Yes,Yes,,Toronto, M6G3C3,456,78.0,27.0,12.0,36.0,12.0,5.0,20.0,8.0,5.0,21.0,6.0,1.0
75,CAWTHRA GARDENS,590 Lolita Gardens,"Mississauga, L5A4N8",Mississauga Halton,Delcare Ltc Inc.,Chartwell Seniors Housing Reit,For-Profit,Home with approximately 192 beds,No,Yes,Yes,Yes,,Mississauga, L5A4N8,192,27.0,17.0,7.0,11.0,6.0,2.0,10.0,6.0,4.0,5.0,5.0,1.0
76,CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY,121 Morton Avenue,"Keswick, L4P2M5",Central,Specialty Care Inc.,,For-Profit,Home with approximately 60 beds,No,Yes,Yes,Yes,,Keswick, L4P2M5,60,19.0,14.0,10.0,5.0,3.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0
77,CEDARVALE TERRACE,429 Walmer Road,"Toronto, M5P2X9",Toronto Central,Cedarvale Terrace Ltc Inc. As General Partner Of Cedarvale Terrace Ltc Limited Partnership,,For-Profit,Home with approximately 218 beds,Yes,Yes,Yes,Yes,,Toronto, M5P2X9,218,65.0,25.0,16.0,40.0,14.0,10.0,11.0,6.0,5.0,16.0,7.0,6.0
78,CEDARWOOD LODGE,860 Great Northern Road,"Sault Ste. Marie, P6A5K7",North East,Autumnwood Mature Lifestyle Communities Inc.,Universalcare Canada Inc.,For-Profit,Home with approximately 50 beds,No,Yes,Yes,No,,Sault Ste. Marie, P6A5K7,50,37.0,37.0,5.0,9.0,9.0,2.0,8.0,8.0,1.0,14.0,14.0,
79,CEDARWOOD VILLAGE,500 Queensway West,"Simcoe, N3Y4R4",Hamilton Niagara Haldimand Brant (Hnhb),Maplewood Nursing Home Limited,,For-Profit,Home with approximately 91 beds,Yes,Yes,Yes,Yes,,Simcoe, N3Y4R4,91,34.0,25.0,13.0,13.0,7.0,4.0,6.0,6.0,3.0,14.0,12.0,6.0
80,CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,"Millbrook, L0A1G0",Central East,Centennial Place Millbrook Inc.,,For-Profit,Home with approximately 128 beds,No,Yes,No,Yes,,Millbrook, L0A1G0,128,29.0,19.0,7.0,8.0,4.0,2.0,12.0,8.0,3.0,4.0,3.0,1.0
81,CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,"Vanier, K1L5C6",Champlain,City Of Ottawa,,Municipal,Home with approximately 160 beds,No,Yes,Yes,Yes,,Vanier, K1L5C6,160,122.0,86.0,44.0,32.0,18.0,4.0,62.0,40.0,26.0,22.0,22.0,12.0
82,CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,"Clarence Creek, K0A1N0",Champlain,Centre D'accueil Roger Seguin,,Non-Profit,Home with approximately 110 beds,Yes,Yes,Yes,No,,Clarence Creek, K0A1N0,110,51.0,30.0,20.0,8.0,2.0,,19.0,14.0,14.0,16.0,8.0,4.0
