,LTC Home,City,Beds,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status
151,The O'Neill Centre,Toronto,162,<5,0,<5,Active
152,The Perley and Rideau Veterans' Health Centre,Ottawa,450,9,8,16,Active
153,The Village at St. Clair,Windsor,256,0,0,<5,Active
154,The Village at University Gates,Waterloo,192,0,0,<5,Active
155,The Village of Erin Meadows,Mississauga,180,43,9,21,Active
156,The Village of Humber Heights,Etobicoke,192,20,6,9,Active
157,The Village of Riverside Glen,Guelph,192,0,0,<5,Active
158,The Village of Wentworth Heights,Hamilton,120,0,0,<5,Active
159,The Village of Winston Park,Kitchener,95,<5,0,0,Active
160,Tony Stacey Centre for Veterans' Care,Toronto,100,<5,0,0,Active
161,Trinity Village Care Centre,Kitchener,150,29,14,38,Active
162,Twin Oaks of Maryhill,Maryhill,31,0,0,<5,Active
163,Ukrainian Canadian Care Centre,Etobicoke,152,25,<5,<5,Active
164,Union Villa,Unionville,160,0,0,<5,Active
165,Valleyview Residence,North York,174,<5,<5,<5,Active
166,Vermont Square,Toronto,130,<5,0,<5,Active
167,Villa Colombo Homes for the Aged,Toronto,391,9,<5,11,Active
168,Villa Colombo Seniors Centre (Vaughan),Vaughan,160,24,11,16,Active
169,Villa Forum,Mississauga,160,37,10,20,Active
170,Villa Leonardo Gambin,Woodbridge,168,31,11,23,Active
171,Vision Nursing Home,Sarnia,146,5,<5,<5,Active
172,Wellesley Central Place,Toronto,150,43,16,21,Active
173,Wentworth Lodge,Dundas,160,0,0,0,Active
174,Wesburn Manor,Etobicoke,192,<5,0,0,Active
175,West Park Long Term Care Centre,Toronto,200,57,20,31,Active
176,Weston Terrace Care Community,Toronto,224,42,13,29,Active
177,Wikwemikong Nursing Home,Wikwemikong,59,<5,0,0,Active
178,Woodbridge Vista Care Community,Woodbridge,224,<5,0,<5,Active
179,Woodland Villa,Long Sault,111,<5,0,0,Active
0,"Albright Gardens Homes, Incorporated",Beamsville,231,,0,,Inactive
1,Allendale,Milton,200,,0,,Inactive
2,Bay Ridges,Pickering,124,,0,,Inactive
3,Belmont House,Toronto,140,,0,,Inactive
4,Belmont Long Term Care Facility,Belleville,128,,0,,Inactive
5,Caressant Care Fergus Nursing Home,Fergus,87,,0,,Inactive
6,Caressant Care on Bonnie Place,St Thomas,116,,0,,Inactive
7,Case Manor Care Community,Bobcaygeon,96,,0,,Inactive
8,Centre d'Accueil Roger Seguin,Clarence Creek,113,,0,,Inactive
9,Chartwell Elmira Long Term Care Residence,Elmira,48,,0,,Inactive
10,Chelsey Park,London,247,,0,,Inactive
11,Clarion Nursing Home,Stoney Creek,100,,0,,Inactive
12,Dom Lipa,Etobicoke,66,,0,,Inactive
13,Douglas H. Rapelje Lodge,Welland,120,,0,,Inactive
14,Ehatare Nursing Home,Scarborough,32,,0,,Inactive
15,Extendicare Lakefield,Lakefield,100,,0,,Inactive
16,Extendicare Rouge Valley,Toronto,192,,0,,Inactive
17,Extendicare Starwood,Nepean,192,,0,,Inactive
18,Extendicare York,Sudbury,288,,0,,Inactive
19,Garry J. Armstrong Home,Ottawa,180,,0,,Inactive
20,Greenwood Court,Stratford,45,,<5,,Inactive
21,Hallowell House,Picton,97,,0,,Inactive
22,Hampton Terrace Care Centre,Burlington,101,,0,,Inactive
23,Hillsdale Terraces,Oshawa,200,,13,,Inactive
24,Hillside Manor,Stratford,90,,0,,Inactive
25,IOOF Seniors Home,Barrie,182,,0,,Inactive
26,Labdara Lithuanian Nursing Home,Etobicoke,90,,0,,Inactive
27,Lakeview Manor,Beaverton,149,,0,,Inactive
28,Lambton Meadowview Villa,Petrolia,125,,0,,Inactive
29,Macassa Lodge,Hamilton,270,,0,,Inactive
30,Maple View,Owen Sound,29,,0,,Inactive
31,McCall Centre Long Term Care Interim Unit,Etobicoke,21,,0,,Inactive
32,Miramichi Lodge,Pembroke,166,,0,,Inactive
33,Moira Place Long-Term Care Home,Tweed,128,,0,,Inactive
34,Mount Hope Centre for Long Term Care,London,394,,0,,Inactive
35,Northridge,Oakville,133,,0,,Inactive
36,Norview Lodge,Simcoe,179,,0,,Inactive
37,Pinehaven Nursing Home,Waterloo,84,,0,,Inactive
38,Providence Healthcare,Scarborough,288,,<5,,Inactive
39,Providence Manor,Kingston,243,,0,,Inactive
40,Riverview Manor Nursing Home,Peterborough,124,,0,,Inactive
41,Rosebridge Manor,Jasper,78,,0,,Inactive
42,Royal Terrace,Palmerston,67,,0,,Inactive
43,Saint Luke's Place,Cambridge,114,,0,,Inactive
44,Shalom Manor Long Term Care Home,Grimsby,144,,0,,Inactive
45,Shepherd Lodge,Toronto,252,,0,,Inactive
46,Spencer House,Orillia,160,,0,,Inactive
47,Sprucedale Care Centre,Strathroy,96,,0,,Inactive
48,St. Andrew's Terrace Long Term Care Community,Cambridge,128,,0,,Inactive
49,St. Joseph's Lifecare Centre,Brantford,205,,0,,Inactive
50,"St. Joseph's Villa, Dundas",Dundas,425,,0,,Inactive
51,"St. Joseph's Villa, Sudbury",Sudbury,128,,<5,,Inactive
52,Stirling Heights,Cambridge,110,,0,,Inactive
53,Sumac Lodge,Sarnia,100,,0,,Inactive
54,Tendercare Living Centre,Scarborough,254,,<5,,Inactive
55,The Wexford,Scarborough,166,,0,,Inactive
56,The Woodlands of Sunset,Welland,121,,0,,Inactive
57,Villa Marconi,Ottawa,128,,0,,Inactive
58,Wellington Terrace Long-Term Care Home,Fergus,176,,0,,Inactive
59,Westside,Etobicoke,242,,<5,,Inactive
60,Winbourne Park,Ajax,110,,0,,Inactive
61,Woods Park Care Centre,Barrie,123,,0,,Inactive
62,Yee Hong Centre - Markham,Markham,200,,0,,Inactive
63,Yee Hong Centre - Scarborough McNicoll,Scarborough,155,,0,,Inactive
