name,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,additional_info,city,postal_code,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,CSDname,CSDuid,latitude,longitude
BURLOAK,5959 New Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,,Burlington, L7L6W5,22.0,9.0,6.0,11.0,3.0,3.0,6.0,3.0,3.0,,,,burloak,,,,,144.0,Burlington,3524002.0,43.38147032,-79.73937757
BURNBRAE GARDENS LONG TERM CARE RESIDENCE,320 Burnbrae Road East P.O. Box 1090,Central East,For-Profit,No,Yes,Yes,Yes,,Campbellford, K0L1L0,28.0,16.0,5.0,7.0,6.0,4.0,7.0,4.0,1.0,6.0,1.0,,burnbrae gardens long term care residence,,,,,43.0,Trent Hills,3514045.0,44.28480207,-77.84842135
BURTON MANOR,5 Sterritt Drive,Central West,For-Profit,No,Yes,Yes,Yes,,Brampton, L6Y5P3,27.0,9.0,6.0,11.0,2.0,1.0,8.0,3.0,3.0,6.0,3.0,2.0,burton manor,0,11,<5,Active,128.0,Brampton,3521010.0,43.66143557,-79.77341911
CAMA WOODLANDS NURSING HOME,159 Panin Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,,Burlington, L7P5A6,16.0,10.0,2.0,1.0,1.0,,4.0,3.0,1.0,5.0,4.0,1.0,cama woodlands nursing home,,,,,134.0,Burlington,3524002.0,43.3099325,-79.86719201
CAMBRIDGE COUNTRY MANOR,3680 Speedsville Road R R 31,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Cambridge, N3H4R6,35.0,19.0,8.0,15.0,6.0,3.0,11.0,5.0,3.0,6.0,5.0,2.0,cambridge country manor,,,,,80.0,Cambridge,3530010.0,43.4552726,-80.35775290000002
CAMILLA CARE COMMUNITY,2250 Hurontario Street,Mississauga Halton,For-Profit,Yes,Yes,Yes,Yes,,Mississauga, L5B1M8,54.0,26.0,12.0,25.0,11.0,5.0,16.0,5.0,2.0,9.0,7.0,4.0,camilla care community,51,61,31,Active,236.0,Mississauga,3521005.0,43.57311436,-79.60700205
CAREFREE LODGE,306 Finch Avenue East,Central,Municipal,No,Yes,Yes,Yes,,North York, M2N4S5,19.0,13.0,8.0,8.0,4.0,3.0,2.0,2.0,2.0,5.0,3.0,2.0,carefree lodge,,0,,Inactive,127.0,Toronto,3520005.0,43.78501831,-79.3941154
CARESSANT CARE ARTHUR NURSING HOME,215 Eliza Street P.O. Box 700,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Arthur, N0G1A0,66.0,29.0,10.0,31.0,12.0,3.0,23.0,10.0,4.0,12.0,8.0,5.0,caressant care arthur nursing home,,,,,80.0,Wellington North,3523050.0,43.83174956,-80.53012776
CARESSANT CARE BOURGET,2279 Laval Street P.O. Box 99,Champlain,For-Profit,No,Yes,Yes,Yes,,Bourget, K0A1E0,116.0,56.0,24.0,52.0,26.0,14.0,30.0,12.0,8.0,22.0,6.0,,caressant care bourget,,,,,60.0,Clarence-Rockland,3502036.0,45.43608988,-75.15507656
CARESSANT CARE COBDEN,12 Wren Drive P.O. Box 430,Champlain,For-Profit,No,Yes,No,Yes,,Cobden, K0J1K0,22.0,10.0,4.0,4.0,2.0,1.0,12.0,4.0,3.0,2.0,1.0,,caressant care - cobden,,,,,64.0,Whitewater Region,3547056.0,45.62876664,-76.88767295
CARESSANT CARE COURTLAND,4850 Hwy #59 P.O. Box 279,South West,For-Profit,No,Yes,No,Yes,,Courtland, N0J1E0,33.0,12.0,8.0,11.0,4.0,4.0,15.0,4.0,3.0,3.0,1.0,,caressant care courtland,,0,,Inactive,55.0,Norfolk County,3528052.0,42.83110128,-80.63239781
CARESSANT CARE FERGUS NURSING HOME,450 Queen Street East,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Fergus, N1M2Y7,69.0,46.0,27.0,26.0,12.0,7.0,16.0,11.0,6.0,26.0,22.0,13.0,caressant care fergus nursing home,,0,,Inactive,87.0,Centre Wellington,3523025.0,43.70904655,-80.36985870000002
CARESSANT CARE HARRISTON,24 Louise Street P.O. Box 520,Waterloo Wellington,For-Profit,No,Yes,Yes,Yes,,Harriston, N0G1Z0,28.0,11.0,5.0,7.0,1.0,1.0,13.0,5.0,3.0,2.0,1.0,,caressant care - harriston,,,,,92.0,Minto,3523043.0,43.91461596,-80.87806388
CARESSANT CARE LINDSAY NURSING HOME,240 Mary Street West,Central East,For-Profit,No,Yes,No,Yes,,Lindsay, K9V5K5,49.0,25.0,12.0,22.0,8.0,4.0,16.0,10.0,5.0,6.0,4.0,3.0,caressant care lindsay nursing home,,0,,Inactive,124.0,Kawartha Lakes,3516010.0,44.34327843,-78.75034644
CARESSANT CARE LISTOWEL NURSING HOME,710 Reserve Avenue South,South West,For-Profit,Yes,Yes,No,Yes,,Listowel, N4W2L1,28.0,13.0,4.0,11.0,3.0,,6.0,3.0,2.0,5.0,4.0,1.0,caressant care listowel nursing home,,,,,52.0,North Perth,3531040.0,43.72273922,-80.95335159
CARESSANT CARE MARMORA,58 Bursthall Street P.O. Box 429,South East,For-Profit,No,Yes,Yes,Yes,,Marmora, K0K2M0,48.0,28.0,16.0,18.0,9.0,6.0,15.0,11.0,8.0,6.0,3.0,1.0,caressant care marmora,,,,,84.0,Marmora and Lake,3512046.0,44.48072361,-77.67733231
CARESSANT CARE ON BONNIE PLACE,15 Bonnie Place,South West,For-Profit,No,Yes,No,Yes,,St Thomas, N5R5T8,87.0,34.0,15.0,32.0,16.0,4.0,43.0,11.0,8.0,12.0,9.0,6.0,caressant care on bonnie place,,0,,Inactive,116.0,St. Thomas,3534021.0,42.77305945,-81.16165267
CARESSANT CARE ON MARY BUCKE,4 Mary Bucke Street,South West,For-Profit,No,Yes,No,Yes,,St. Thomas, N5R5J6,36.0,13.0,7.0,13.0,,,13.0,5.0,4.0,8.0,7.0,2.0,caressant care on mary bucke,,,,,60.0,St. Thomas,3534021.0,42.76681534,-81.16897487
CARESSANT CARE ON MCLAUGHLIN ROAD,114 McLaughlin Road,Central East,For-Profit,No,Yes,Yes,Yes,,Lindsay, K9V6L1,38.0,18.0,5.0,13.0,8.0,3.0,13.0,4.0,1.0,8.0,4.0,,caressant care on mclaughlin road,,,,,96.0,Kawartha Lakes,3516010.0,44.344764700000006,-78.7610205
CARESSANT CARE WOODSTOCK NURSING HOME,81 Fyfe Avenue,South West,For-Profit,Yes,Yes,Yes,Yes,,Woodstock, N4S8Y2,95.0,51.0,21.0,41.0,16.0,6.0,30.0,15.0,6.0,29.0,27.0,12.0,caressant care woodstock nursing home,,,,,163.0,Woodstock,3532042.0,43.12334673,-80.74298547
CARLETON LODGE,55 Lodge Road R. R. #2,Champlain,Municipal,No,Yes,Yes,Yes,,Nepean, K2C3H1,29.0,23.0,10.0,6.0,4.0,2.0,16.0,14.0,6.0,2.0,1.0,,carleton lodge,,,,,161.0,Ottawa,3506008.0,45.26559733,-75.70705903
CARLINGVIEW MANOR,2330 Carling Avenue,Champlain,For-Profit,No,Yes,Yes,Yes,,Ottawa, K2B7H1,106.0,58.0,32.0,51.0,29.0,15.0,40.0,19.0,11.0,14.0,7.0,6.0,carlingview manor,39,54,87,Active,303.0,Ottawa,3506008.0,45.36711344,-75.77672586
CARVETH CARE CENTRE,375 James Street,South East,For-Profit,No,Yes,Yes,Yes,,Gananoque, K7G2Z1,30.0,20.0,7.0,12.0,6.0,2.0,7.0,6.0,4.0,4.0,3.0,,carveth care centre,,,,,104.0,Gananoque,3507024.0,44.33633895,-76.1592067
CASE MANOR CARE COMMUNITY,28 Boyd Street P.O. Box 670,Central East,For-Profit,No,Yes,Yes,Yes,,Bobcaygeon, K0M1A0,24.0,17.0,9.0,7.0,4.0,1.0,11.0,8.0,6.0,2.0,2.0,1.0,case manor care community,,0,,Inactive,96.0,Kawartha Lakes,3516010.0,44.54008478,-78.54103519
CASSELLHOLME,400 Olive Street,North East,Municipal,Yes,Yes,Yes,Yes,,North Bay, P1B6J4,47.0,25.0,16.0,19.0,8.0,6.0,17.0,8.0,7.0,9.0,7.0,2.0,cassellholme,,0,,Inactive,240.0,North Bay,3548044.0,46.31926603,-79.44608166
CASTLEVIEW WYCHWOOD TOWERS,351 Christie Street,Toronto Central,Municipal,Yes,Yes,Yes,Yes,,Toronto, M6G3C3,78.0,27.0,12.0,36.0,12.0,5.0,20.0,8.0,5.0,21.0,6.0,1.0,castleview wychwood towers,<5,0,<5,Active,456.0,Toronto,3520005.0,43.67317759,-79.42178559999998
CAWTHRA GARDENS,590 Lolita Gardens,Mississauga Halton,For-Profit,No,Yes,Yes,Yes,,Mississauga, L5A4N8,27.0,17.0,7.0,11.0,6.0,2.0,10.0,6.0,4.0,5.0,5.0,1.0,cawthra gardens,,0,,Inactive,192.0,Mississauga,3521005.0,43.59302306,-79.60362445
CEDARVALE LODGE RETIREMENT AND CARE COMMUNITY,121 Morton Avenue,Central,For-Profit,No,Yes,Yes,Yes,,Keswick, L4P2M5,19.0,14.0,10.0,5.0,3.0,3.0,6.0,5.0,4.0,3.0,3.0,2.0,cedarvale lodge retirement and care community,,,,,60.0,Georgina,3519070.0,44.232338,-79.456847
CEDARVALE TERRACE,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,,Toronto, M5P2X9,65.0,25.0,16.0,40.0,14.0,10.0,11.0,6.0,5.0,16.0,7.0,6.0,cedarvale terrace,,0,,Inactive,218.0,Toronto,3520005.0,43.68545859,-79.41242340000002
CEDARWOOD LODGE,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,,Sault Ste. Marie, P6A5K7,37.0,37.0,5.0,9.0,9.0,2.0,8.0,8.0,1.0,14.0,14.0,,cedarwood lodge,,,,,50.0,Sault Ste. Marie,3557061.0,46.55200831,-84.31955276
CEDARWOOD VILLAGE,500 Queensway West,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,Yes,Yes,Yes,,Simcoe, N3Y4R4,34.0,25.0,13.0,13.0,7.0,4.0,6.0,6.0,3.0,14.0,12.0,6.0,cedarwood village,0,0,<5,Active,90.0,Norfolk County,3528052.0,42.8408326,-80.32971141
CENTENNIAL PLACE LONG-TERM CARE HOME,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,,Millbrook, L0A1G0,29.0,19.0,7.0,8.0,4.0,2.0,12.0,8.0,3.0,4.0,3.0,1.0,centennial place long-term care home,,,,,128.0,Cavan Monaghan,3515013.0,44.1562909,-78.4477515
CENTRE D'ACCUEIL CHAMPLAIN,275 Perrier Street,Champlain,Municipal,No,Yes,Yes,Yes,,Vanier, K1L5C6,122.0,86.0,44.0,32.0,18.0,4.0,62.0,40.0,26.0,22.0,22.0,12.0,centre d'accueil champlain,,0,,Inactive,160.0,Ottawa,3506008.0,45.44308406,-75.66040993
CENTRE D'ACCUEIL ROGER SEGUIN,435 Lemay Street,Champlain,Non-Profit,Yes,Yes,Yes,No,,Clarence Creek, K0A1N0,51.0,30.0,20.0,8.0,2.0,,19.0,14.0,14.0,16.0,8.0,4.0,centre d'accueil roger seguin,,0,,Inactive,113.0,Clarence-Rockland,3502036.0,45.51025689,-75.21616879
CHAMPLAIN LONG TERM CARE RESIDENCE,428 Front Road West,Champlain,For-Profit,No,Yes,Yes,Yes,,L'Orignal, K0B1K0,30.0,19.0,10.0,2.0,,,11.0,8.0,6.0,6.0,4.0,2.0,chartwell champlain long term care residence,,,,,60.0,Champlain,3502010.0,45.62972163,-74.67048831
CHARTWELL AURORA LONG TERM CARE RESIDENCE,32 Mill Street,Central,For-Profit,Yes,Yes,Yes,Yes,,Aurora, L4G2R9,28.0,13.0,8.0,15.0,6.0,5.0,6.0,2.0,2.0,1.0,,,chartwell aurora long term care residence,,11,,Inactive,235.0,Aurora,3519046.0,43.99779774,-79.47131474
CHARTWELL AYLMER LONG TERM CARE RESIDENCE,465 Talbot Street West,South West,For-Profit,No,Yes,No,Yes,,Aylmer, N5H1K8,30.0,10.0,5.0,4.0,1.0,1.0,16.0,3.0,1.0,4.0,2.0,1.0,chartwell aylmer long term care residence,,,,,64.0,Aylmer,3534011.0,42.77395085,-80.99760032
