Antipsychotic Medication Use (%)‡*,Depression (%)*,Falls (%)‡*,Home Name,Pain (%)*,Physical Restraints Use (%)‡*,Placements for referrals from all prior locations (days)◊α,Placements for referrals from community (days)◊α,Placements for referrals from hospital (days)◊α,Pressure Ulcers (%)‡*,cleaned_home_name,index,matched,name1,address,LHIN,home_type,short_stay,residents_council,family_council,accreditation,city,postal_code_x,total_inspections,5y_inspections,2y_inspections,total_complaints,5y_complaints,2y_complaints,total_critical,5y_critical,2y_critical,total_withOrders,5y_withOrders,2y_withOrders,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,CSDname,CSDuid,latitude,longitude,number_beds
8.7,8.4,3.8,Hellenic Care For Seniors (Toronto) Inc.,0.6,0.2,345,345,NR,0.6,hellenic care for seniors (toronto) inc.,,False,hellenic care for seniors (toronto),215 Tyrrel Avenue,Toronto Central,Non-Profit,No,Yes,No,Yes,Toronto, M6G4A9,20.0,10.0,6.0,9.0,2.0,2.0,4.0,3.0,3.0,1.0,1.0,1.0,hellenic care for seniors (toronto),0,0,<5,Active,Toronto,3520005.0,43.67679399,-79.43034200000002,81.0
28.9,17.9,13.1,Heritage Green Nursing Home,0.9,9.3,170,182,LV,3.3,heritage green nursing home,,True,heritage green nursing home,353 Isaac Brock Drive,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Stoney Creek, L8J2J3,61.0,27.0,16.0,23.0,10.0,7.0,11.0,4.0,3.0,28.0,11.0,3.0,heritage green nursing home,,<5,,Inactive,Hamilton,3525005.0,43.19352179,-79.78959737,167.0
16,36.5,22.6,Highland Wood,16.7,7.7,LV,LV,NR,1.6,highland wood,,True,highland wood,7199 Gelert Road P.O. Box 115,Central East,Non-Profit,No,Yes,Yes,Yes,Haliburton, K0M1S0,15.0,10.0,6.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,1.0,highland wood,,,,,Dysart et al,3546024.0,45.03824146,-78.52941943,30.0
2,15.6,10.5,Hornepayne Community Hospital,3.4,0,LV,NR,LV,0,hornepayne community hospital,,True,hornepayne community hospital,278 Front Street P.O. Box 190,North East,Non-Profit,No,No,No,Yes,Hornepayne, P0M1Z0,11.0,7.0,4.0,2.0,,,,,,6.0,6.0,3.0,hornepayne community hospital,,,,,Hornepayne,3557096.0,49.212827,-84.774059,12.0
22.4,31.9,14.2,Idlewyld Manor,8.9,3.2,89.5,98.5,LV,4.4,idlewyld manor,,True,idlewyld manor,449 Sanatorium Road,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L9C2A7,58.0,19.0,11.0,26.0,5.0,3.0,19.0,5.0,4.0,14.0,10.0,6.0,idlewyld manor,,0,,Inactive,Hamilton,3525005.0,43.23618909,-79.91485732,192.0
ST,ST,ST,Kemptville District Hospital,ST,ST,NR,NR,NR,ST,kemptville district hospital,,True,kemptville district hospital,2675 Concession Road P. O. Bag 2007,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Kemptville, K0G1J0,13.0,9.0,4.0,1.0,,,,,,4.0,4.0,1.0,kemptville district hospital,,,,,North Grenville,3507065.0,45.0099179,-75.64134820000002,12.0
43.6,19.7,9.7,Manitouwadge General Hospital,3.9,ST,LV,NR,LV,2.4,manitouwadge general hospital,,False,sante manitouwadge health,1 Health Care Crescent,North West,Non-Profit,No,Yes,Yes,Yes,Manitouwadge, P0T2C0,12.0,7.0,3.0,1.0,1.0,,,,,7.0,4.0,2.0,sante manitouwadge health,,,,,Manitouwadge,3558066.0,49.12743949,-85.82432229,9.0
19.7,30.2,21,Maxville Manor,3.8,13.9,263.5,268,165.5,4.2,maxville manor,,True,maxville manor,80 Mechanic Street West,Champlain,Non-Profit,Yes,Yes,Yes,No,Maxville, K0C1T0,32.0,10.0,3.0,12.0,3.0,2.0,10.0,3.0,,7.0,1.0,1.0,maxville manor,<5,0,0,Active,North Glengarry,3501050.0,45.28415857,-74.86345425,122.0
27.6,28.2,15,Maynard Nursing Home,2.3,0.8,134,175,NR,2.7,maynard nursing home,,True,maynard nursing home,28 Halton Street,Toronto Central,For-Profit,No,Yes,Yes,Yes,Toronto, M6J1R3,21.0,11.0,4.0,8.0,1.0,,4.0,2.0,2.0,8.0,6.0,2.0,maynard nursing home,0,0,0,Active,Toronto,3520005.0,43.64880888,-79.4191815,77.0
13.2,7.8,20.2,Mill Creek Care Centre,3.6,0,164,156,LV,1.4,mill creek care centre,,True,mill creek care centre,286 Hurst Drive,North Simcoe Muskoka,Non-Profit,Yes,Yes,Yes,Yes,Barrie, L4N0Z3,35.0,13.0,6.0,17.0,3.0,2.0,9.0,4.0,1.0,10.0,6.0,2.0,mill creek care centre,,,,,Barrie,3543042.0,44.3689931,-79.65609964,160.0
23.5,16.4,31.3,Nipigon District Memorial Hospital,19.2,0,LV,LV,LV,0,nipigon district memorial hospital,,True,nipigon district memorial hospital,125 Hogan Road P O Box 37,North West,Non-Profit,No,Yes,No,Yes,Nipigon, P0T2J0,13.0,9.0,5.0,1.0,1.0,,3.0,2.0,2.0,4.0,2.0,2.0,nipigon district memorial hospital,,,,,Nipigon,3558044.0,49.0155755,-88.2759054,15.0
27.8,12.8,17,Nisbet Lodge,4.4,1.8,172.5,177,LV,1.7,nisbet lodge,,True,nisbet lodge,740 Pape Avenue,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Toronto, M4K3S7,15.0,12.0,8.0,7.0,5.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,nisbet lodge,,,,,Toronto,3520005.0,43.68025289,-79.34558197,103.0
6.7,38.1,13.9,North Renfrew LTC Services Inc.,13,11.1,LV,LV,NR,0,north renfrew long term care services inc.,,False,north renfrew long-term care services inc.,47 Ridge Road P.O. Box 1988,Champlain,Non-Profit,Yes,Yes,No,No,Deep River, K0J1P0,22.0,10.0,5.0,4.0,1.0,1.0,6.0,4.0,2.0,5.0,1.0,,north renfrew long-term care services inc.,,,,,Deep River,3547096.0,46.10283609,-77.48846579,21.0
19.2,37.3,18.5,Parkwood Mennonite Home,11.8,1.3,134.5,132,LV,5.9,parkwood mennonite home,,True,parkwood mennonite home,726 New Hampshire Street,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Waterloo, N2K4M1,22.0,13.0,9.0,7.0,4.0,3.0,7.0,3.0,3.0,3.0,3.0,3.0,parkwood mennonite home,0,0,<5,Active,Waterloo,3530016.0,43.51640151,-80.50225763,96.0
19.8,14,17.6,Providence Healthcare,4.8,2.5,454,441.5,LV,4.8,providence healthcare,,True,providence healthcare,3276 St. Clair Avenue East,Toronto Central,Non-Profit,No,Yes,Yes,Yes,Scarborough, M1L1W1,56.0,30.0,12.0,32.0,17.0,5.0,16.0,10.0,6.0,6.0,4.0,2.0,providence healthcare,,<5,,Inactive,Toronto,3520005.0,43.71220510000001,-79.28502950000002,288.0
5.7,35.8,11.7,Saint Luke's Place,3.4,2.6,110,110,LV,0.9,saint luke's place,,True,saint luke's place,1624 Franklin Boulevard,Waterloo Wellington,Non-Profit,No,Yes,Yes,Yes,Cambridge, N3C3P4,30.0,18.0,7.0,14.0,10.0,4.0,11.0,5.0,3.0,3.0,3.0,2.0,saint luke's place,,0,,Inactive,Cambridge,3530010.0,43.4253246,-80.31029116,114.0
17.1,31.4,17.8,Shalom Manor LTC Home,12.2,1.2,115.5,123.5,LV,3,shalom manor long term care home,,True,shalom manor long term care home,12 Bartlett Avenue,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,No,Grimsby, L3M4N5,20.0,12.0,9.0,7.0,4.0,4.0,7.0,4.0,4.0,2.0,2.0,2.0,shalom manor long term care home,,0,,Inactive,Grimsby,3526065.0,43.1869815,-79.52455129,144.0
22.5,20.3,19.2,Shalom Village Nursing Home,6.3,0,162.5,187.5,LV,0.6,shalom village nursing home,,True,shalom village nursing home,70 Macklin Street North,Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,Yes,Yes,Yes,Hamilton, L8S3S1,21.0,15.0,7.0,7.0,3.0,2.0,3.0,2.0,2.0,5.0,5.0,2.0,shalom village nursing home,,,,,Hamilton,3525005.0,43.26411849,-79.89518251,127.0
14.7,26.3,16.7,Sherwood Park Manor,7.6,13.3,180,75,LV,1.3,sherwood park manor,,True,sherwood park manor,1814 County Road  #2 East,South East,Non-Profit,No,Yes,Yes,No,Brockville, K6V5T1,60.0,27.0,12.0,28.0,13.0,5.0,22.0,7.0,3.0,9.0,6.0,6.0,sherwood park manor,,,,,Elizabethtown-Kitley,3507014.0,44.60514000000001,-75.662296,107.0
17.9,1.8,12.1,Smooth Rock Falls Hospital,7.2,23.1,LV,NR,NR,0,smooth rock falls hospital,,True,smooth rock falls hospital,107 Kelly Road P.O. Box 219,North East,Non-Profit,No,Yes,No,Yes,Smooth Rock Falls, P0L2B0,17.0,10.0,5.0,1.0,,,6.0,3.0,3.0,4.0,2.0,1.0,smooth rock falls hospital,,,,,Smooth Rock Falls,3556048.0,49.272285,-81.610265,20.0
16,27.6,18.2,Southbridge Care Home,3.4,0,23,30.5,LV,1.3,southbridge care home,,False,southbridge care home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30.2,13.9,4.4,The West Nipissing General Hospital,43.5,9.9,NR,NR,NR,3.9,the west nipissing general hospital,,True,the west nipissing general hospital,725 Coursol,North East,Non-Profit,No,Yes,No,Yes,Sturgeon Falls, P2B2Y6,14.0,10.0,4.0,1.0,1.0,,4.0,2.0,2.0,5.0,5.0,1.0,the west nipissing general hospital,,,,,West Nipissing / Nipissing Ouest,3548055.0,46.37244272,-79.91782482,48.0
27.5,33.3,22.3,Township Of Osgoode Care Centre,12.3,2.9,405,394,LV,4.1,township of osgoode care centre,,True,township of osgoode care centre,7650 Snake Island Road,Champlain,Non-Profit,Yes,Yes,Yes,No,Metcalfe, K0A2P0,21.0,10.0,6.0,9.0,2.0,1.0,8.0,5.0,4.0,,,,township of osgoode care centre,,,,,Ottawa,3506008.0,45.22188813,-75.50384886,100.0
12.8,21.2,15.4,Vision '74 Inc.,2.5,4.3,203,203,LV,2.6,vision '74 inc.,,False,vision nursing home,229 Wellington Street,Erie St. Clair,Non-Profit,Yes,Yes,Yes,Yes,Sarnia, N7T1G9,38.0,12.0,5.0,6.0,2.0,,25.0,6.0,4.0,2.0,,,vision nursing home,16,6,20,Active,Sarnia,3538030.0,42.96819132,-82.40364827,146.0
7.8,33.8,9.2,West Lake Terrace,0.2,0,83.5,76,111,1.3,west lake terrace,,True,west lake terrace,"1673 County Road, 12 R. R. #1",South East,For-Profit,No,Yes,No,Yes,Picton, K0K2T0,26.0,13.0,6.0,7.0,3.0,2.0,9.0,5.0,4.0,7.0,1.0,,west lake terrace,,,,,Prince Edward County,3513020.0,43.92704133,-77.25758022,47.0
9,30.2,17.2,Wildwood Care Centre Inc.,2.2,3.9,93,93,LV,2.4,wildwood care centre inc.,,False,wildwood care centre,100 Ann Street P.O. Box 2200,South West,For-Profit,No,Yes,Yes,Yes,St. Marys, N4X1A1,25.0,10.0,6.0,4.0,1.0,1.0,14.0,6.0,4.0,2.0,,,wildwood care centre,,,,,St. Marys,3531016.0,43.26076283,-81.15463991,60.0
28.2,27.9,33,1230839 Ontario Ltd. - Brouillette Manor,4.7,0.4,48,20,LV,5.2, ontario ltd. - brouillette manor,1.0,True,brouillette manor,11900 Brouillette Court,Erie St. Clair,For-Profit,No,Yes,Yes,Yes,Tecumseh, N8N4X8,33.0,13.0,4.0,7.0,1.0,,15.0,7.0,3.0,3.0,,,brouillette manor,,,,,Tecumseh,3537048.0,42.3064019,-82.8920717,60.0
12,30.2,15.2,2109577 Ontario Ltd. - Of Arbour Heights,3,8.9,166,183,55,3.9, ontario ltd. - of arbour heights,2.0,False,arbour heights,564 Tanner Drive,South East,For-Profit,No,Yes,Yes,Yes,Kingston, K7M0C3,70.0,33.0,13.0,29.0,11.0,4.0,23.0,14.0,7.0,13.0,7.0,2.0,arbour heights,,,,,Kingston,3510010.0,44.23937071,-76.55865852,174.0
11.9,33.9,16.7,412506 Ontario Ltd - St. Jacques Nursing Home,0,14.5,46,153,28,9.4, ontario ltd - st. jacques nursing home,3.0,True,st. jacques nursing home,915 Notre Dame Street P. O. Box 870,Champlain,Non-Profit,No,Yes,Yes,Yes,Embrun, K0A1W0,50.0,34.0,8.0,18.0,10.0,4.0,10.0,8.0,4.0,10.0,6.0,,st. jacques nursing home,,,,,Russell,3502048.0,45.27229585,-75.28638399,60.0
17.8,33,20.4,458422 Ontario Ltd. - Sandfield Place,3.9,10.2,334,351.5,LV,1.4, ontario ltd. - sandfield place,4.0,True,sandfield place,220 Emma Street,Champlain,For-Profit,No,Yes,Yes,Yes,Cornwall, K6J5V8,26.0,20.0,10.0,11.0,8.0,4.0,8.0,6.0,3.0,3.0,3.0,2.0,sandfield place,,,,,Cornwall,3501012.0,45.03749423,-74.75148549,53.0
19.1,10.3,10.7,601091 Ontario Ltd. - Cedarvale Terrace,1.2,0.9,153.5,164,LV,1.2, ontario ltd. - cedarvale terrace,5.0,True,cedarvale terrace,429 Walmer Road,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5P2X9,65.0,25.0,16.0,40.0,14.0,10.0,11.0,6.0,5.0,16.0,7.0,6.0,cedarvale terrace,,0,,Inactive,Toronto,3520005.0,43.68545859,-79.41242340000002,218.0
17.3,4.9,9.8,601092 Ontario Limited - Vermont Square,1.8,2.1,77,102,LV,1, ontario limited - vermont square,6.0,True,vermont square,914 Bathurst Street,Toronto Central,For-Profit,Yes,Yes,Yes,Yes,Toronto, M5R3G5,21.0,15.0,12.0,6.0,5.0,4.0,8.0,5.0,5.0,3.0,3.0,3.0,vermont square,<5,0,<5,Active,Toronto,3520005.0,43.66830209,-79.41276169,130.0
9.4,9.4,12.2,848357 Ontario Inc. - The O'Neill Centre,2,0,146,146,LV,1.7, ontario inc. - the o'neill centre,7.0,True,the o'neill centre,33 Christie Street,Toronto Central,For-Profit,Yes,Yes,No,Yes,Toronto, M6G3B1,29.0,11.0,5.0,16.0,3.0,1.0,9.0,5.0,4.0,,,,the o'neill centre,,0,,Inactive,Toronto,3520005.0,43.66476219,-79.4186887,162.0
8.3,3.1,8.5,913096 Ontario Limited - Nipissing Manor Nursing Care Centre,6,2.9,192,137.5,195,1.7, ontario limited - nipissing manor nursing care centre,8.0,False,nipissing manor nursing care center,1202 Highway 94,North East,For-Profit,No,Yes,Yes,Yes,Corbeil, P0H1K0,20.0,15.0,10.0,5.0,3.0,2.0,6.0,5.0,4.0,3.0,3.0,3.0,nipissing manor nursing care center,,,,,East Ferris,3548034.0,46.24835493,-79.33681562,120.0
21.4,15.5,27.5,Advent Health Care Corporation - Valley View Residence,8.6,9.3,317,322,LV,5,advent health care corporation - valley view residence,9.0,False,valleyview residence,541 Finch Avenue West,Central,Non-Profit,No,Yes,No,No,North York, M2R3Y3,57.0,23.0,15.0,28.0,11.0,7.0,16.0,5.0,4.0,10.0,5.0,3.0,valleyview residence,,<5,,Inactive,Toronto,3520005.0,43.77088320000001,-79.44630321,174.0
24.4,19.2,17.2,Algonquin Nursing Home of Mattawa Limited - Algonquin Nursing Home of Mattawa Ltd.,22.9,3.3,148,148,167.5,2,algonquin nursing home of mattawa limited - algonquin nursing home of mattawa ltd.,11.0,False,algonquin nursing home,207 Turcotte Park Road P.O. Box 270,North East,Non-Profit,Yes,Yes,Yes,Yes,Mattawa, P0H1V0,23.0,14.0,5.0,3.0,1.0,,11.0,7.0,4.0,5.0,3.0,,algonquin nursing home,,,,,Mattawa,3548021.0,46.31349257,-78.71984132,73.0
24.3,20.7,12.7,Almonte General Hospital - Fairview Manor,9.5,4.9,828.5,797,NR,1.8,almonte general hospital - fairview manor,12.0,True,fairview manor,75 Spring Street,Champlain,Non-Profit,Yes,Yes,Yes,Yes,Almonte, K0A1A0,29.0,19.0,11.0,7.0,5.0,5.0,11.0,9.0,4.0,4.0,,,fairview manor,,,,,Mississippi Mills,3509030.0,45.2287855,-76.18998128,112.0
25.7,23.8,11.5,Anson General Hospital - South Centennial Manor,4.3,10.8,194,LV,199,2.6,anson general hospital - south centennial manor,13.0,True,south centennial manor,240 Fyfe Street,North East,Non-Profit,Yes,Yes,Yes,Yes,Iroquois Falls, P0K1E0,23.0,17.0,11.0,2.0,2.0,2.0,9.0,5.0,3.0,9.0,6.0,3.0,south centennial manor,<5,0,0,Active,Iroquois Falls,3556031.0,48.76584185,-80.68247105,69.0
13.3,31.6,14.6,Aon Inc. - Centennial Place LTC Home,8.2,1.1,541,541,LV,2,aon inc. - centennial place long term care home,14.0,False,centennial place long-term care home,2 Centennial Lane North,Central East,For-Profit,No,Yes,No,Yes,Millbrook, L0A1G0,29.0,19.0,7.0,8.0,4.0,2.0,12.0,8.0,3.0,4.0,3.0,1.0,centennial place long-term care home,,,,,Cavan Monaghan,3515013.0,44.1562909,-78.4477515,128.0
10.7,34.4,14,Aon Inc. - Moira Place LTC Home,2.5,0,272,272,LV,1.6,aon inc. - moira place long term care home,15.0,False,moira place long-term care home,415 River Street West P.O. Box 200,South East,For-Profit,No,Yes,Yes,Yes,Tweed, K0K3J0,37.0,27.0,7.0,12.0,7.0,2.0,14.0,13.0,4.0,5.0,2.0,,moira place long-term care home,,0,,Inactive,Tweed,3512030.0,44.47111572,-77.31915479,128.0
30.6,25.7,25.6,Apans Health Services - Copper Terrace,9.6,1,73,92,42,4.6,apans health services - copper terrace,16.0,True,copper terrace,91 Tecumseh Road,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Chatham, N7M1B3,94.0,50.0,20.0,32.0,18.0,8.0,44.0,22.0,6.0,14.0,11.0,8.0,copper terrace,,,,,Chatham-Kent,3536020.0,42.39831463,-82.20038906,138.0
21.2,29.8,22.3,Apans Health Services - MiddleSex Terrace,3.5,0,72,199,33,3.5,apans health services - middlesex terrace,17.0,True,middlesex terrace,2094 Gideon Drive R.R. #1,South West,For-Profit,No,Yes,Yes,Yes,Delaware, N0L1E0,43.0,21.0,7.0,10.0,5.0,,25.0,11.0,6.0,3.0,2.0,,middlesex terrace,,,,,Middlesex Centre,3539033.0,42.92353736,-81.42514196,105.0
14,28.3,14.3,Apans Health Services - Park Lane Terrace,4.8,2,148.5,146,LV,1.9,apans health services - park lane terrace,18.0,True,park lane terrace,295 Grand River Street North,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Paris, N3L2N9,46.0,36.0,16.0,20.0,15.0,5.0,11.0,9.0,7.0,15.0,14.0,7.0,park lane terrace,,,,,Brant,3529005.0,43.21149506,-80.38916816,132.0
21.5,29.7,19.1,Apans Health Services - Richmond Terrace,2,5.4,173,170,LV,1.7,apans health services - richmond terrace,19.0,True,richmond terrace,89 Rankin Avenue,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Amherstburg, N9V1E7,62.0,35.0,15.0,41.0,21.0,8.0,15.0,8.0,6.0,2.0,2.0,1.0,richmond terrace,,,,,Amherstburg,3537028.0,42.10422443,-83.11025501,120.0
22.9,26.7,19.1,Apans Health Services - Watford Quality Care Centre,16,0.8,31.5,35,26,2.8,apans health services - watford quality care centre,20.0,True,watford quality care centre,344 Victoria Street,Erie St. Clair,For-Profit,Yes,Yes,Yes,Yes,Watford, N0M2S0,18.0,9.0,3.0,2.0,2.0,,10.0,3.0,2.0,,,,watford quality care centre,,,,,Warwick,3538043.0,42.95217584,-81.88556091,63.0
20.1,35,11.3,ATK Care Inc. - Exeter Villa,9.9,12.8,71,140.5,LV,4,atk care inc. - exeter villa,22.0,True,exeter villa,155 John Street East,South West,For-Profit,Yes,Yes,No,Yes,Exeter, N0M1S1,18.0,11.0,7.0,5.0,3.0,3.0,7.0,4.0,3.0,1.0,1.0,1.0,exeter villa,,0,,Inactive,South Huron,3540005.0,43.34653763,-81.47441712,47.0
27.8,36.6,18.8,ATK Care Inc. - River Glen Haven Nursing Home,12.8,12,88,82.5,91,4.7,atk care inc. - river glen haven nursing home,23.0,True,river glen haven nursing home,160 High Street P.O. Box 368,Central,For-Profit,No,Yes,Yes,Yes,Sutton West, L0E1R0,28.0,15.0,6.0,10.0,4.0,2.0,6.0,3.0,1.0,10.0,6.0,2.0,river glen haven nursing home,50,24,30,Active,Georgina,3519070.0,44.30394879999999,-79.36171604,119.0
3.8,39,26.9,ATK Care Inc. - The Fordwich Village Nursing Home,14.1,3.4,64,70.5,LV,1.3,atk care inc. - the fordwich village nursing home,24.0,True,the fordwich village nursing home,3063 Adelaide Street,South West,For-Profit,No,Yes,Yes,Yes,Fordwich, N0G1V0,18.0,8.0,5.0,4.0,1.0,1.0,6.0,2.0,2.0,6.0,4.0,1.0,the fordwich village nursing home,,,,,Howick,3540046.0,43.87084494,-81.02944763,33.0
28.8,29.9,20.3,Autumnwood Mature Lifestyle Communities Inc. - Cedarwood Lodge,10.5,20.1,NR,NR,NR,4.3,autumnwood mature lifestyle communities inc. - cedarwood lodge,25.0,True,cedarwood lodge,860 Great Northern Road,North East,For-Profit,No,Yes,Yes,No,Sault Ste. Marie, P6A5K7,37.0,37.0,5.0,9.0,9.0,2.0,8.0,8.0,1.0,14.0,14.0,,cedarwood lodge,,,,,Sault Ste. Marie,3557061.0,46.55200831,-84.31955276,50.0
21.9,21.4,6.4,Babcock Community Care Centre Inc. - Babcock Community Care Centre,16.2,11.7,48,42,69,3.6,babcock community care centre inc. - babcock community care centre,26.0,True,babcock community care centre,196 Wellington Street P. O. Box 190,South West,For-Profit,No,Yes,Yes,Yes,Wardsville, N0L2N0,32.0,17.0,10.0,6.0,4.0,3.0,18.0,8.0,5.0,3.0,2.0,1.0,babcock community care centre,,,,,Southwest Middlesex,3539005.0,42.6583997,-81.75796234,60.0
19.2,28.4,13,Barton Retirement Inc. - The Wellington Nursing Home,5.9,2.3,87,92,85,4.9,barton retirement inc. - the wellington nursing home,27.0,True,the wellington nursing home,1430 Upper Wellington Street,Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,Yes,Yes,Yes,Hamilton, L9A5H3,40.0,24.0,9.0,15.0,8.0,4.0,12.0,6.0,3.0,13.0,8.0,4.0,the wellington nursing home,,,,,Hamilton,3525005.0,43.20948778,-79.8796767,102.0
13.3,26.4,21.3,Bay Haven Nursing Home Inc. - Bayhaven Nursing Home,9.4,2.4,89.5,89.5,NR,2,bay haven nursing home inc. - bayhaven nursing home,28.0,False,bay haven nursing home,499 Hume Street,North Simcoe Muskoka,For-Profit,No,Yes,No,No,Collingwood, L9Y4H8,14.0,10.0,6.0,4.0,3.0,2.0,4.0,4.0,4.0,,,,bay haven nursing home,,,,,Collingwood,3543031.0,44.49946329,-80.19803202,60.0
