LHIN,home type,short stay,total_inspections,2y_inspections,cleaned_name,Confirmed Resident Cases,Resident Deaths,Confirmed Staff Cases,Status,number_beds,lat,long
South West,For-Profit,No,36,7,caressant care on mary bucke,,,,,60,42.77,-81.17
Central East,For-Profit,No,38,5,caressant care on mclaughlin road,,,,,96,44.34,-78.76
South West,For-Profit,Yes,95,21,caressant care woodstock nursing home,,,,,163,43.12,-80.74
Champlain,Municipal,No,29,10,carleton lodge,,,,,161,45.27,-75.71
Champlain,For-Profit,No,105,31,carlingview manor,93,39,61,Active,303,45.37,-75.78
South East,For-Profit,No,29,6,carveth care centre,,,,,104,44.34,-76.16
Central East,For-Profit,No,24,9,case manor care community,,0,,Inactive,96,44.54,-78.54
North East,Municipal,Yes,47,16,cassellholme,<5,0,0,Active,240,46.32,-79.45
Toronto Central,Municipal,Yes,78,12,castleview wychwood towers,0,0,<5,Active,456,43.67,-79.42
Mississauga Halton,For-Profit,No,27,7,cawthra gardens,,,,,192,43.59,-79.6
Central,For-Profit,No,19,10,cedarvale lodge retirement and care community,,,,,60,44.23,-79.46
Toronto Central,For-Profit,Yes,65,16,cedarvale terrace,0,0,<5,Active,218,43.69,-79.41
North East,For-Profit,No,37,5,cedarwood lodge,,,,,50,46.55,-84.32
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,34,13,cedarwood village,,,,,91,42.84,-80.33
Central East,For-Profit,No,29,7,centennial place long-term care home,,,,,128,44.16,-78.45
Champlain,Municipal,No,122,44,centre d'accueil champlain,0,0,<5,Active,160,45.44,-75.66
Champlain,Non-Profit,Yes,51,20,centre d'accueil roger seguin,,0,,Inactive,113,45.51,-75.22
Champlain,For-Profit,No,22,4,caressant care cobden,,,,,64,45.63,-76.89
Central,For-Profit,Yes,28,8,chartwell aurora long term care residence,31,11,5,Active,235,44,-79.47
South West,For-Profit,No,30,5,chartwell aylmer long term care residence,,,,,64,42.77,-81
Central East,For-Profit,No,65,7,chartwell ballycliffe long term care residence,5,30,31,Active,100,43.85,-79.03
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,42,6,chartwell brant centre long term care residence,,,,,175,43.32,-79.8
Waterloo Wellington,For-Profit,No,17,4,chartwell elmira long term care residence,,0,,Inactive,48,43.6,-80.56
Central,For-Profit,No,57,5,chartwell gibson long term care residence,31,9,10,Active,202,43.81,-79.37
South West,For-Profit,No,43,8,chartwell london long term care residence,,,,,95,43.04,-81.26
South West,For-Profit,No,21,10,chartwell parkhill long term care residence,,,,,59,43.16,-81.68
Central West,For-Profit,Yes,15,5,chartwell pine grove long term care residence,0,0,<5,Active,96,43.8,-79.58
Erie St. Clair,For-Profit,No,72,14,chartwell royal oak long term care residence,,,,,160,42.05,-82.74
Central East,For-Profit,Yes,31,9,chartwell trilogy long term care residence,,,,,197,43.74,-79.24
Mississauga Halton,For-Profit,No,42,11,chartwell waterford long term care residence,<5,0,<5,Active,168,43.43,-79.76
Mississauga Halton,For-Profit,No,27,7,chartwell wenleigh long term care residence,,,,,161,43.52,-79.65
Mississauga Halton,For-Profit,No,20,3,chartwell westbury long term care residence,61,20,23,Active,187,43.65,-79.57
Waterloo Wellington,For-Profit,No,44,9,chartwell westmount long term care residence,<5,0,0,Active,160,43.41,-80.52
Toronto Central,For-Profit,Yes,13,3,chartwell white eagle long term care residence,26,11,9,Active,56,43.64,-79.44
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,24,7,chartwell willowgrove long term care residence,,,,,169,43.23,-79.94
Central,For-Profit,Yes,30,9,chartwell woodhaven long term care residence,0,0,<5,Active,192,43.89,-79.23
Central East,For-Profit,No,27,10,chartwell wynfield long term care residence,,,,,172,43.95,-78.87
Erie St. Clair,For-Profit,No,16,3,chateau park long term care home,,,,,59,42.31,-83.07
South West,For-Profit,Yes,73,16,chelsey park,,0,,Inactive,247,42.99,-81.28
Central,For-Profit,Yes,30,9,cheltenham care community,,,,,170,43.78,-79.44
Toronto Central,Non-Profit,No,23,4,chester village,,,,,203,43.69,-79.27
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,22,7,clarion nursing home,,0,,Inactive,100,43.22,-79.73
North Simcoe Muskoka,For-Profit,No,19,7,coleman care centre,,,,,112,44.4,-79.72
North Simcoe Muskoka,For-Profit,No,23,13,collingwood nursing home,,,,,60,44.48,-80.23
Waterloo Wellington,For-Profit,No,44,5,columbia forest,,,,,156,43.46,-80.59
Mississauga Halton,For-Profit,Yes,65,11,cooksville care centre,40,6,17,Active,192,43.57,-79.61
Toronto Central,Non-Profit,Yes,24,9,copernicus lodge,0,0,<5,Active,228,43.64,-79.45
Erie St. Clair,For-Profit,Yes,94,20,copper terrace,,,,,138,42.4,-82.2
South West,For-Profit,No,21,2,country lane long term care residence,,,,,34,44.47,-80.9
South West,For-Profit,Yes,83,11,country terrace,,,,,120,42.96,-81.44
Erie St. Clair,For-Profit,No,62,9,country village homes - woodslee,0,18,<5,Active,104,42.17,-82.72
South West,Non-Profit,Yes,51,10,craigholme,,,,,83,43.15,-81.53
Central East,For-Profit,No,65,17,craiglee nursing home,<5,<5,7,Active,169,43.71,-79.25
North Simcoe Muskoka,For-Profit,No,26,11,creedan valley care community,,,,,95,44.33,-80.1
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,30,7,creek way village,,,,,144,43.39,-79.78
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,26,8,crescent park lodge,,,,,68,42.91,-78.92
South East,For-Profit,Yes,24,4,crown ridge place,,,,,116,44.11,-77.56
Central,Municipal,Yes,50,13,cummer lodge,<5,<5,0,Active,391,43.79,-79.41
South West,Municipal,Yes,76,16,dearness home for senior citizens,,,,,243,42.94,-81.22
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,14,4,deer park villa,,,,,39,43.19,-79.54
Central West,For-Profit,No,33,11,deerwood creek care community,,,,,160,43.73,-79.62
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,27,3,delhi long term care centre,,,,,60,42.84,-80.49
Waterloo Wellington,For-Profit,No,10,3,derbecker's heritage house,,,,,73,43.54,-80.55
Mississauga Halton,Non-Profit,No,10,2,dom lipa,,0,,Inactive,66,43.63,-79.57
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,Yes,32,7,douglas h. rapelje lodge,,0,,Inactive,120,42.98,-79.25
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,38,7,dover cliffs,,,,,70,42.79,-80.21
Central,For-Profit,Yes,63,6,downsview long term care centre,35,23,71,Active,252,43.75,-79.49
Central West,Municipal,No,24,6,dufferin oaks,<5,<5,6,Active,160,44.08,-80.2
Champlain,Non-Profit,No,40,14,dundas manor nursing home,,,,,98,45.09,-75.36
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,52,8,dundurn place care centre,6,<5,<5,Active,201,43.26,-79.86
South East,For-Profit,Yes,24,5,e. j. mcquigge lodge,,,,,57,44.2,-77.39
Central,For-Profit,No,13,2,eagle terrace,<5,<5,<5,Active,70,44.05,-79.46
South West,For-Profit,No,90,21,earls court village,9,<5,8,Active,128,43.03,-81.22
North East,Municipal,No,18,4,eastholme home for the aged,,,,,128,46.08,-79.36
Mississauga Halton,For-Profit,No,38,7,eatonville care centre,142,40,56,Active,247,43.65,-79.56
Waterloo Wellington,For-Profit,No,17,7,eden house nursing home,,,,,59,43.58,-80.17
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,21,10,edgewater gardens long term care centre,,,,,64,42.91,-79.63
Central East,Non-Profit,No,9,2,ehatare nursing home,,0,,Inactive,32,43.78,-79.18
South West,For-Profit,No,33,7,elgin abbey nursing home,,,,,27,44.31,-81.1
South West,Municipal,Yes,34,10,elgin manor,,,,,90,42.77,-81.24
Central,For-Profit,Yes,25,12,elginwood,,,,,124,43.9,-79.44
Champlain,For-Profit,No,39,13,heartwood (fka versa-care cornwall),,,,,118,45.03,-74.73
North East,For-Profit,Yes,51,17,elizabeth centre,,,,,128,46.61,-81.03
Toronto Central,For-Profit,No,14,4,elm grove living centre,44,17,43,Active,126,43.64,-79.43
South West,For-Profit,No,49,10,elmwood place,<5,0,<5,Active,90,42.97,-81.27
North West,Non-Profit,No,9,2,emo health centre,,,,,12,48.63,-93.84
Mississauga Halton,For-Profit,No,35,6,erin mills lodge nursing home,29,16,22,Active,86,43.53,-79.67
South West,For-Profit,Yes,30,5,errinrung long term care home,,,,,60,44.56,-80.46
North East,Non-Profit,No,10,3,espanola general hospital (operating as espanola nursing home-eldcap),,,,,30,46.25,-81.78
North East,Non-Profit,No,16,4,espanola general hospital (operating as espanola nursing home-ltc),,,,,32,46.25,-81.78
South West,For-Profit,Yes,18,7,exeter villa,0,0,<5,Active,47,43.35,-81.47
Central,For-Profit,Yes,34,4,extendicare bayview,60,8,13,Active,205,43.79,-79.39
Central West,For-Profit,No,26,10,extendicare brampton,13,<5,<5,Active,150,43.66,-79.74
Central East,For-Profit,No,42,7,extendicare cobourg,,,,,69,43.98,-78.17
North East,For-Profit,Yes,67,19,extendicare falconbridge,,,,,234,46.51,-80.94
Central East,For-Profit,Yes,39,10,extendicare guildwood,36,7,12,Active,169,43.75,-79.2
Central East,For-Profit,No,20,6,extendicare haliburton,,,,,60,45.05,-78.5
Mississauga Halton,For-Profit,No,45,9,extendicare halton hills,,,,,130,43.65,-79.95
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,42,8,extendicare hamilton,,,,,160,43.24,-79.92
North East,For-Profit,Yes,27,11,extendicare kapuskasing,,,,,61,49.42,-82.41
Central East,For-Profit,No,15,4,extendicare kawartha lakes,,,,,64,44.36,-78.72
South East,For-Profit,No,28,4,extendicare kingston,,,,,150,44.24,-76.54
North East,For-Profit,Yes,22,5,extendicare kirkland lake,,,,,100,48.16,-80.02
Central East,For-Profit,Yes,19,4,extendicare lakefield,,0,,Inactive,100,44.42,-78.28
Champlain,For-Profit,No,85,15,extendicare laurier manor,10,22,33,Active,242,45.45,-75.61
South West,For-Profit,Yes,61,12,extendicare london,,,,,170,43,-81.25
North East,For-Profit,No,46,24,extendicare maple view of sault ste. marie,<5,0,0,Active,256,46.54,-84.3
Champlain,For-Profit,No,63,19,extendicare medex,,,,,193,45.35,-75.76
Mississauga Halton,For-Profit,No,22,6,extendicare mississauga,,,,,140,43.63,-79.73
Champlain,For-Profit,No,30,6,extendicare new orchard lodge,,,,,111,45.38,-75.78
Central East,For-Profit,Yes,41,8,extendicare oshawa,<5,0,0,Active,175,43.9,-78.88
Central East,For-Profit,Yes,29,9,extendicare peterborough,,,,,174,44.3,-78.35
Central East,For-Profit,No,29,5,extendicare port hope,,,,,128,43.97,-78.28
South West,For-Profit,Yes,31,8,extendicare port stanley,,,,,60,42.67,-81.21
Central East,For-Profit,Yes,35,11,extendicare rouge valley,,0,,Inactive,192,43.8,-79.19
Central East,For-Profit,Yes,31,6,extendicare scarborough,11,<5,8,Active,154,43.76,-79.21
Erie St. Clair,For-Profit,No,100,14,extendicare southwood lakes,0,0,<5,Active,150,42.24,-82.98
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,27,9,extendicare st. catharines,,,,,153,43.13,-79.26
Champlain,For-Profit,No,54,14,extendicare starwood,,0,,Inactive,192,45.35,-75.75
Erie St. Clair,For-Profit,No,66,14,extendicare tecumseh,,,,,128,42.28,-82.88
North East,For-Profit,No,39,9,extendicare timmins,<5,0,0,Active,180,48.48,-81.38
North East,For-Profit,Yes,15,3,extendicare tri-town,,,,,60,47.44,-79.63
North East,For-Profit,Yes,22,9,extendicare van daele,,,,,100,46.53,-84.32
Champlain,For-Profit,No,104,20,extendicare west end villa,0,0,<5,Active,242,45.35,-75.78
North East,For-Profit,Yes,61,12,extendicare york,,0,,Inactive,288,46.48,-81.01
North East,Non-Profit,No,65,10,f. j. davey home,,,,,374,46.55,-84.31
Erie St. Clair,For-Profit,No,32,11,fairfield park,,,,,99,42.59,-82.41
Central East,Municipal,Yes,36,12,fairhaven,,,,,256,44.33,-78.32
South East,Municipal,No,34,10,fairmount home for the aged,,,,,128,44.31,-76.47
North Simcoe Muskoka,Non-Profit,No,21,6,fairvern nursing home,,,,,76,45.33,-79.21
Central East,Municipal,No,46,11,fairview lodge,0,0,<5,Active,198,43.88,-78.95
Champlain,Non-Profit,Yes,29,11,fairview manor,,,,,112,45.23,-76.19
Waterloo Wellington,Non-Profit,No,18,6,fairview mennonite home,,,,,84,43.4,-80.34
Toronto Central,For-Profit,No,33,6,fairview nursing home,,,,,108,43.65,-79.43
Central West,Non-Profit,No,39,6,faith manor nursing home,<5,0,<5,Active,120,43.65,-79.74
Central East,For-Profit,No,18,4,fenelon court,,,,,67,44.53,-78.73
Erie St. Clair,For-Profit,No,37,12,fiddick's nursing home,,,,,92,42.88,-82.14
Central East,For-Profit,Yes,43,6,fieldstone commons care community,,,,,224,43.77,-79.28
North East,For-Profit,Yes,42,7,finlandia hoivakoti nursing home,0,0,<5,Active,112,46.48,-80.93
Waterloo Wellington,For-Profit,Yes,101,12,forest heights,166,46,59,Active,240,43.43,-80.53
Champlain,For-Profit,No,42,9,forest hill,,,,,160,45.31,-75.91
Central East,For-Profit,Yes,23,2,fosterbrooke,,,,,88,43.65,-79.39
Toronto Central,For-Profit,No,43,11,fountain view care community,0,0,<5,Active,158,43.72,-79.3
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,64,8,fox ridge care community,,,,,122,43.16,-80.26
North East,Non-Profit,Yes,17,6,foyer des pionniers,,,,,67,49.68,-83.68
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,43,8,foyer richelieu welland,,,,,63,42.99,-79.22
Champlain,For-Profit,No,66,10,foyer st-viateur nursing home,,,,,57,45.29,-75.23
Erie St. Clair,For-Profit,No,56,9,franklin gardens long term care home,<5,0,<5,Active,120,42.03,-82.6
South East,For-Profit,No,30,5,friendly manor nursing home,,,,,60,44.2,-77.04
Central East,For-Profit,No,22,4,frost manor,,,,,62,44.34,-78.75
Toronto Central,Municipal,Yes,21,6,fudger house,<5,0,0,Active,250,43.67,-79.37
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,56,10,garden city manor,<5,0,0,Active,200,43.18,-79.25
Toronto Central,For-Profit,No,13,4,garden court nursing home,,,,,45,43.6,-79.5
Champlain,For-Profit,Yes,54,20,garden terrace,0,<5,<5,Active,160,45.31,-75.9
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,18,2,gardenview long term care home,0,0,0,Active,64,42.89,-80.14
Champlain,Municipal,No,69,21,garry j. armstrong home,,0,,Inactive,180,45.44,-75.68
South West,Municipal,No,19,5,gateway haven long term care home,,,,,100,44.74,-81.13
South West,For-Profit,No,20,4,georgian heights,,,,,40,44.57,-80.92
North Simcoe Muskoka,Municipal,Yes,22,6,georgian manor home for the aged,,,,,143,44.77,-79.92
North West,Non-Profit,No,13,2,geraldton district hospital,,,,,19,49.72,-86.95
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,16,2,gilmore lodge,,,,,80,42.92,-78.91
Champlain,Non-Profit,No,42,18,glebe centre,,,,,254,45.4,-75.69
Central East,Non-Profit,No,24,5,glen hill marnwood,,,,,60,43.92,-78.69
Central East,Non-Profit,Yes,57,11,glen hill strathaven,<5,0,0,Active,210,43.91,-78.67
Champlain,Municipal,Yes,42,14,glen-stor-dun lodge,,,,,132,45.03,-74.68
South West,Non-Profit,No,17,5,golden dawn nursing home,<5,0,0,Active,45,44.99,-81.26
North East,Municipal,Yes,21,5,golden manor,<5,0,0,Active,177,48.49,-81.34
Central East,Municipal,No,62,5,golden plough lodge,,,,,151,43.97,-78.2
Waterloo Wellington,For-Profit,No,56,12,golden years nursing home,0,0,<5,Active,88,43.4,-80.35
Central,For-Profit,No,14,4,good samaritan nursing home,,,,,64,44.16,-79.85
Central West,Non-Profit,No,33,9,grace manor,42,11,25,Active,120,43.65,-79.74
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,79,10,grace villa nursing home,0,0,<5,Active,184,43.21,-79.85
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,37,7,grandview lodge / dunnville,,,,,128,42.91,-79.63
Champlain,For-Profit,No,34,10,granite ridge care community,,,,,224,45.27,-75.9
South West,Non-Profit,No,20,3,greenwood court,,<5,,Inactive,45,43.38,-80.98
South West,Municipal,No,40,8,grey gables home for the aged,,,,,66,44.31,-80.64
North Simcoe Muskoka,Non-Profit,No,22,8,grove park home for senior citizens,,,,,143,44.41,-79.67
Champlain,For-Profit,Yes,19,8,groves park lodge,,,,,90,45.48,-76.7
South East,Municipal,No,62,13,h.j. mcfarland memorial home,,,,,84,44.03,-77.14
South East,For-Profit,No,41,8,hallowell house,,0,,Inactive,97,43.99,-77.18
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,40,6,hamilton continuing care,,,,,64,43.25,-79.85
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,No,31,5,hampton terrace care centre,,0,,Inactive,101,43.31,-79.86
South West,For-Profit,No,22,4,hanover care centre,,,,,41,44.16,-81.02
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,45,11,hardy terrace,,,,,101,43.09,-80.31
Toronto Central,For-Profit,No,19,6,harmony hills care community,,,,,160,43.72,-79.3
Central,Non-Profit,No,21,5,harold and grace baker centre,8,13,17,Active,120,43.7,-79.47
South East,Municipal,Yes,33,13,hastings centennial manor,,,,,110,45.06,-77.86
South East,Municipal,Yes,71,13,hastings manor home for the aged,6,<5,5,Active,253,44.15,-77.41
Central West,For-Profit,No,58,14,hawthorn woods care community,,,,,160,43.76,-79.69
Central,For-Profit,Yes,85,10,hawthorne place care centre,45,31,77,Active,269,43.76,-79.52
Champlain,Non-Profit,Yes,22,5,north renfrew long-term care services,,,,,21,46.1,-77.49
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,22,4,heidehof long term care home,,,,,106,43.2,-79.25
South East,For-Profit,No,59,10,helen henderson nursing home,,,,,104,44.23,-76.66
Toronto Central,Non-Profit,No,20,6,hellenic care for seniors (toronto),,,,,81,43.68,-79.43
Central East,Non-Profit,Yes,38,13,hellenic home - scarborough,44,14,21,Active,128,43.75,-79.27
South West,For-Profit,No,61,18,henley place,<5,0,0,Active,192,43.05,-81.21
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,61,16,heritage green nursing home,0,<5,0,Active,167,43.19,-79.79
Erie St. Clair,For-Profit,No,87,9,heron terrace long term care community,46,23,14,Active,140,42.32,-82.9
Central East,Non-Profit,No,15,6,highland wood,,,,,30,45.04,-78.53
North Simcoe Muskoka,For-Profit,No,23,7,hillcrest village care centre,,,,,164,44.75,-79.88
Champlain,Non-Profit,No,47,15,hillel lodge,,,,,121,45.38,-75.75
Central East,Municipal,No,52,14,hillsdale estates,,,,,300,43.91,-78.86
Central East,Municipal,No,57,9,hillsdale terraces,,13,,Inactive,200,43.92,-78.86
South West,For-Profit,No,29,9,hillside manor,,0,,Inactive,90,43.42,-81.1
South East,For-Profit,No,41,5,hilltop manor nursing home (merrickville),,,,,60,44.91,-75.83
North West,Non-Profit,No,84,33,hogarth riverview manor,0,0,<5,Active,543,48.39,-89.27
Central East,For-Profit,Yes,41,10,hope street terrace,,,,,97,43.95,-78.29
North East,Non-Profit,No,11,4,hornepayne community hospital,,,,,12,49.21,-84.77
Central West,For-Profit,No,34,3,humber valley terrace,46,9,18,Active,158,43.73,-79.6
Erie St. Clair,Municipal,Yes,44,10,huron lodge long term care home,,,,,224,42.25,-83.02
South West,Municipal,No,25,5,huronlea home for the aged,,,,,64,43.74,-81.26
South West,Municipal,No,39,7,huronview home for the aged,,,,,120,43.6,-81.53
Central East,Municipal,Yes,22,8,hyland crest,,,,,62,44.93,-78.73
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,No,58,11,idlewyld manor,<5,0,0,Active,192,43.24,-79.91
Erie St. Clair,For-Profit,No,106,19,iler lodge,,,,,104,42.17,-82.82
Central East,Non-Profit,No,59,7,ina grafton gage home,43,26,30,Active,128,43.71,-79.28
North Simcoe Muskoka,Non-Profit,Yes,30,8,ioof seniors home,,0,,Inactive,182,44.37,-79.69
Hamilton Niagara Haldimand Brant (Hnhb),Non-Profit,Yes,18,8,iroquois lodge nursing home,,,,,50,43.07,-80.12
Toronto Central,Non-Profit,No,35,8,isabel and arthur meighen manor,61,42,45,Active,168,43.7,-79.39
Toronto Central,Non-Profit,No,11,5,ivan franko home (etobicoke),0,0,<5,Active,85,43.64,-79.51
Hamilton Niagara Haldimand Brant (Hnhb),Municipal,No,25,4,john noble home,,,,,156,43.13,-80.28
Champlain,Non-Profit,Yes,13,4,kemptville district hospital,,,,,12,45.01,-75.64
Central East,For-Profit,Yes,25,7,kennedy lodge,,,,,289,43.76,-79.28
South West,For-Profit,Yes,69,3,kensington village,<5,5,<5,Active,78,43.02,-81.21
South East,For-Profit,No,27,6,kentwood park,,,,,45,44,-77.15
Hamilton Niagara Haldimand Brant (Hnhb),For-Profit,Yes,16,3,kilean lodge,,,,,50,43.19,-79.56
Central,For-Profit,No,13,3,king city lodge nursing home,,,,,36,43.97,-79.55
Central West,For-Profit,Yes,55,12,king nursing home,,,,,86,43.88,-79.74
South West,For-Profit,Yes,19,5,kingsway lodge nursing home,,,,,63,43.26,-81.14
Central West,Municipal,Yes,41,11,kipling acres,53,13,11,Active,337,43.73,-79.57
South West,Non-Profit,Yes,14,3,knollcrest lodge,,,,,78,43.57,-80.92
Central,Non-Profit,Yes,18,6,kristus darzs latvian home,21,7,17,Active,100,43.87,-79.6
Mississauga Halton,Non-Profit,No,19,4,labdara lithuanian nursing home,,0,,Inactive,90,43.64,-79.53
